macaca_mulatta ENSMMUG00000009331
homo_sapiens ENSG00000241690
tupaia_belangeri ENSTBEG00000005992
mus_musculus ENSMUSG00000100963
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025219
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024299
mus_pahari MGP_PahariEiJ_G0025744
mesocricetus_auratus ENSMAUG00000022047
ochotona_princeps ENSOPRG00000009650
tursiops_truncatus ENSTTRG00000003463
ailuropoda_melanoleuca ENSAMEG00000011193
sorex_araneus ENSSARG00000009238
pteropus_vampyrus ENSPVAG00000006832
papio_anubis ENSPANG00000021243
theropithecus_gelada ENSTGEG00000011382
macaca_fascicularis ENSMFAG00000003999
macaca_nemestrina ENSMNEG00000030475
cercocebus_atys ENSCATG00000030817
mandrillus_leucophaeus ENSMLEG00000028498
colobus_angolensis_palliatus ENSCANG00000021406
piliocolobus_tephrosceles ENSPTEG00000032402
rhinopithecus_roxellana ENSRROG00000045663
rhinopithecus_bieti ENSRBIG00000035456
pan_paniscus ENSPPAG00000032615
pan_troglodytes ENSPTRG00000013183
homo_sapiens ENSG00000258713
gorilla_gorilla ENSGGOG00000044039
pongo_abelii ENSPPYG00000010834
nomascus_leucogenys ENSNLEG00000009075
saimiri_boliviensis_boliviensis ENSSBOG00000017171
cebus_capucinus ENSCCAG00000034249
callithrix_jacchus ENSCJAG00000041004
aotus_nancymaae ENSANAG00000035344
carlito_syrichta ENSTSYG00000030693
propithecus_coquereli ENSPCOG00000015244
microcebus_murinus ENSMICG00000043953
prolemur_simus ENSPSMG00000017528
urocitellus_parryii ENSUPAG00010023384
marmota_marmota_marmota ENSMMMG00000023899
spermophilus_dauricus ENSSDAG00000001538
ovis_aries ENSOARG00000005534
capra_hircus ENSCHIG00000010060
bos_mutus ENSBMUG00000019955
bos_taurus ENSBTAG00000021817
bison_bison_bison ENSBBBG00000019008
sus_scrofa ENSSSCG00000040428
equus_asinus_asinus ENSEASG00005013016
canis_lupus_dingo ENSCAFG00020003242
canis_lupus_familiaris ENSCAFG00000031835
vulpes_vulpes ENSVVUG00000025444
ursus_maritimus ENSUMAG00000002405
ursus_americanus ENSUAMG00000006058
panthera_pardus ENSPPRG00000011071
panthera_tigris_altaica ENSPTIG00000019566
felis_catus ENSFCAG00000035021
erinaceus_europaeus ENSEEUG00000004749
