latimeria_chalumnae ENSLACG00000013561
xenopus_tropicalis ENSXETG00000002678
pygocentrus_nattereri ENSPNAG00000000374
astyanax_mexicanus ENSAMXG00000032472
ictalurus_punctatus ENSIPUG00000011519
esox_lucius ENSELUG00000004980
gadus_morhua ENSGMOG00000012425
gadus_morhua ENSGMOG00000012433
astatotilapia_calliptera ENSACLG00000008301
maylandia_zebra ENSMZEG00005018894
haplochromis_burtoni ENSHBUG00000020480
pundamilia_nyererei ENSPNYG00000022829
neolamprologus_brichardi ENSNBRG00000017345
oreochromis_niloticus ENSONIG00000007499
amphilophus_citrinellus ENSACIG00000009320
oryzias_latipes ENSORLG00020003545
oryzias_latipes ENSORLG00000027028
oryzias_latipes_asm223469v1 ENSORLG00015002730
cynoglossus_semilaevis ENSCSEG00000004032
gasterosteus_aculeatus ENSGACG00000000565
poecilia_mexicana ENSPMEG00000009768
poecilia_mexicana ENSPMEG00000005251
poecilia_formosa ENSPFOG00000015803
poecilia_formosa ENSPFOG00000015678
poecilia_latipinna ENSPLAG00000006896
poecilia_reticulata ENSPREG00000006657
gambusia_affinis ENSGAFG00000018774
xiphophorus_couchianus ENSXCOG00000013369
cyprinodon_variegatus ENSCVAG00000008519
fundulus_heteroclitus ENSFHEG00000023240
amphiprion_percula ENSAPEG00000024632
amphiprion_ocellaris ENSAOCG00000018510
acanthochromis_polyacanthus ENSAPOG00000023760
stegastes_partitus ENSSPAG00000019643
labrus_bergylta ENSLBEG00000015577
mola_mola ENSMMOG00000006005
scophthalmus_maximus ENSSMAG00000004908
seriola_dumerili ENSSDUG00000012800
seriola_lalandi_dorsalis ENSSLDG00000000256
mastacembelus_armatus ENSMAMG00000020623
monopterus_albus ENSMALG00000007937
anabas_testudineus ENSATEG00000000525
periophthalmus_magnuspinnatus ENSPMGG00000016643
paramormyrops_kingsleyae ENSPKIG00000023988
lepisosteus_oculatus ENSLOCG00000016538
phascolarctos_cinereus ENSPCIG00000012446
notamacropus_eugenii ENSMEUG00000016753
monodelphis_domestica ENSMODG00000010814
procavia_capensis ENSPCAG00000004317
echinops_telfairi ENSETEG00000009870
loxodonta_africana ENSLAFG00000032518
capra_hircus ENSCHIG00000012497
ovis_aries ENSOARG00000019304
bos_mutus ENSBMUG00000005437
bison_bison_bison ENSBBBG00000013075
bos_taurus ENSBTAG00000008858
sus_scrofa ENSSSCG00000000021
ursus_maritimus ENSUMAG00000019893
ursus_americanus ENSUAMG00000025091
ailuropoda_melanoleuca ENSAMEG00000009129
mustela_putorius_furo ENSMPUG00000016266
neovison_vison ENSNVIG00000021459
canis_lupus_familiaris ENSCAFG00000030691
canis_lupus_dingo ENSCAFG00020009533
vulpes_vulpes ENSVVUG00000028623
panthera_pardus ENSPPRG00000007742
panthera_tigris_altaica ENSPTIG00000006515
felis_catus ENSFCAG00000014797
equus_caballus ENSECAG00000017155
equus_asinus_asinus ENSEASG00005021792
pteropus_vampyrus ENSPVAG00000014369
mus_spicilegus ENSMSIG00000018423
mus_musculus ENSMUSG00000078954
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021013
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020116
mus_pahari MGP_PahariEiJ_G0020122
rattus_norvegicus ENSRNOG00000033570
meriones_unguiculatus ENSMUGG00000000175
cricetulus_griseus_crigri-picr ENSCGRG00015021698
cricetulus_griseus_chok1gshd ENSCGRG00001021199
cricetulus_griseus_crigri ENSCGRG00000003227
mesocricetus_auratus ENSMAUG00000022199
peromyscus_maniculatus_bairdii ENSPEMG00000022442
microtus_ochrogaster ENSMOCG00000011863
nannospalax_galili ENSNGAG00000006064
jaculus_jaculus ENSJJAG00000019866
castor_canadensis ENSCCNG00000027546
cavia_porcellus ENSCPOG00000027494
cavia_aperea ENSCAPG00000015018
octodon_degus ENSODEG00000015356
chinchilla_lanigera ENSCLAG00000017215
heterocephalus_glaber_female ENSHGLG00000015769
heterocephalus_glaber_male ENSHGLG00100011688
fukomys_damarensis ENSFDAG00000010284
urocitellus_parryii ENSUPAG00010001660
spermophilus_dauricus ENSSDAG00000005616
ochotona_princeps ENSOPRG00000007285
tupaia_belangeri ENSTBEG00000012377
prolemur_simus ENSPSMG00000011511
propithecus_coquereli ENSPCOG00000023745
microcebus_murinus ENSMICG00000008439
otolemur_garnettii ENSOGAG00000010491
homo_sapiens ENSG00000241484
homo_sapiens ENSG00000248405
pan_paniscus ENSPPAG00000021507
pan_troglodytes ENSPTRG00000050575
gorilla_gorilla ENSGGOG00000008084
pongo_abelii ENSPPYG00000011926
nomascus_leucogenys ENSNLEG00000029032
rhinopithecus_roxellana ENSRROG00000044377
rhinopithecus_bieti ENSRBIG00000041002
colobus_angolensis_palliatus ENSCANG00000040416
macaca_fascicularis ENSMFAG00000031694
macaca_mulatta ENSMMUG00000031000
macaca_nemestrina ENSMNEG00000030155
theropithecus_gelada ENSTGEG00000004950
cercocebus_atys ENSCATG00000031245
papio_anubis ENSPANG00000029870
mandrillus_leucophaeus ENSMLEG00000035254
piliocolobus_tephrosceles ENSPTEG00000034751
cebus_capucinus ENSCCAG00000037511
saimiri_boliviensis_boliviensis ENSSBOG00000030315
callithrix_jacchus ENSCJAG00000016200
aotus_nancymaae ENSANAG00000029341
carlito_syrichta ENSTSYG00000032847
erinaceus_europaeus ENSEEUG00000011641
dasypus_novemcinctus ENSDNOG00000007839
gopherus_agassizii ENSGAGG00000021783
chelonoidis_abingdonii ENSCABG00000005941
chrysemys_picta_bellii ENSCPBG00000024338
pelodiscus_sinensis ENSPSIG00000016660
dromaius_novaehollandiae ENSDNVG00000001333
nothoprocta_perdicaria ENSNPEG00000005641
apteryx_haastii ENSAHAG00000001692
apteryx_owenii ENSAOWG00000009495
apteryx_rowi ENSARWG00000012504
gallus_gallus ENSGALG00000019261
coturnix_japonica ENSCJPG00005016159
meleagris_gallopavo ENSMGAG00000013807
numida_meleagris ENSNMEG00000015487
anser_brachyrhynchus ENSABRG00000006125
anas_platyrhynchos_platyrhynchos ENSAPLG00000007670
calidris_pugnax ENSCPUG00000007349
calidris_pygmaea ENSCPGG00000004589
melopsittacus_undulatus ENSMUNG00000015594
lepidothrix_coronata ENSLCOG00000010445
manacus_vitellinus ENSMVIG00005019850
