amphiprion_percula ENSAPEG00000002795
pundamilia_nyererei ENSPNYG00000021048
fundulus_heteroclitus ENSFHEG00000011866
cyprinodon_variegatus ENSCVAG00000016394
kryptolebias_marmoratus ENSKMAG00000022051
oryzias_latipes ENSORLG00020009990
oryzias_latipes_asm223469v1 ENSORLG00015001142
oryzias_melastigma ENSOMEG00000022746
takifugu_rubripes ENSTRUG00000008847
tetraodon_nigroviridis ENSTNIG00000011638
tetraodon_nigroviridis ENSTNIG00000008376
mola_mola ENSMMOG00000019224
periophthalmus_magnuspinnatus ENSPMGG00000006262
