mandrillus_leucophaeus ENSMLEG00000012505
papio_anubis ENSPANG00000031483
cercocebus_atys ENSCATG00000034156
macaca_mulatta ENSMMUG00000037869
macaca_nemestrina ENSMNEG00000030850
macaca_fascicularis ENSMFAG00000043876
nomascus_leucogenys ENSNLEG00000034706
aotus_nancymaae ENSANAG00000031102
cricetulus_griseus_crigri ENSCGRG00000000400
cricetulus_griseus_crigri-picr ENSCGRG00015025983
peromyscus_maniculatus_bairdii ENSPEMG00000030180
vulpes_vulpes ENSVVUG00000008215
dromaius_novaehollandiae ENSDNVG00000014679
nothoprocta_perdicaria ENSNPEG00000001372
anser_brachyrhynchus ENSABRG00000017872
