xiphophorus_maculatus ENSXMAG00000014784
xiphophorus_couchianus ENSXCOG00000013106
poecilia_mexicana ENSPMEG00000002766
poecilia_latipinna ENSPLAG00000007466
poecilia_formosa ENSPFOG00000009672
poecilia_reticulata ENSPREG00000007497
cyprinodon_variegatus ENSCVAG00000000543
fundulus_heteroclitus ENSFHEG00000021152
haplochromis_burtoni ENSHBUG00000017697
acanthochromis_polyacanthus ENSAPOG00000017144
stegastes_partitus ENSSPAG00000009444
kryptolebias_marmoratus ENSKMAG00000015926
monopterus_albus ENSMALG00000017470
hippocampus_comes ENSHCOG00000001355
periophthalmus_magnuspinnatus ENSPMGG00000017616
