acanthochromis_polyacanthus ENSAPOG00000001832
amphiprion_percula ENSAPEG00000010699
seriola_lalandi_dorsalis ENSSLDG00000005451
scophthalmus_maximus ENSSMAG00000001870
monopterus_albus ENSMALG00000003221
poecilia_latipinna ENSPLAG00000015534
poecilia_mexicana ENSPMEG00000010509
poecilia_reticulata ENSPREG00000010334
xiphophorus_maculatus ENSXMAG00000021502
xiphophorus_couchianus ENSXCOG00000012571
fundulus_heteroclitus ENSFHEG00000013878
kryptolebias_marmoratus ENSKMAG00000002518
amphiprion_ocellaris ENSAOCG00000010079
maylandia_zebra ENSMZEG00005023458
astatotilapia_calliptera ENSACLG00000000450
pundamilia_nyererei ENSPNYG00000000493
haplochromis_burtoni ENSHBUG00000007831
neolamprologus_brichardi ENSNBRG00000002556
amphilophus_citrinellus ENSACIG00000003371
cyprinodon_variegatus ENSCVAG00000021058
stegastes_partitus ENSSPAG00000012042
periophthalmus_magnuspinnatus ENSPMGG00000007585
hippocampus_comes ENSHCOG00000013137
anabas_testudineus ENSATEG00000002754
cynoglossus_semilaevis ENSCSEG00000012867
labrus_bergylta ENSLBEG00000012551
esox_lucius ENSELUG00000005456
ictalurus_punctatus ENSIPUG00000020725
pygocentrus_nattereri ENSPNAG00000029184
