nothoprocta_perdicaria ENSNPEG00000015539
dromaius_novaehollandiae ENSDNVG00000002036
apteryx_haastii ENSAHAG00000006200
apteryx_rowi ENSARWG00000005448
apteryx_owenii ENSAOWG00000019303
calidris_pygmaea ENSCPGG00000000375
calidris_pugnax ENSCPUG00000011453
melopsittacus_undulatus ENSMUNG00000006074
meleagris_gallopavo ENSMGAG00000002450
gallus_gallus ENSGALG00000036175
anas_platyrhynchos_platyrhynchos ENSAPLG00000017764
crocodylus_porosus ENSCPRG00005012882
chelonoidis_abingdonii ENSCABG00000014682
gopherus_agassizii ENSGAGG00000013632
chrysemys_picta_bellii ENSCPBG00000001419
pogona_vitticeps ENSPVIG00000018581
anolis_carolinensis ENSACAG00000011605
notechis_scutatus ENSNSUG00000003457
salvator_merianae ENSSMRG00000004328
sphenodon_punctatus ENSSPUG00000018830
ovis_aries ENSOARG00000020511
capra_hircus ENSCHIG00000021024
bos_mutus ENSBMUG00000025555
bos_taurus ENSBTAG00000005432
bison_bison_bison ENSBBBG00000005165
tursiops_truncatus ENSTTRG00000008964
sus_scrofa ENSSSCG00000008239
erinaceus_europaeus ENSEEUG00000015392
sorex_araneus ENSSARG00000007910
ursus_americanus ENSUAMG00000027580
ursus_maritimus ENSUMAG00000006430
ailuropoda_melanoleuca ENSAMEG00000002173
mustela_putorius_furo ENSMPUG00000008841
neovison_vison ENSNVIG00000018696
canis_lupus_dingo ENSCAFG00020014661
canis_lupus_familiaris ENSCAFG00000007788
vulpes_vulpes ENSVVUG00000001799
panthera_tigris_altaica ENSPTIG00000013355
panthera_pardus ENSPPRG00000007161
felis_catus ENSFCAG00000003379
equus_caballus ENSECAG00000015128
equus_asinus_asinus ENSEASG00005001445
vicugna_pacos ENSVPAG00000002640
pan_paniscus ENSPPAG00000035666
pan_troglodytes ENSPTRG00000012132
homo_sapiens ENSG00000042493
gorilla_gorilla ENSGGOG00000011604
pongo_abelii ENSPPYG00000012231
nomascus_leucogenys ENSNLEG00000001666
macaca_mulatta ENSMMUG00000002675
macaca_nemestrina ENSMNEG00000045231
macaca_fascicularis ENSMFAG00000003357
mandrillus_leucophaeus ENSMLEG00000043889
cercocebus_atys ENSCATG00000035643
theropithecus_gelada ENSTGEG00000020517
papio_anubis ENSPANG00000000842
chlorocebus_sabaeus ENSCSAG00000016141
rhinopithecus_bieti ENSRBIG00000027128
rhinopithecus_roxellana ENSRROG00000040470
piliocolobus_tephrosceles ENSPTEG00000036646
piliocolobus_tephrosceles ENSPTEG00000026888
piliocolobus_tephrosceles ENSPTEG00000027737
colobus_angolensis_palliatus ENSCANG00000042652
colobus_angolensis_palliatus ENSCANG00000039342
rhinopithecus_bieti ENSRBIG00000042783
saimiri_boliviensis_boliviensis ENSSBOG00000026620
cebus_capucinus ENSCCAG00000029318
callithrix_jacchus ENSCJAG00000041726
aotus_nancymaae ENSANAG00000036366
aotus_nancymaae ENSANAG00000027699
cebus_capucinus ENSCCAG00000036342
ochotona_princeps ENSOPRG00000014744
ictidomys_tridecemlineatus ENSSTOG00000009431
marmota_marmota_marmota ENSMMMG00000007822
urocitellus_parryii ENSUPAG00010018187
spermophilus_dauricus ENSSDAG00000024987
carlito_syrichta ENSTSYG00000006094
choloepus_hoffmanni ENSCHOG00000006967
dasypus_novemcinctus ENSDNOG00000019583
loxodonta_africana ENSLAFG00000016295
castor_canadensis ENSCCNG00000023890
dipodomys_ordii ENSDORG00000009722
cricetulus_griseus_crigri-picr ENSCGRG00015016342
cricetulus_griseus_crigri ENSCGRG00000010641
cricetulus_griseus_chok1gshd ENSCGRG00001001836
mesocricetus_auratus ENSMAUG00000001858
microtus_ochrogaster ENSMOCG00000005806
peromyscus_maniculatus_bairdii ENSPEMG00000018215
mus_spicilegus ENSMSIG00000007704
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029512
mus_musculus ENSMUSG00000056737
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028507
mus_pahari MGP_PahariEiJ_G0022242
rattus_norvegicus ENSRNOG00000013668
meriones_unguiculatus ENSMUGG00000020277
nannospalax_galili ENSNGAG00000019315
jaculus_jaculus ENSJJAG00000011988
heterocephalus_glaber_female ENSHGLG00000004995
heterocephalus_glaber_male ENSHGLG00100017348
fukomys_damarensis ENSFDAG00000018258
chinchilla_lanigera ENSCLAG00000004481
octodon_degus ENSODEG00000003321
cavia_aperea ENSCAPG00000006601
cavia_porcellus ENSCPOG00000007978
tupaia_belangeri ENSTBEG00000003393
oryctolagus_cuniculus ENSOCUG00000002341
microcebus_murinus ENSMICG00000015066
prolemur_simus ENSPSMG00000010233
propithecus_coquereli ENSPCOG00000017087
otolemur_garnettii ENSOGAG00000001084
procavia_capensis ENSPCAG00000014905
echinops_telfairi ENSETEG00000007643
phascolarctos_cinereus ENSPCIG00000007456
notamacropus_eugenii ENSMEUG00000013559
monodelphis_domestica ENSMODG00000015599
sarcophilus_harrisii ENSSHAG00000004491
ornithorhynchus_anatinus ENSOANG00000001114
xenopus_tropicalis ENSXETG00000023211
latimeria_chalumnae ENSLACG00000003140
scophthalmus_maximus ENSSMAG00000009181
cynoglossus_semilaevis ENSCSEG00000002627
seriola_dumerili ENSSDUG00000020444
seriola_lalandi_dorsalis ENSSLDG00000020582
monopterus_albus ENSMALG00000008653
mola_mola ENSMMOG00000012512
gasterosteus_aculeatus ENSGACG00000019370
amphiprion_ocellaris ENSAOCG00000004287
amphiprion_percula ENSAPEG00000012763
acanthochromis_polyacanthus ENSAPOG00000012474
stegastes_partitus ENSSPAG00000016700
neolamprologus_brichardi ENSNBRG00000020441
neolamprologus_brichardi ENSNBRG00000000109
astatotilapia_calliptera ENSACLG00000005492
astatotilapia_calliptera ENSACLG00000005580
pundamilia_nyererei ENSPNYG00000006772
haplochromis_burtoni ENSHBUG00000002288
maylandia_zebra ENSMZEG00005021684
oreochromis_niloticus ENSONIG00000018968
amphilophus_citrinellus ENSACIG00000015906
takifugu_rubripes ENSTRUG00000024547
labrus_bergylta ENSLBEG00000027606
anabas_testudineus ENSATEG00000019622
mastacembelus_armatus ENSMAMG00000003485
xiphophorus_maculatus ENSXMAG00000015707
xiphophorus_couchianus ENSXCOG00000001812
poecilia_formosa ENSPFOG00000007729
poecilia_mexicana ENSPMEG00000002090
poecilia_latipinna ENSPLAG00000007419
poecilia_reticulata ENSPREG00000013255
gambusia_affinis ENSGAFG00000005464
fundulus_heteroclitus ENSFHEG00000001779
cyprinodon_variegatus ENSCVAG00000005120
kryptolebias_marmoratus ENSKMAG00000016299
oryzias_latipes ENSORLG00000006420
oryzias_latipes_asm223469v1 ENSORLG00015007117
oryzias_latipes ENSORLG00020010264
oryzias_melastigma ENSOMEG00000010577
periophthalmus_magnuspinnatus ENSPMGG00000022270
hippocampus_comes ENSHCOG00000011861
gadus_morhua ENSGMOG00000007742
esox_lucius ENSELUG00000014302
astyanax_mexicanus ENSAMXG00000031347
pygocentrus_nattereri ENSPNAG00000011259
ictalurus_punctatus ENSIPUG00000002689
danio_rerio ENSDARG00000099672
scleropages_formosus ENSSFOG00015023303
paramormyrops_kingsleyae ENSPKIG00000005690
pygocentrus_nattereri ENSPNAG00000024927
ictalurus_punctatus ENSIPUG00000021457
danio_rerio ENSDARG00000035560
scleropages_formosus ENSSFOG00015022808
paramormyrops_kingsleyae ENSPKIG00000001804
lepisosteus_oculatus ENSLOCG00000013857
