pan_paniscus ENSPPAG00000020679
pan_troglodytes ENSPTRG00000043926
gorilla_gorilla ENSGGOG00000040445
pan_troglodytes ENSPTRG00000044034
macaca_nemestrina ENSMNEG00000037466
macaca_mulatta ENSMMUG00000039832
macaca_fascicularis ENSMFAG00000008782
mandrillus_leucophaeus ENSMLEG00000018731
theropithecus_gelada ENSTGEG00000013901
papio_anubis ENSPANG00000030779
cercocebus_atys ENSCATG00000042678
rhinopithecus_roxellana ENSRROG00000037089
rhinopithecus_bieti ENSRBIG00000027380
colobus_angolensis ENSCANG00000042318
