poecilia_mexicana ENSPMEG00000017209
poecilia_latipinna ENSPLAG00000008876
poecilia_reticulata ENSPREG00000018685
xiphophorus_couchianus ENSXCOG00000002521
oryzias_latipes ENSORLG00020011884
neolamprologus_brichardi ENSNBRG00000000380
gambusia_affinis ENSGAFG00000015754
scophthalmus_maximus ENSSMAG00000013859
hippocampus_comes ENSHCOG00000004483
pygocentrus_nattereri ENSPNAG00000016919
paramormyrops_kingsleyae ENSPKIG00000007954
scleropages_formosus ENSSFOG00015018358
coturnix_japonica ENSCJPG00005016945
numida_meleagris ENSNMEG00000021658
anas_platyrhynchos_platyrhynchos ENSAPLG00000026636
apteryx_rowi ENSARWG00000007827
apteryx_haastii ENSAHAG00000016198
nothoprocta_perdicaria ENSNPEG00000010947
bison_bison_bison ENSBBBG00000004960
sus_scrofa ENSSSCG00000040020
felis_catus ENSFCAG00000043122
panthera_pardus ENSPPRG00000007847
canis_lupus_dingo ENSCAFG00020009018
vulpes_vulpes ENSVVUG00000012478
pan_troglodytes ENSPTRG00000051538
pan_paniscus ENSPPAG00000036381
gorilla_gorilla ENSGGOG00000024616
nomascus_leucogenys ENSNLEG00000034327
theropithecus_gelada ENSTGEG00000007018
papio_anubis ENSPANG00000034690
cercocebus_atys ENSCATG00000029687
macaca_nemestrina ENSMNEG00000026236
macaca_mulatta ENSMMUG00000001983
macaca_fascicularis ENSMFAG00000031388
rhinopithecus_roxellana ENSRROG00000041472
rhinopithecus_bieti ENSRBIG00000044208
piliocolobus_tephrosceles ENSPTEG00000003782
cebus_capucinus ENSCCAG00000029491
marmota_marmota_marmota ENSMMMG00000018070
