mandrillus_leucophaeus ENSMLEG00000042511
cercocebus_atys ENSCATG00000040699
theropithecus_gelada ENSTGEG00000010562
papio_anubis ENSPANG00000024109
macaca_fascicularis ENSMFAG00000045832
gorilla_gorilla ENSGGOG00000000516
cebus_capucinus ENSCCAG00000012217
saimiri_boliviensis_boliviensis ENSSBOG00000006745
callithrix_jacchus ENSCJAG00000044960
aotus_nancymaae ENSANAG00000019756
theropithecus_gelada ENSTGEG00000006126
prolemur_simus ENSPSMG00000003169
vulpes_vulpes ENSVVUG00000008707
ursus_maritimus ENSUMAG00000000204
myotis_lucifugus ENSMLUG00000023697
equus_caballus ENSECAG00000028133
equus_asinus_asinus ENSEASG00005021733
choloepus_hoffmanni ENSCHOG00000005600
