microcebus_murinus ENSMICG00000042010
propithecus_coquereli ENSPCOG00000007905
otolemur_garnettii ENSOGAG00000014978
homo_sapiens ENSG00000128567
gorilla_gorilla ENSGGOG00000000858
pan_troglodytes ENSPTRG00000019705
pan_paniscus ENSPPAG00000033899
pongo_abelii ENSPPYG00000018011
nomascus_leucogenys ENSNLEG00000012939
rhinopithecus_bieti ENSRBIG00000018385
rhinopithecus_roxellana ENSRROG00000036006
colobus_angolensis_palliatus ENSCANG00000043221
piliocolobus_tephrosceles ENSPTEG00000033147
macaca_fascicularis ENSMFAG00000035169
macaca_nemestrina ENSMNEG00000031894
macaca_mulatta ENSMMUG00000018260
chlorocebus_sabaeus ENSCSAG00000009644
cercocebus_atys ENSCATG00000030624
theropithecus_gelada ENSTGEG00000023725
papio_anubis ENSPANG00000025223
mandrillus_leucophaeus ENSMLEG00000040552
cebus_capucinus ENSCCAG00000029273
saimiri_boliviensis_boliviensis ENSSBOG00000036080
callithrix_jacchus ENSCJAG00000016372
aotus_nancymaae ENSANAG00000031878
carlito_syrichta ENSTSYG00000036416
mus_spicilegus ENSMSIG00000028932
mus_musculus ENSMUSG00000025608
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029197
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028197
mus_pahari MGP_PahariEiJ_G0021955
rattus_norvegicus ENSRNOG00000012495
meriones_unguiculatus ENSMUGG00000022051
meriones_unguiculatus ENSMUGG00000022046
cricetulus_griseus_crigri-picr ENSCGRG00015026877
cricetulus_griseus_crigri ENSCGRG00000007945
cricetulus_griseus_chok1gshd ENSCGRG00001023997
mesocricetus_auratus ENSMAUG00000014885
microtus_ochrogaster ENSMOCG00000020551
peromyscus_maniculatus_bairdii ENSPEMG00000021683
nannospalax_galili ENSNGAG00000011232
jaculus_jaculus ENSJJAG00000012178
castor_canadensis ENSCCNG00000019246
dipodomys_ordii ENSDORG00000026223
ictidomys_tridecemlineatus ENSSTOG00000006027
marmota_marmota_marmota ENSMMMG00000013162
urocitellus_parryii ENSUPAG00010002915
oryctolagus_cuniculus ENSOCUG00000025092
ochotona_princeps ENSOPRG00000010311
neovison_vison ENSNVIG00000022791
mustela_putorius_furo ENSMPUG00000004996
ursus_americanus ENSUAMG00000023282
ursus_maritimus ENSUMAG00000017498
ailuropoda_melanoleuca ENSAMEG00000005820
canis_lupus_dingo ENSCAFG00020023465
canis_lupus_familiaris ENSCAFG00000001403
vulpes_vulpes ENSVVUG00000012880
felis_catus ENSFCAG00000013118
equus_asinus_asinus ENSEASG00005014767
equus_caballus ENSECAG00000028562
myotis_lucifugus ENSMLUG00000013693
pteropus_vampyrus ENSPVAG00000007006
bos_taurus ENSBTAG00000010452
bos_mutus ENSBMUG00000000535
bison_bison_bison ENSBBBG00000000875
ovis_aries ENSOARG00000006085
ovis_aries ENSOARG00000001339
tursiops_truncatus ENSTTRG00000014208
sus_scrofa ENSSSCG00000016548
choloepus_hoffmanni ENSCHOG00000003005
dasypus_novemcinctus ENSDNOG00000015481
loxodonta_africana ENSLAFG00000017849
heterocephalus_glaber_male ENSHGLG00100003652
heterocephalus_glaber_female ENSHGLG00000003426
sarcophilus_harrisii ENSSHAG00000012869
monodelphis_domestica ENSMODG00000029014
zonotrichia_albicollis ENSZALG00000001912
junco_hyemalis ENSJHYG00000017450
parus_major ENSPMJG00000000439
taeniopygia_guttata ENSTGUG00000001980
lonchura_striata_domestica ENSLSDG00000003469
cyanistes_caeruleus ENSCCEG00000002586
ficedula_albicollis ENSFALG00000011884
manacus_vitellinus ENSMVIG00005019815
lepidothrix_coronata ENSLCOG00000010289
calidris_pugnax ENSCPUG00000007157
calidris_pygmaea ENSCPGG00000016829
anas_platyrhynchos_platyrhynchos ENSAPLG00000003276
anser_brachyrhynchus ENSABRG00000012133
meleagris_gallopavo ENSMGAG00000003882
coturnix_japonica ENSCJPG00005004151
gallus_gallus ENSGALG00000006409
numida_meleagris ENSNMEG00000001516
taeniopygia_guttata ENSTGUG00000013692
dromaius_novaehollandiae ENSDNVG00000010686
apteryx_owenii ENSAOWG00000014231
apteryx_haastii ENSAHAG00000016837
sphenodon_punctatus ENSSPUG00000001750
chrysemys_picta_bellii ENSCPBG00000019867
gopherus_agassizii ENSGAGG00000010563
pelodiscus_sinensis ENSPSIG00000012013
crocodylus_porosus ENSCPRG00005001693
pogona_vitticeps ENSPVIG00000017038
