taeniopygia_guttata ENSTGUG00000015268
manacus_vitellinus ENSMVIG00005006844
nothoprocta_perdicaria ENSNPEG00000007906
apteryx_owenii ENSAOWG00000008303
vombatus_ursinus ENSVURG00010019413
vombatus_ursinus ENSVURG00010008908
notamacropus_eugenii ENSMEUG00000006751
sarcophilus_harrisii ENSSHAG00000011562
monodelphis_domestica ENSMODG00000010387
monodelphis_domestica ENSMODG00000028982
ornithorhynchus_anatinus ENSOANG00000011620
ornithorhynchus_anatinus ENSOANG00000002745
ornithorhynchus_anatinus ENSOANG00000014704
ornithorhynchus_anatinus ENSOANG00000005791
ornithorhynchus_anatinus ENSOANG00000012861
mus_spretus MGP_SPRETEiJ_G0031749
mus_spicilegus ENSMSIG00000026582
mus_caroli MGP_CAROLIEiJ_G0030638
mus_musculus ENSMUSG00000025461
mus_pahari MGP_PahariEiJ_G0013843
rattus_norvegicus ENSRNOG00000018978
meriones_unguiculatus ENSMUGG00000026104
dipodomys_ordii ENSDORG00000001702
ictidomys_tridecemlineatus ENSSTOG00000020175
marmota_marmota ENSMMMG00000004406
urocitellus_parryii ENSUPAG00010014866
gorilla_gorilla ENSGGOG00000004739
homo_sapiens ENSG00000214279
nomascus_leucogenys ENSNLEG00000002487
piliocolobus_tephrosceles ENSPTEG00000024631
colobus_angolensis ENSCANG00000031168
rhinopithecus_bieti ENSRBIG00000026545
rhinopithecus_roxellana ENSRROG00000031922
macaca_nemestrina ENSMNEG00000043161
macaca_fascicularis ENSMFAG00000045421
papio_anubis ENSPANG00000020064
saimiri_boliviensis ENSSBOG00000032863
callithrix_jacchus ENSCJAG00000038428
bos_indicus ENSBIXG00000012341
bos_indicus ENSBIXG00005004363
bos_taurus ENSBTAG00000010522
bos_indicus ENSBIXG00000012333
bos_indicus ENSBIXG00005025847
bos_taurus ENSBTAG00000050119
sus_scrofa ENSSSCG00000010787
ursus_americanus ENSUAMG00000016175
ursus_maritimus ENSUMAG00000010260
ailuropoda_melanoleuca ENSAMEG00000003167
mustela_putorius ENSMPUG00000011649
neovison_vison ENSNVIG00000009911
canis_lupus ENSCAFG00020020477
canis_lupus ENSCAFG00000013342
felis_catus ENSFCAG00000019173
panthera_tigris ENSPTIG00000012489
vulpes_vulpes ENSVVUG00000026061
equus_caballus ENSECAG00000009951
equus_asinus ENSEASG00005015118
sorex_araneus ENSSARG00000012143
prolemur_simus ENSPSMG00000016933
otolemur_garnettii ENSOGAG00000014774
mus_musculus ENSMUSG00000054672
mus_spicilegus ENSMSIG00000002111
mus_spretus MGP_SPRETEiJ_G0031750
mus_caroli MGP_CAROLIEiJ_G0030639
mus_pahari MGP_PahariEiJ_G0013844
rattus_norvegicus ENSRNOG00000036647
meriones_unguiculatus ENSMUGG00000026099
cricetulus_griseus ENSCGRG00015027723
cricetulus_griseus ENSCGRG00001020625
cricetulus_griseus ENSCGRG00000016232
peromyscus_maniculatus ENSPEMG00000009793
microtus_ochrogaster ENSMOCG00000013933
castor_canadensis ENSCCNG00000022241
octodon_degus ENSODEG00000016628
octodon_degus ENSODEG00000017267
cavia_porcellus ENSCPOG00000040121
cavia_porcellus ENSCPOG00000003492
fukomys_damarensis ENSFDAG00000018393
pan_troglodytes ENSPTRG00000003097
pan_paniscus ENSPPAG00000034791
aotus_nancymaae ENSANAG00000028855
piliocolobus_tephrosceles ENSPTEG00000015223
piliocolobus_tephrosceles ENSPTEG00000015270
piliocolobus_tephrosceles ENSPTEG00000015142
piliocolobus_tephrosceles ENSPTEG00000015185
pongo_abelii ENSPPYG00000002794
callithrix_jacchus ENSCJAG00000069079
pteropus_vampyrus ENSPVAG00000004306
myotis_lucifugus ENSMLUG00000017141
mustela_putorius ENSMPUG00000011647
tupaia_belangeri ENSTBEG00000000874
dasypus_novemcinctus ENSDNOG00000015145
echinops_telfairi ENSETEG00000000233
pteropus_vampyrus ENSPVAG00000004307
notamacropus_eugenii ENSMEUG00000008432
sphenodon_punctatus ENSSPUG00000015503
latimeria_chalumnae ENSLACG00000022284
oreochromis_niloticus ENSONIG00000008168
maylandia_zebra ENSMZEG00005023317
neolamprologus_brichardi ENSNBRG00000005797
oryzias_melastigma ENSOMEG00000014136
poecilia_reticulata ENSPREG00000002785
amphiprion_ocellaris ENSAOCG00000023275
seriola_dumerili ENSSDUG00000004681
cynoglossus_semilaevis ENSCSEG00000008248
lepisosteus_oculatus ENSLOCG00000000273
ornithorhynchus_anatinus ENSOANG00000013867
callithrix_jacchus ENSCJAG00000062382
seriola_dumerili ENSSDUG00000009084
denticeps_clupeoides ENSDCDG00000005063
