octodon_degus ENSODEG00000019919
chinchilla_lanigera ENSCLAG00000000287
cavia_porcellus ENSCPOG00000001922
heterocephalus_glaber ENSHGLG00100019693
heterocephalus_glaber ENSHGLG00000020316
urocitellus_parryii ENSUPAG00010008038
ictidomys_tridecemlineatus ENSSTOG00000012819
spermophilus_dauricus ENSSDAG00000019140
marmota_marmota ENSMMMG00000011303
castor_canadensis ENSCCNG00000009844
dipodomys_ordii ENSDORG00000002729
cricetulus_griseus ENSCGRG00001009517
cricetulus_griseus ENSCGRG00000011466
cricetulus_griseus ENSCGRG00015000474
mesocricetus_auratus ENSMAUG00000017973
microtus_ochrogaster ENSMOCG00000001255
peromyscus_maniculatus ENSPEMG00000002290
mus_musculus ENSMUSG00000051663
mus_spicilegus ENSMSIG00000001546
mus_spretus MGP_SPRETEiJ_G0023068
mus_caroli MGP_CAROLIEiJ_G0022157
mus_pahari MGP_PahariEiJ_G0018892
rattus_norvegicus ENSRNOG00000020103
meriones_unguiculatus ENSMUGG00000004359
nannospalax_galili ENSNGAG00000010987
jaculus_jaculus ENSJJAG00000000599
oryctolagus_cuniculus ENSOCUG00000007406
ochotona_princeps ENSOPRG00000016635
prolemur_simus ENSPSMG00000020756
otolemur_garnettii ENSOGAG00000005468
pan_troglodytes ENSPTRG00000017330
pan_paniscus ENSPPAG00000008820
homo_sapiens ENSG00000171815
pongo_abelii ENSPPYG00000015874
papio_anubis ENSPANG00000007852
mandrillus_leucophaeus ENSMLEG00000000950
theropithecus_gelada ENSTGEG00000026476
cercocebus_atys ENSCATG00000021671
macaca_fascicularis ENSMFAG00000021230
macaca_mulatta ENSMMUG00000014574
macaca_nemestrina ENSMNEG00000003349
chlorocebus_sabaeus ENSCSAG00000000492
piliocolobus_tephrosceles ENSPTEG00000027854
colobus_angolensis ENSCANG00000011604
rhinopithecus_bieti ENSRBIG00000037230
callithrix_jacchus ENSCJAG00000039659
pteropus_vampyrus ENSPVAG00000011242
myotis_lucifugus ENSMLUG00000014013
bos_mutus ENSBMUG00000016651
bos_taurus ENSBTAG00000037885
bison_bison ENSBBBG00000011281
capra_hircus ENSCHIG00000012052
ovis_aries ENSOARG00000013825
sus_scrofa ENSSSCG00000014377
ursus_americanus ENSUAMG00000026394
ailuropoda_melanoleuca ENSAMEG00000020138
canis_lupus ENSCAFG00000024617
canis_lupus ENSCAFG00020021262
vulpes_vulpes ENSVVUG00000017374
neovison_vison ENSNVIG00000012848
mustela_putorius ENSMPUG00000008344
panthera_tigris ENSPTIG00000005311
panthera_pardus ENSPPRG00000016592
felis_catus ENSFCAG00000003687
equus_asinus ENSEASG00005018102
equus_caballus ENSECAG00000001755
sorex_araneus ENSSARG00000002888
sorex_araneus ENSSARG00000000775
erinaceus_europaeus ENSEEUG00000009707
dasypus_novemcinctus ENSDNOG00000014257
loxodonta_africana ENSLAFG00000005554
monodelphis_domestica ENSMODG00000011214
sarcophilus_harrisii ENSSHAG00000007367
ornithorhynchus_anatinus ENSOANG00000007218
cyanistes_caeruleus ENSCCEG00000000396
