melopsittacus_undulatus ENSMUNG00000003595
calidris_pygmaea ENSCPGG00000008312
gallus_gallus ENSGALG00000042642
coturnix_japonica ENSCJPG00005007979
numida_meleagris ENSNMEG00000003730
apteryx_haastii ENSAHAG00000000714
apteryx_owenii ENSAOWG00000004576
apteryx_rowi ENSARWG00000012190
dromaius_novaehollandiae ENSDNVG00000000100
nothoprocta_perdicaria ENSNPEG00000014985
lepidothrix_coronata ENSLCOG00000004417
parus_major ENSPMJG00000015958
crocodylus_porosus ENSCPRG00005001607
salvator_merianae ENSSMRG00000001095
sorex_araneus ENSSARG00000006015
ursus_maritimus ENSUMAG00000011043
ochotona_princeps ENSOPRG00000013063
choloepus_hoffmanni ENSCHOG00000011609
loxodonta_africana ENSLAFG00000027935
echinops_telfairi ENSETEG00000005783
dasypus_novemcinctus ENSDNOG00000043637
castor_canadensis ENSCCNG00000013974
dipodomys_ordii ENSDORG00000009120
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029343
mus_spicilegus ENSMSIG00000021042
mus_musculus ENSMUSG00000009281
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028340
mus_pahari MGP_PahariEiJ_G0022096
rattus_norvegicus ENSRNOG00000024705
meriones_unguiculatus ENSMUGG00000008878
cricetulus_griseus_chok1gshd ENSCGRG00001012124
cricetulus_griseus_crigri ENSCGRG00000018398
cricetulus_griseus_crigri-picr ENSCGRG00015007868
mesocricetus_auratus ENSMAUG00000016584
microtus_ochrogaster ENSMOCG00000011498
peromyscus_maniculatus_bairdii ENSPEMG00000002461
nannospalax_galili ENSNGAG00000022680
urocitellus_parryii ENSUPAG00010020908
marmota_marmota_marmota ENSMMMG00000006498
spermophilus_dauricus ENSSDAG00000019035
ictidomys_tridecemlineatus ENSSTOG00000029082
cavia_porcellus ENSCPOG00000010531
cavia_aperea ENSCAPG00000008798
chinchilla_lanigera ENSCLAG00000005165
heterocephalus_glaber_male ENSHGLG00100012277
heterocephalus_glaber_female ENSHGLG00000019267
fukomys_damarensis ENSFDAG00000015179
octodon_degus ENSODEG00000011508
oryctolagus_cuniculus ENSOCUG00000007943
rhinopithecus_roxellana ENSRROG00000027764
rhinopithecus_bieti ENSRBIG00000026463
piliocolobus_tephrosceles ENSPTEG00000029625
colobus_angolensis_palliatus ENSCANG00000005752
cercocebus_atys ENSCATG00000040120
mandrillus_leucophaeus ENSMLEG00000031503
chlorocebus_sabaeus ENSCSAG00000006891
macaca_fascicularis ENSMFAG00000043390
macaca_mulatta ENSMMUG00000005232
macaca_nemestrina ENSMNEG00000042943
theropithecus_gelada ENSTGEG00000003370
theropithecus_gelada ENSTGEG00000025482
papio_anubis ENSPANG00000023420
gorilla_gorilla ENSGGOG00000011158
homo_sapiens ENSG00000106538
pan_troglodytes ENSPTRG00000051281
pan_troglodytes ENSPTRG00000019854
pan_paniscus ENSPPAG00000043220
pongo_abelii ENSPPYG00000018166
nomascus_leucogenys ENSNLEG00000001362
callithrix_jacchus ENSCJAG00000010322
cebus_capucinus ENSCCAG00000030901
saimiri_boliviensis_boliviensis ENSSBOG00000035480
aotus_nancymaae ENSANAG00000035016
carlito_syrichta ENSTSYG00000030498
prolemur_simus ENSPSMG00000014771
propithecus_coquereli ENSPCOG00000021222
microcebus_murinus ENSMICG00000015426
tupaia_belangeri ENSTBEG00000008432
pteropus_vampyrus ENSPVAG00000010747
myotis_lucifugus ENSMLUG00000005796
equus_asinus_asinus ENSEASG00005020635
equus_caballus ENSECAG00000014799
capra_hircus ENSCHIG00000009903
ovis_aries ENSOARG00000001055
bos_taurus ENSBTAG00000004215
bos_mutus ENSBMUG00000010417
bison_bison_bison ENSBBBG00000018201
tursiops_truncatus ENSTTRG00000002675
sus_scrofa ENSSSCG00000035419
ailuropoda_melanoleuca ENSAMEG00000002454
ursus_americanus ENSUAMG00000023305
mustela_putorius_furo ENSMPUG00000007351
neovison_vison ENSNVIG00000002332
canis_lupus_familiaris ENSCAFG00000004555
canis_lupus_dingo ENSCAFG00020006517
vulpes_vulpes ENSVVUG00000009175
panthera_tigris_altaica ENSPTIG00000009267
panthera_pardus ENSPPRG00000020325
felis_catus ENSFCAG00000035558
phascolarctos_cinereus ENSPCIG00000014600
notamacropus_eugenii ENSMEUG00000000016
sarcophilus_harrisii ENSSHAG00000009632
monodelphis_domestica ENSMODG00000003600
xenopus_tropicalis ENSXETG00000031610
xenopus_tropicalis ENSXETG00000033282
