prolemur_simus ENSPSMG00000024149
microcebus_murinus ENSMICG00000016458
propithecus_coquereli ENSPCOG00000006899
otolemur_garnettii ENSOGAG00000012250
pan_troglodytes ENSPTRG00000032490
pan_paniscus ENSPPAG00000033644
homo_sapiens ENSG00000188488
gorilla_gorilla ENSGGOG00000001864
pongo_abelii ENSPPYG00000006108
nomascus_leucogenys ENSNLEG00000017296
macaca_fascicularis ENSMFAG00000038025
macaca_nemestrina ENSMNEG00000034826
macaca_mulatta ENSMMUG00000011217
mandrillus_leucophaeus ENSMLEG00000031784
papio_anubis ENSPANG00000026006
cercocebus_atys ENSCATG00000035051
theropithecus_gelada ENSTGEG00000004781
chlorocebus_sabaeus ENSCSAG00000010832
rhinopithecus_roxellana ENSRROG00000032312
rhinopithecus_bieti ENSRBIG00000036882
piliocolobus_tephrosceles ENSPTEG00000009362
colobus_angolensis_palliatus ENSCANG00000038921
cebus_capucinus ENSCCAG00000023327
saimiri_boliviensis_boliviensis ENSSBOG00000035129
callithrix_jacchus ENSCJAG00000009829
aotus_nancymaae ENSANAG00000000597
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018914
mus_musculus ENSMUSG00000041550
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018069
mus_pahari MGP_PahariEiJ_G0029828
rattus_norvegicus ENSRNOG00000009855
meriones_unguiculatus ENSMUGG00000015011
cricetulus_griseus_chok1gshd ENSCGRG00001000380
cricetulus_griseus_crigri ENSCGRG00000002668
cricetulus_griseus_crigri-picr ENSCGRG00015015417
mesocricetus_auratus ENSMAUG00000021381
peromyscus_maniculatus_bairdii ENSPEMG00000001462
microtus_ochrogaster ENSMOCG00000021803
nannospalax_galili ENSNGAG00000003362
jaculus_jaculus ENSJJAG00000020864
castor_canadensis ENSCCNG00000015639
dipodomys_ordii ENSDORG00000011720
chinchilla_lanigera ENSCLAG00000013925
octodon_degus ENSODEG00000010880
heterocephalus_glaber_female ENSHGLG00000016356
heterocephalus_glaber_male ENSHGLG00100005111
fukomys_damarensis ENSFDAG00000006260
cavia_porcellus ENSCPOG00000020060
cavia_aperea ENSCAPG00000016342
spermophilus_dauricus ENSSDAG00000011440
marmota_marmota_marmota ENSMMMG00000001299
urocitellus_parryii ENSUPAG00010003406
ictidomys_tridecemlineatus ENSSTOG00000021253
oryctolagus_cuniculus ENSOCUG00000006167
ochotona_princeps ENSOPRG00000012117
carlito_syrichta ENSTSYG00000032644
tupaia_belangeri ENSTBEG00000005333
ursus_americanus ENSUAMG00000015819
ursus_maritimus ENSUMAG00000004097
ailuropoda_melanoleuca ENSAMEG00000006411
neovison_vison ENSNVIG00000005510
mustela_putorius_furo ENSMPUG00000003146
canis_lupus_dingo ENSCAFG00020014261
canis_lupus_familiaris ENSCAFG00000029000
vulpes_vulpes ENSVVUG00000018828
panthera_tigris_altaica ENSPTIG00000010637
panthera_pardus ENSPPRG00000001871
felis_catus ENSFCAG00000010237
equus_caballus ENSECAG00000024779
equus_asinus_asinus ENSEASG00005021480
ovis_aries ENSOARG00000015144
capra_hircus ENSCHIG00000017391
bos_taurus ENSBTAG00000004063
bos_taurus ENSBTAG00000051726
bos_mutus ENSBMUG00000016900
bison_bison_bison ENSBBBG00000008984
tursiops_truncatus ENSTTRG00000016255
sus_scrofa ENSSSCG00000002481
myotis_lucifugus ENSMLUG00000027791
myotis_lucifugus ENSMLUG00000006831
pteropus_vampyrus ENSPVAG00000016631
choloepus_hoffmanni ENSCHOG00000008636
dasypus_novemcinctus ENSDNOG00000008676
loxodonta_africana ENSLAFG00000007963
