cebus_capucinus ENSCCAG00000027722
saimiri_boliviensis ENSSBOG00000023883
callithrix_jacchus ENSCJAG00000036723
aotus_nancymaae ENSANAG00000032066
pan_troglodytes ENSPTRG00000004991
pan_paniscus ENSPPAG00000029401
homo_sapiens ENSG00000186442
gorilla_gorilla ENSGGOG00000003858
pongo_abelii ENSPPYG00000004558
nomascus_leucogenys ENSNLEG00000026559
colobus_angolensis ENSCANG00000030490
piliocolobus_tephrosceles ENSPTEG00000038021
rhinopithecus_roxellana ENSRROG00000037448
rhinopithecus_bieti ENSRBIG00000033851
macaca_fascicularis ENSMFAG00000001094
macaca_mulatta ENSMMUG00000014982
macaca_nemestrina ENSMNEG00000039116
papio_anubis ENSPANG00000001136
mandrillus_leucophaeus ENSMLEG00000043243
theropithecus_gelada ENSTGEG00000006848
cercocebus_atys ENSCATG00000044816
chlorocebus_sabaeus ENSCSAG00000005609
carlito_syrichta ENSTSYG00000031810
prolemur_simus ENSPSMG00000013442
microcebus_murinus ENSMICG00000002232
propithecus_coquereli ENSPCOG00000016233
otolemur_garnettii ENSOGAG00000011730
oryctolagus_cuniculus ENSOCUG00000029194
ochotona_princeps ENSOPRG00000008891
heterocephalus_glaber ENSHGLG00000001730
heterocephalus_glaber ENSHGLG00100009692
cavia_porcellus ENSCPOG00000037489
chinchilla_lanigera ENSCLAG00000008789
ictidomys_tridecemlineatus ENSSTOG00000021897
urocitellus_parryii ENSUPAG00010000043
marmota_marmota ENSMMMG00000001931
spermophilus_dauricus ENSSDAG00000022310
cricetulus_griseus ENSCGRG00000006482
cricetulus_griseus ENSCGRG00015028632
cricetulus_griseus ENSCGRG00001012526
spermophilus_dauricus ENSSDAG00000022312
prolemur_simus ENSPSMG00000003148
tupaia_belangeri ENSTBEG00000002796
bos_taurus ENSBTAG00000045662
bison_bison ENSBBBG00000020359
capra_hircus ENSCHIG00000022328
ovis_aries ENSOARG00000016853
vicugna_pacos ENSVPAG00000011720
sus_scrofa ENSSSCG00000023254
canis_lupus ENSCAFG00020021697
vulpes_vulpes ENSVVUG00000027994
canis_lupus ENSCAFG00000007322
ursus_americanus ENSUAMG00000016491
ursus_maritimus ENSUMAG00000009338
neovison_vison ENSNVIG00000023211
mustela_putorius ENSMPUG00000006687
panthera_pardus ENSPPRG00000011879
panthera_tigris ENSPTIG00000005799
felis_catus ENSFCAG00000000294
equus_caballus ENSECAG00000011431
equus_asinus ENSEASG00005009239
erinaceus_europaeus ENSEEUG00000005949
sorex_araneus ENSSARG00000000968
myotis_lucifugus ENSMLUG00000004216
pteropus_vampyrus ENSPVAG00000009350
loxodonta_africana ENSLAFG00000015682
procavia_capensis ENSPCAG00000001215
echinops_telfairi ENSETEG00000000534
choloepus_hoffmanni ENSCHOG00000001623
phascolarctos_cinereus ENSPCIG00000008678
ovis_aries ENSOARG00000016871
bos_mutus ENSBMUG00000009136
bison_bison ENSBBBG00000020411
bos_taurus ENSBTAG00000027974
bos_mutus ENSBMUG00000009098
sus_scrofa ENSSSCG00000039352
equus_asinus ENSEASG00005009225
equus_caballus ENSECAG00000007889
canis_lupus ENSCAFG00020021713
vulpes_vulpes ENSVVUG00000027989
neovison_vison ENSNVIG00000023189
ursus_maritimus ENSUMAG00000009332
sarcophilus_harrisii ENSSHAG00000002840
tupaia_belangeri ENSTBEG00000000838
apteryx_owenii ENSAOWG00000018570
