ailuropoda_melanoleuca ENSAMEG00000008368
ursus_maritimus ENSUMAG00000009940
neovison_vison ENSNVIG00000008170
mustela_putorius_furo ENSMPUG00000018137
canis_lupus_dingo ENSCAFG00020023450
canis_lupus_familiaris ENSCAFG00000029250
vulpes_vulpes ENSVVUG00000005637
panthera_pardus ENSPPRG00000004607
felis_catus ENSFCAG00000010257
equus_asinus_asinus ENSEASG00005017623
equus_caballus ENSECAG00000017341
bos_mutus ENSBMUG00000004384
bos_taurus ENSBTAG00000001528
bison_bison_bison ENSBBBG00000004014
capra_hircus ENSCHIG00000022113
ovis_aries ENSOARG00000017590
tursiops_truncatus ENSTTRG00000003620
sus_scrofa ENSSSCG00000016769
vicugna_pacos ENSVPAG00000012066
pteropus_vampyrus ENSPVAG00000003300
myotis_lucifugus ENSMLUG00000017326
erinaceus_europaeus ENSEEUG00000010585
sorex_araneus ENSSARG00000005710
propithecus_coquereli ENSPCOG00000020869
prolemur_simus ENSPSMG00000022180
microcebus_murinus ENSMICG00000044449
otolemur_garnettii ENSOGAG00000010247
cebus_capucinus ENSCCAG00000032800
callithrix_jacchus ENSCJAG00000007641
aotus_nancymaae ENSANAG00000019746
pan_paniscus ENSPPAG00000041831
pan_troglodytes ENSPTRG00000019112
homo_sapiens ENSG00000065883
gorilla_gorilla ENSGGOG00000007884
pongo_abelii ENSPPYG00000017618
nomascus_leucogenys ENSNLEG00000003097
macaca_fascicularis ENSMFAG00000000645
macaca_nemestrina ENSMNEG00000040720
theropithecus_gelada ENSTGEG00000014590
papio_anubis ENSPANG00000022842
cercocebus_atys ENSCATG00000036583
chlorocebus_sabaeus ENSCSAG00000015259
piliocolobus_tephrosceles ENSPTEG00000007281
colobus_angolensis_palliatus ENSCANG00000032874
rhinopithecus_roxellana ENSRROG00000021528
rhinopithecus_bieti ENSRBIG00000039699
heterocephalus_glaber_female ENSHGLG00000014999
cavia_aperea ENSCAPG00000018017
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019102
mus_musculus ENSMUSG00000041297
mus_spicilegus ENSMSIG00000002486
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018246
mus_pahari MGP_PahariEiJ_G0019296
rattus_norvegicus ENSRNOG00000013620
meriones_unguiculatus ENSMUGG00000015505
cricetulus_griseus_chok1gshd ENSCGRG00001020334
