melopsittacus_undulatus ENSMUNG00000010614
calidris_pugnax ENSCPUG00000004622
gallus_gallus ENSGALG00000044479
meleagris_gallopavo ENSMGAG00000014060
numida_meleagris ENSNMEG00000006810
anser_brachyrhynchus ENSABRG00000002369
anas_platyrhynchos_platyrhynchos ENSAPLG00000013321
dromaius_novaehollandiae ENSDNVG00000008059
apteryx_rowi ENSARWG00000013684
crocodylus_porosus ENSCPRG00005004582
gopherus_agassizii ENSGAGG00000023223
pogona_vitticeps ENSPVIG00000021849
salvator_merianae ENSSMRG00000021106
pteropus_vampyrus ENSPVAG00000011350
myotis_lucifugus ENSMLUG00000029485
capra_hircus ENSCHIG00000022823
ovis_aries ENSOARG00000017832
bos_mutus ENSBMUG00000006164
bos_taurus ENSBTAG00000030864
bison_bison_bison ENSBBBG00000018728
tursiops_truncatus ENSTTRG00000013433
sus_scrofa ENSSSCG00000008584
vicugna_pacos ENSVPAG00000005548
ursus_americanus ENSUAMG00000025279
ursus_maritimus ENSUMAG00000022825
mustela_putorius_furo ENSMPUG00000013988
canis_lupus_familiaris ENSCAFG00000030215
canis_lupus_dingo ENSCAFG00020025572
vulpes_vulpes ENSVVUG00000010899
panthera_pardus ENSPPRG00000023222
panthera_tigris_altaica ENSPTIG00000017562
felis_catus ENSFCAG00000028526
castor_canadensis ENSCCNG00000005897
dipodomys_ordii ENSDORG00000028363
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018432
mus_spicilegus ENSMSIG00000000024
mus_musculus ENSMUSG00000050545
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017588
mus_pahari MGP_PahariEiJ_G0029346
rattus_norvegicus ENSRNOG00000049615
meriones_unguiculatus ENSMUGG00000003991
cricetulus_griseus_crigri-picr ENSCGRG00015026974
cricetulus_griseus_chok1gshd ENSCGRG00001002148
cricetulus_griseus_crigri ENSCGRG00000005094
mesocricetus_auratus ENSMAUG00000017259
microtus_ochrogaster ENSMOCG00000006563
peromyscus_maniculatus_bairdii ENSPEMG00000007380
nannospalax_galili ENSNGAG00000019384
jaculus_jaculus ENSJJAG00000019232
urocitellus_parryii ENSUPAG00010008599
