seriola_lalandi_dorsalis ENSSLDG00000015125
scophthalmus_maximus ENSSMAG00000000033
monopterus_albus ENSMALG00000001214
pundamilia_nyererei ENSPNYG00000023679
neolamprologus_brichardi ENSNBRG00000022531
labrus_bergylta ENSLBEG00000028387
amphiprion_ocellaris ENSAOCG00000006576
amphiprion_percula ENSAPEG00000009569
acanthochromis_polyacanthus ENSAPOG00000015641
stegastes_partitus ENSSPAG00000009180
poecilia_mexicana ENSPMEG00000003821
poecilia_latipinna ENSPLAG00000016895
gambusia_affinis ENSGAFG00000000079
xiphophorus_maculatus ENSXMAG00000029497
xiphophorus_couchianus ENSXCOG00000016630
poecilia_latipinna ENSPLAG00000016905
oryzias_melastigma ENSOMEG00000017867
amphilophus_citrinellus ENSACIG00000009231
anabas_testudineus ENSATEG00000008826
cynoglossus_semilaevis ENSCSEG00000008612
takifugu_rubripes ENSTRUG00000022880
