crocodylus_porosus ENSCPRG00005005769
chrysemys_picta_bellii ENSCPBG00000027692
calidris_pygmaea ENSCPGG00000005614
calidris_pugnax ENSCPUG00000005838
melopsittacus_undulatus ENSMUNG00000001924
taeniopygia_guttata ENSTGUG00000013308
taeniopygia_guttata ENSTGUG00000013307
lonchura_striata_domestica ENSLSDG00000012018
serinus_canaria ENSSCAG00000011620
zonotrichia_albicollis ENSZALG00000017375
junco_hyemalis ENSJHYG00000010145
ficedula_albicollis ENSFALG00000004715
cyanistes_caeruleus ENSCCEG00000013903
parus_major ENSPMJG00000007313
manacus_vitellinus ENSMVIG00005013392
lepidothrix_coronata ENSLCOG00000005575
meleagris_gallopavo ENSMGAG00000014111
coturnix_japonica ENSCJPG00005016750
apteryx_rowi ENSARWG00000004712
apteryx_owenii ENSAOWG00000011105
apteryx_haastii ENSAHAG00000012992
dromaius_novaehollandiae ENSDNVG00000017216
nothoprocta_perdicaria ENSNPEG00000006990
latimeria_chalumnae ENSLACG00000010385
