anser_brachyrhynchus ENSABRG00000015748
anas_platyrhynchos_platyrhynchos ENSAPLG00000029474
coturnix_japonica ENSCJPG00005009955
gallus_gallus ENSGALG00000019484
numida_meleagris ENSNMEG00000013387
calidris_pugnax ENSCPUG00000019001
chrysemys_picta_bellii ENSCPBG00000020989
pogona_vitticeps ENSPVIG00000014042
anolis_carolinensis ENSACAG00000029603
phascolarctos_cinereus ENSPCIG00000032672
monodelphis_domestica ENSMODG00000028160
ornithorhynchus_anatinus ENSOANG00000005611
latimeria_chalumnae ENSLACG00000022485
pygocentrus_nattereri ENSPNAG00000004810
ictalurus_punctatus ENSIPUG00000000124
danio_rerio ENSDARG00000090429
mastacembelus_armatus ENSMAMG00000015293
monopterus_albus ENSMALG00000021001
scophthalmus_maximus ENSSMAG00000019772
cynoglossus_semilaevis ENSCSEG00000010507
seriola_dumerili ENSSDUG00000018378
labrus_bergylta ENSLBEG00000012215
takifugu_rubripes ENSTRUG00000023325
astatotilapia_calliptera ENSACLG00000019265
haplochromis_burtoni ENSHBUG00000007358
oreochromis_niloticus ENSONIG00000009565
poecilia_formosa ENSPFOG00000014606
poecilia_latipinna ENSPLAG00000009724
poecilia_mexicana ENSPMEG00000023722
poecilia_reticulata ENSPREG00000008889
gambusia_affinis ENSGAFG00000021420
fundulus_heteroclitus ENSFHEG00000013176
amphiprion_ocellaris ENSAOCG00000017561
lepisosteus_oculatus ENSLOCG00000006212
