rhinopithecus_bieti ENSRBIG00000030242
rhinopithecus_roxellana ENSRROG00000031248
colobus_angolensis ENSCANG00000032944
saimiri_boliviensis ENSSBOG00000019604
callithrix_jacchus ENSCJAG00000013875
pan_troglodytes ENSPTRG00000048779
carlito_syrichta ENSTSYG00000030282
carlito_syrichta ENSTSYG00000030366
cebus_capucinus ENSCCAG00000017225
cebus_capucinus ENSCCAG00000011776
saimiri_boliviensis ENSSBOG00000036407
aotus_nancymaae ENSANAG00000019642
aotus_nancymaae ENSANAG00000019776
gorilla_gorilla ENSGGOG00000043209
pan_paniscus ENSPPAG00000031879
theropithecus_gelada ENSTGEG00000017738
papio_anubis ENSPANG00000033606
theropithecus_gelada ENSTGEG00000017757
cercocebus_atys ENSCATG00000043097
mandrillus_leucophaeus ENSMLEG00000028847
pan_paniscus ENSPPAG00000032174
pan_troglodytes ENSPTRG00000047568
nomascus_leucogenys ENSNLEG00000028052
macaca_fascicularis ENSMFAG00000039544
macaca_nemestrina ENSMNEG00000043162
piliocolobus_tephrosceles ENSPTEG00000028841
theropithecus_gelada ENSTGEG00000028307
theropithecus_gelada ENSTGEG00000028433
papio_anubis ENSPANG00000005062
macaca_nemestrina ENSMNEG00000013886
carlito_syrichta ENSTSYG00000036263
microcebus_murinus ENSMICG00000048114
dipodomys_ordii ENSDORG00000027865
tupaia_belangeri ENSTBEG00000008065
tupaia_belangeri ENSTBEG00000008573
tupaia_belangeri ENSTBEG00000011304
cricetulus_griseus ENSCGRG00001012578
cricetulus_griseus ENSCGRG00015007714
cricetulus_griseus ENSCGRG00001013132
cricetulus_griseus ENSCGRG00015002210
cricetulus_griseus ENSCGRG00015002205
cricetulus_griseus ENSCGRG00015002376
cricetulus_griseus ENSCGRG00015021429
mesocricetus_auratus ENSMAUG00000016422
cricetulus_griseus ENSCGRG00015003339
cricetulus_griseus ENSCGRG00015011880
cricetulus_griseus ENSCGRG00015012291
cricetulus_griseus ENSCGRG00015013005
cricetulus_griseus ENSCGRG00015010150
cricetulus_griseus ENSCGRG00015011866
cricetulus_griseus ENSCGRG00001013259
cricetulus_griseus ENSCGRG00001013265
cricetulus_griseus ENSCGRG00000000645
peromyscus_maniculatus ENSPEMG00000029221
peromyscus_maniculatus ENSPEMG00000027907
microtus_ochrogaster ENSMOCG00000001452
mus_musculus ENSMUSG00000093861
mus_musculus ENSMUSG00000094335
mus_spicilegus ENSMSIG00000009960
mus_spicilegus ENSMSIG00000005447
mus_musculus ENSMUSG00000095497
peromyscus_maniculatus ENSPEMG00000027633
peromyscus_maniculatus ENSPEMG00000008635
peromyscus_maniculatus ENSPEMG00000028930
peromyscus_maniculatus ENSPEMG00000027215
peromyscus_maniculatus ENSPEMG00000031197
peromyscus_maniculatus ENSPEMG00000022123
peromyscus_maniculatus ENSPEMG00000027479
mus_spretus MGP_SPRETEiJ_G0000085
mus_musculus ENSMUSG00000076525
mus_spicilegus ENSMSIG00000010679
rattus_norvegicus ENSRNOG00000047920
rattus_norvegicus ENSRNOG00000060746
rattus_norvegicus ENSRNOG00000049049
rattus_norvegicus ENSRNOG00000049185
rattus_norvegicus ENSRNOG00000048067
rattus_norvegicus ENSRNOG00000058405
rattus_norvegicus ENSRNOG00000045599
rattus_norvegicus ENSRNOG00000049268
rattus_norvegicus ENSRNOG00000046592
rattus_norvegicus ENSRNOG00000049501
rattus_norvegicus ENSRNOG00000049193
rattus_norvegicus ENSRNOG00000038336
rattus_norvegicus ENSRNOG00000046284
