chelonoidis_abingdonii ENSCABG00000000837
gopherus_agassizii ENSGAGG00000005618
chrysemys_picta_bellii ENSCPBG00000005148
pelodiscus_sinensis ENSPSIG00000011564
crocodylus_porosus ENSCPRG00005004916
pogona_vitticeps ENSPVIG00000012562
anolis_carolinensis ENSACAG00000006994
notechis_scutatus ENSNSUG00000009031
salvator_merianae ENSSMRG00000019297
sphenodon_punctatus ENSSPUG00000014486
apteryx_owenii ENSAOWG00000011252
apteryx_rowi ENSARWG00000005267
apteryx_haastii ENSAHAG00000014487
dromaius_novaehollandiae ENSDNVG00000017339
nothoprocta_perdicaria ENSNPEG00000006520
lepidothrix_coronata ENSLCOG00000005610
manacus_vitellinus ENSMVIG00005013501
lonchura_striata_domestica ENSLSDG00000012218
taeniopygia_guttata ENSTGUG00000013276
junco_hyemalis ENSJHYG00000010485
zonotrichia_albicollis ENSZALG00000017357
serinus_canaria ENSSCAG00000014698
ficedula_albicollis ENSFALG00000004645
parus_major ENSPMJG00000007018
cyanistes_caeruleus ENSCCEG00000013895
melopsittacus_undulatus ENSMUNG00000001884
calidris_pygmaea ENSCPGG00000005365
calidris_pugnax ENSCPUG00000005810
anser_brachyrhynchus ENSABRG00000012266
anas_platyrhynchos_platyrhynchos ENSAPLG00000004866
gallus_gallus ENSGALG00000014561
meleagris_gallopavo ENSMGAG00000014138
coturnix_japonica ENSCJPG00005016762
numida_meleagris ENSNMEG00000016621
prolemur_simus ENSPSMG00000015028
microcebus_murinus ENSMICG00000001782
propithecus_coquereli ENSPCOG00000018515
otolemur_garnettii ENSOGAG00000010915
chlorocebus_sabaeus ENSCSAG00000010157
macaca_mulatta ENSMMUG00000010203
pan_troglodytes ENSPTRG00000004601
pan_paniscus ENSPPAG00000027742
gorilla_gorilla ENSGGOG00000004276
pongo_abelii ENSPPYG00000004213
callithrix_jacchus ENSCJAG00000007188
saimiri_boliviensis_boliviensis ENSSBOG00000023720
chinchilla_lanigera ENSCLAG00000013644
octodon_degus ENSODEG00000003352
cavia_porcellus ENSCPOG00000008887
cavia_aperea ENSCAPG00000009197
heterocephalus_glaber_male ENSHGLG00100008516
heterocephalus_glaber_female ENSHGLG00000001036
