mola_mola ENSMMOG00000006103
labrus_bergylta ENSLBEG00000000213
haplochromis_burtoni ENSHBUG00000022047
esox_lucius ENSELUG00000015874
haplochromis_burtoni ENSHBUG00000022051
neolamprologus_brichardi ENSNBRG00000004765
oryzias_latipes ENSORLG00000026532
fundulus_heteroclitus ENSFHEG00000007864
fundulus_heteroclitus ENSFHEG00000007873
poecilia_mexicana ENSPMEG00000003781
poecilia_reticulata ENSPREG00000012550
xiphophorus_maculatus ENSXMAG00000029727
xiphophorus_couchianus ENSXCOG00000017975
gambusia_affinis ENSGAFG00000022013
periophthalmus_magnuspinnatus ENSPMGG00000006768
monopterus_albus ENSMALG00000005553
scophthalmus_maximus ENSSMAG00000005693
ictalurus_punctatus ENSIPUG00000006871
paramormyrops_kingsleyae ENSPKIG00000004740
cyprinodon_variegatus ENSCVAG00000018208
fundulus_heteroclitus ENSFHEG00000004224
poecilia_reticulata ENSPREG00000012528
poecilia_formosa ENSPFOG00000018579
gambusia_affinis ENSGAFG00000022012
kryptolebias_marmoratus ENSKMAG00000000509
oryzias_latipes ENSORLG00000027188
oryzias_latipes_asm223469v1 ENSORLG00015010191
oryzias_melastigma ENSOMEG00000011367
tetraodon_nigroviridis ENSTNIG00000008609
takifugu_rubripes ENSTRUG00000003598
xiphophorus_maculatus ENSXMAG00000006163
xiphophorus_couchianus ENSXCOG00000017974
monopterus_albus ENSMALG00000005531
cynoglossus_semilaevis ENSCSEG00000017329
amphiprion_ocellaris ENSAOCG00000013645
amphiprion_percula ENSAPEG00000013791
acanthochromis_polyacanthus ENSAPOG00000003899
stegastes_partitus ENSSPAG00000010904
anabas_testudineus ENSATEG00000016878
astatotilapia_calliptera ENSACLG00000002183
maylandia_zebra ENSMZEG00005023739
pundamilia_nyererei ENSPNYG00000014929
oreochromis_niloticus ENSONIG00000015779
amphilophus_citrinellus ENSACIG00000017304
hippocampus_comes ENSHCOG00000007676
seriola_dumerili ENSSDUG00000021035
seriola_lalandi_dorsalis ENSSLDG00000000717
mastacembelus_armatus ENSMAMG00000000838
gasterosteus_aculeatus ENSGACG00000020128
gadus_morhua ENSGMOG00000001468
scleropages_formosus ENSSFOG00015011139
paramormyrops_kingsleyae ENSPKIG00000004757
lepisosteus_oculatus ENSLOCG00000005281
pygocentrus_nattereri ENSPNAG00000019178
astyanax_mexicanus ENSAMXG00000003042
ictalurus_punctatus ENSIPUG00000006823
danio_rerio ENSDARG00000009387
pogona_vitticeps ENSPVIG00000013508
anolis_carolinensis ENSACAG00000013863
notechis_scutatus ENSNSUG00000016501
salvator_merianae ENSSMRG00000008113
sphenodon_punctatus ENSSPUG00000014464
apteryx_owenii ENSAOWG00000010125
apteryx_rowi ENSARWG00000000278
apteryx_haastii ENSAHAG00000019165
dromaius_novaehollandiae ENSDNVG00000013353
nothoprocta_perdicaria ENSNPEG00000003340
anser_brachyrhynchus ENSABRG00000004374
anas_platyrhynchos_platyrhynchos ENSAPLG00000005748
gallus_gallus ENSGALG00000000653
meleagris_gallopavo ENSMGAG00000000981
coturnix_japonica ENSCJPG00005014241
numida_meleagris ENSNMEG00000009756
manacus_vitellinus ENSMVIG00005017757
lepidothrix_coronata ENSLCOG00000001987
lonchura_striata_domestica ENSLSDG00000010515
serinus_canaria ENSSCAG00000007643
junco_hyemalis ENSJHYG00000000706
zonotrichia_albicollis ENSZALG00000004392
taeniopygia_guttata ENSTGUG00000017494
parus_major ENSPMJG00000017022
cyanistes_caeruleus ENSCCEG00000017733
ficedula_albicollis ENSFALG00000000352
melopsittacus_undulatus ENSMUNG00000004366
calidris_pugnax ENSCPUG00000014154
calidris_pygmaea ENSCPGG00000018647
crocodylus_porosus ENSCPRG00005010532
gopherus_agassizii ENSGAGG00000004014
chelonoidis_abingdonii ENSCABG00000002187
chrysemys_picta_bellii ENSCPBG00000001401
pelodiscus_sinensis ENSPSIG00000013759
pan_troglodytes ENSPTRG00000001892
pan_paniscus ENSPPAG00000028002
homo_sapiens ENSG00000184144
gorilla_gorilla ENSGGOG00000014781
pongo_abelii ENSPPYG00000000312
nomascus_leucogenys ENSNLEG00000014386
colobus_angolensis_palliatus ENSCANG00000019561
piliocolobus_tephrosceles ENSPTEG00000032713
rhinopithecus_bieti ENSRBIG00000034974
rhinopithecus_roxellana ENSRROG00000035339
macaca_fascicularis ENSMFAG00000038396
macaca_nemestrina ENSMNEG00000036372
macaca_mulatta ENSMMUG00000018797
chlorocebus_sabaeus ENSCSAG00000014592
papio_anubis ENSPANG00000019892
theropithecus_gelada ENSTGEG00000014615
mandrillus_leucophaeus ENSMLEG00000030884
cercocebus_atys ENSCATG00000029452
callithrix_jacchus ENSCJAG00000017136
saimiri_boliviensis_boliviensis ENSSBOG00000013269
cebus_capucinus ENSCCAG00000034308
aotus_nancymaae ENSANAG00000021524
carlito_syrichta ENSTSYG00000011219
propithecus_coquereli ENSPCOG00000023113
microcebus_murinus ENSMICG00000013182
prolemur_simus ENSPSMG00000006286
otolemur_garnettii ENSOGAG00000007375
tupaia_belangeri ENSTBEG00000000354
castor_canadensis ENSCCNG00000017569
dipodomys_ordii ENSDORG00000014240
mus_spicilegus ENSMSIG00000023282
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015397
mus_musculus ENSMUSG00000053024
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014590
mus_pahari MGP_PahariEiJ_G0027826
rattus_norvegicus ENSRNOG00000009033
meriones_unguiculatus ENSMUGG00000021539
cricetulus_griseus_chok1gshd ENSCGRG00001000875
cricetulus_griseus_crigri-picr ENSCGRG00015002933
cricetulus_griseus_crigri ENSCGRG00000008724
mesocricetus_auratus ENSMAUG00000015129
peromyscus_maniculatus_bairdii ENSPEMG00000020849
microtus_ochrogaster ENSMOCG00000020328
nannospalax_galili ENSNGAG00000013795
jaculus_jaculus ENSJJAG00000012638
chinchilla_lanigera ENSCLAG00000011919
octodon_degus ENSODEG00000005095
cavia_aperea ENSCAPG00000007688
cavia_porcellus ENSCPOG00000011751
heterocephalus_glaber_female ENSHGLG00000019314
heterocephalus_glaber_male ENSHGLG00100010149
fukomys_damarensis ENSFDAG00000012460
ictidomys_tridecemlineatus ENSSTOG00000004555
spermophilus_dauricus ENSSDAG00000016599
marmota_marmota_marmota ENSMMMG00000004499
urocitellus_parryii ENSUPAG00010014130
oryctolagus_cuniculus ENSOCUG00000015404
ochotona_princeps ENSOPRG00000010069
tursiops_truncatus ENSTTRG00000006582
sus_scrofa ENSSSCG00000040824
capra_hircus ENSCHIG00000017645
ovis_aries ENSOARG00000003261
bos_mutus ENSBMUG00000007741
bos_taurus ENSBTAG00000014645
bison_bison_bison ENSBBBG00000003994
equus_asinus_asinus ENSEASG00005006417
equus_caballus ENSECAG00000017600
pteropus_vampyrus ENSPVAG00000004112
myotis_lucifugus ENSMLUG00000007095
ursus_americanus ENSUAMG00000005277
ursus_maritimus ENSUMAG00000003595
ailuropoda_melanoleuca ENSAMEG00000001255
neovison_vison ENSNVIG00000017660
mustela_putorius_furo ENSMPUG00000011745
canis_lupus_dingo ENSCAFG00020005620
canis_lupus_familiaris ENSCAFG00000024609
vulpes_vulpes ENSVVUG00000014833
panthera_tigris_altaica ENSPTIG00000016833
panthera_pardus ENSPPRG00000014931
felis_catus ENSFCAG00000006714
echinops_telfairi ENSETEG00000004716
dasypus_novemcinctus ENSDNOG00000040103
erinaceus_europaeus ENSEEUG00000000161
loxodonta_africana ENSLAFG00000023023
procavia_capensis ENSPCAG00000005225
sorex_araneus ENSSARG00000004608
phascolarctos_cinereus ENSPCIG00000004391
notamacropus_eugenii ENSMEUG00000009886
sarcophilus_harrisii ENSSHAG00000012753
monodelphis_domestica ENSMODG00000001692
ornithorhynchus_anatinus ENSOANG00000013469
xenopus_tropicalis ENSXETG00000015325
latimeria_chalumnae ENSLACG00000013846
ciona_intestinalis ENSCING00000013107
