meleagris_gallopavo ENSMGAG00000006041
coturnix_japonica ENSCJPG00005005014
gallus_gallus ENSGALG00000044581
numida_meleagris ENSNMEG00000016578
anas_platyrhynchos_platyrhynchos ENSAPLG00000023889
melopsittacus_undulatus ENSMUNG00000016257
calidris_pugnax ENSCPUG00000018279
lonchura_striata_domestica ENSLSDG00000008993
taeniopygia_guttata ENSTGUG00000002457
junco_hyemalis ENSJHYG00000004201
zonotrichia_albicollis ENSZALG00000012246
serinus_canaria ENSSCAG00000003012
cyanistes_caeruleus ENSCCEG00000020399
lepidothrix_coronata ENSLCOG00000008396
manacus_vitellinus ENSMVIG00005003096
dromaius_novaehollandiae ENSDNVG00000017693
apteryx_owenii ENSAOWG00000009031
calidris_pygmaea ENSCPGG00000014937
crocodylus_porosus ENSCPRG00005013293
gopherus_agassizii ENSGAGG00000016393
chelonoidis_abingdonii ENSCABG00000017232
pelodiscus_sinensis ENSPSIG00000010599
sphenodon_punctatus ENSSPUG00000012639
pogona_vitticeps ENSPVIG00000019188
notechis_scutatus ENSNSUG00000006338
salvator_merianae ENSSMRG00000015780
notamacropus_eugenii ENSMEUG00000012120
phascolarctos_cinereus ENSPCIG00000030620
monodelphis_domestica ENSMODG00000010745
loxodonta_africana ENSLAFG00000032600
procavia_capensis ENSPCAG00000014073
echinops_telfairi ENSETEG00000002846
pteropus_vampyrus ENSPVAG00000001523
myotis_lucifugus ENSMLUG00000022835
ursus_americanus ENSUAMG00000010395
ursus_maritimus ENSUMAG00000022126
ailuropoda_melanoleuca ENSAMEG00000010114
mustela_putorius_furo ENSMPUG00000016386
neovison_vison ENSNVIG00000010630
canis_lupus_familiaris ENSCAFG00000016433
canis_lupus_dingo ENSCAFG00020009127
panthera_pardus ENSPPRG00000006601
panthera_tigris_altaica ENSPTIG00000019970
felis_catus ENSFCAG00000000077
bos_mutus ENSBMUG00000013036
bos_taurus ENSBTAG00000019556
bison_bison_bison ENSBBBG00000022339
ovis_aries ENSOARG00000017614
capra_hircus ENSCHIG00000000688
tursiops_truncatus ENSTTRG00000003515
sus_scrofa ENSSSCG00000003435
equus_caballus ENSECAG00000014794
equus_asinus_asinus ENSEASG00005016479
erinaceus_europaeus ENSEEUG00000004164
pan_troglodytes ENSPTRG00000000160
pan_paniscus ENSPPAG00000028466
gorilla_gorilla ENSGGOG00000000196
homo_sapiens ENSG00000116691
pongo_abelii ENSPPYG00000001872
nomascus_leucogenys ENSNLEG00000009767
piliocolobus_tephrosceles ENSPTEG00000031877
colobus_angolensis_palliatus ENSCANG00000041840
rhinopithecus_roxellana ENSRROG00000045545
rhinopithecus_bieti ENSRBIG00000015973
theropithecus_gelada ENSTGEG00000020947
papio_anubis ENSPANG00000014730
macaca_mulatta ENSMMUG00000032248
macaca_fascicularis ENSMFAG00000041460
macaca_nemestrina ENSMNEG00000037059
mandrillus_leucophaeus ENSMLEG00000035478
cercocebus_atys ENSCATG00000036745
chlorocebus_sabaeus ENSCSAG00000000807
cebus_capucinus ENSCCAG00000026110
callithrix_jacchus ENSCJAG00000013541
saimiri_boliviensis_boliviensis ENSSBOG00000035133
aotus_nancymaae ENSANAG00000022537
carlito_syrichta ENSTSYG00000032736
propithecus_coquereli ENSPCOG00000014777
prolemur_simus ENSPSMG00000014217
microcebus_murinus ENSMICG00000038774
otolemur_garnettii ENSOGAG00000005356
heterocephalus_glaber_female ENSHGLG00000011300
heterocephalus_glaber_male ENSHGLG00100015868
fukomys_damarensis ENSFDAG00000018802
chinchilla_lanigera ENSCLAG00000008183
octodon_degus ENSODEG00000012969
cavia_aperea ENSCAPG00000007600
cavia_porcellus ENSCPOG00000032652
urocitellus_parryii ENSUPAG00010003861
ictidomys_tridecemlineatus ENSSTOG00000024734
spermophilus_dauricus ENSSDAG00000002426
mus_spicilegus ENSMSIG00000011005
mus_musculus ENSMUSG00000029022
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027776
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026784
mus_pahari MGP_PahariEiJ_G0029132
rattus_norvegicus ENSRNOG00000024139
rattus_norvegicus ENSRNOG00000047911
meriones_unguiculatus ENSMUGG00000020448
cricetulus_griseus_crigri ENSCGRG00000005212
cricetulus_griseus_chok1gshd ENSCGRG00001007967
cricetulus_griseus_crigri-picr ENSCGRG00015001785
mesocricetus_auratus ENSMAUG00000020135
microtus_ochrogaster ENSMOCG00000012534
peromyscus_maniculatus_bairdii ENSPEMG00000020072
nannospalax_galili ENSNGAG00000016536
jaculus_jaculus ENSJJAG00000013944
castor_canadensis ENSCCNG00000011788
oryctolagus_cuniculus ENSOCUG00000003525
ochotona_princeps ENSOPRG00000005046
tupaia_belangeri ENSTBEG00000007496
dasypus_novemcinctus ENSDNOG00000006111
ornithorhynchus_anatinus ENSOANG00000019970
astyanax_mexicanus ENSAMXG00000003710
pygocentrus_nattereri ENSPNAG00000002924
ictalurus_punctatus ENSIPUG00000003907
danio_rerio ENSDARG00000088346
cynoglossus_semilaevis ENSCSEG00000021671
takifugu_rubripes ENSTRUG00000019586
monopterus_albus ENSMALG00000003665
mastacembelus_armatus ENSMAMG00000015346
anabas_testudineus ENSATEG00000024951
poecilia_mexicana ENSPMEG00000015633
poecilia_formosa ENSPFOG00000014370
poecilia_latipinna ENSPLAG00000011640
gambusia_affinis ENSGAFG00000012371
xiphophorus_maculatus ENSXMAG00000017150
fundulus_heteroclitus ENSFHEG00000022457
cyprinodon_variegatus ENSCVAG00000011661
kryptolebias_marmoratus ENSKMAG00000009397
oryzias_latipes ENSORLG00020020018
oryzias_latipes ENSORLG00000030292
oryzias_latipes_asm223469v1 ENSORLG00015015839
oryzias_melastigma ENSOMEG00000021781
maylandia_zebra ENSMZEG00005014328
astatotilapia_calliptera ENSACLG00000015537
haplochromis_burtoni ENSHBUG00000015089
amphiprion_percula ENSAPEG00000004191
amphiprion_ocellaris ENSAOCG00000016303
acanthochromis_polyacanthus ENSAPOG00000018219
seriola_lalandi_dorsalis ENSSLDG00000004050
seriola_dumerili ENSSDUG00000014971
scophthalmus_maximus ENSSMAG00000014948
labrus_bergylta ENSLBEG00000024309
gasterosteus_aculeatus ENSGACG00000007471
hippocampus_comes ENSHCOG00000020365
gadus_morhua ENSGMOG00000001913
esox_lucius ENSELUG00000023665
scleropages_formosus ENSSFOG00015007669
paramormyrops_kingsleyae ENSPKIG00000013351
lepisosteus_oculatus ENSLOCG00000004256
