dasypus_novemcinctus ENSDNOG00000047843
chelonoidis_abingdonii ENSCABG00000008884
latimeria_chalumnae ENSLACG00000004779
paramormyrops_kingsleyae ENSPKIG00000016161
scleropages_formosus ENSSFOG00015021099
xiphophorus_maculatus ENSXMAG00000025495
xiphophorus_couchianus ENSXCOG00000019579
poecilia_reticulata ENSPREG00000016675
poecilia_formosa ENSPFOG00000015758
poecilia_mexicana ENSPMEG00000011494
gambusia_affinis ENSGAFG00000015026
cyprinodon_variegatus ENSCVAG00000001943
kryptolebias_marmoratus ENSKMAG00000003075
oryzias_latipes_asm223469v1 ENSORLG00015016561
oryzias_latipes ENSORLG00000025215
oryzias_latipes ENSORLG00020010619
neolamprologus_brichardi ENSNBRG00000005657
periophthalmus_magnuspinnatus ENSPMGG00000008710
mola_mola ENSMMOG00000003600
cynoglossus_semilaevis ENSCSEG00000002008
cynoglossus_semilaevis ENSCSEG00000007817
