cottoperca_gobio ENSCGOG00000003655
amphilophus_citrinellus ENSACIG00000020199
pogona_vitticeps ENSPVIG00000007111
anolis_carolinensis ENSACAG00000009983
salvator_merianae ENSSMRG00000021172
notechis_scutatus ENSNSUG00000012323
sphenodon_punctatus ENSSPUG00000012685
apteryx_owenii ENSAOWG00000009583
apteryx_haastii ENSAHAG00000004546
apteryx_rowi ENSARWG00000002128
dromaius_novaehollandiae ENSDNVG00000005026
nothoprocta_perdicaria ENSNPEG00000000220
anas_platyrhynchos ENSAPLG00000007622
anser_brachyrhynchus ENSABRG00000014378
gallus_gallus ENSGALG00000041043
coturnix_japonica ENSCJPG00005005111
meleagris_gallopavo ENSMGAG00000012378
numida_meleagris ENSNMEG00000004762
manacus_vitellinus ENSMVIG00005014245
lepidothrix_coronata ENSLCOG00000008360
lonchura_striata ENSLSDG00000004496
taeniopygia_guttata ENSTGUG00000012207
junco_hyemalis ENSJHYG00000001613
zonotrichia_albicollis ENSZALG00000009037
serinus_canaria ENSSCAG00000006251
cyanistes_caeruleus ENSCCEG00000002001
parus_major ENSPMJG00000010755
ficedula_albicollis ENSFALG00000006082
calidris_pugnax ENSCPUG00000007101
calidris_pygmaea ENSCPGG00000007308
melopsittacus_undulatus ENSMUNG00000004737
crocodylus_porosus ENSCPRG00005006767
gopherus_agassizii ENSGAGG00000004448
chelonoidis_abingdonii ENSCABG00000013137
chrysemys_picta ENSCPBG00000000685
pelodiscus_sinensis ENSPSIG00000014544
vombatus_ursinus ENSVURG00010008209
phascolarctos_cinereus ENSPCIG00000037467
notamacropus_eugenii ENSMEUG00000009873
sarcophilus_harrisii ENSSHAG00000018659
monodelphis_domestica ENSMODG00000045810
erinaceus_europaeus ENSEEUG00000014538
sorex_araneus ENSSARG00000009612
castor_canadensis ENSCCNG00000027649
dipodomys_ordii ENSDORG00000000539
mus_musculus ENSMUSG00000042895
mus_spretus MGP_SPRETEiJ_G0020662
mus_spicilegus ENSMSIG00000031032
mus_caroli MGP_CAROLIEiJ_G0019765
mus_pahari MGP_PahariEiJ_G0019774
rattus_norvegicus ENSRNOG00000007999
meriones_unguiculatus ENSMUGG00000006346
cricetulus_griseus ENSCGRG00001012776
cricetulus_griseus ENSCGRG00000011193
cricetulus_griseus ENSCGRG00015026849
mesocricetus_auratus ENSMAUG00000011203
microtus_ochrogaster ENSMOCG00000011808
peromyscus_maniculatus ENSPEMG00000020836
nannospalax_galili ENSNGAG00000022930
jaculus_jaculus ENSJJAG00000014202
spermophilus_dauricus ENSSDAG00000001604
marmota_marmota ENSMMMG00000016895
urocitellus_parryii ENSUPAG00010014421
ictidomys_tridecemlineatus ENSSTOG00000011664
oryctolagus_cuniculus ENSOCUG00000006570
ochotona_princeps ENSOPRG00000012673
rhinopithecus_bieti ENSRBIG00000003795
rhinopithecus_roxellana ENSRROG00000038121
piliocolobus_tephrosceles ENSPTEG00000035970
colobus_angolensis ENSCANG00000028876
macaca_fascicularis ENSMFAG00000043594
