seriola_lalandi_dorsalis ENSSLDG00000016113
seriola_dumerili ENSSDUG00000006836
scophthalmus_maximus ENSSMAG00000019710
takifugu_rubripes ENSTRUG00000013742
tetraodon_nigroviridis ENSTNIG00000018404
mola_mola ENSMMOG00000001958
labrus_bergylta ENSLBEG00000024474
gasterosteus_aculeatus ENSGACG00000008671
poecilia_mexicana ENSPMEG00000011434
poecilia_latipinna ENSPLAG00000018798
poecilia_formosa ENSPFOG00000001574
xiphophorus_maculatus ENSXMAG00000014202
fundulus_heteroclitus ENSFHEG00000016416
cyprinodon_variegatus ENSCVAG00000011061
kryptolebias_marmoratus ENSKMAG00000013724
oryzias_latipes ENSORLG00000024103
oryzias_latipes ENSORLG00020013664
oryzias_melastigma ENSOMEG00000022507
amphiprion_ocellaris ENSAOCG00000024264
amphiprion_percula ENSAPEG00000021950
acanthochromis_polyacanthus ENSAPOG00000013993
monopterus_albus ENSMALG00000012024
anabas_testudineus ENSATEG00000004588
cynoglossus_semilaevis ENSCSEG00000004591
gadus_morhua ENSGMOG00000017032
esox_lucius ENSELUG00000023872
paramormyrops_kingsleyae ENSPKIG00000018775
scleropages_formosus ENSSFOG00015001566
danio_rerio ENSDARG00000062244
astyanax_mexicanus ENSAMXG00000041676
ailuropoda_melanoleuca ENSAMEG00000016632
mustela_putorius_furo ENSMPUG00000015245
eptatretus_burgeri ENSEBUG00000004036
