xiphophorus_couchianus ENSXCOG00000010397
xiphophorus_maculatus ENSXMAG00000010476
gambusia_affinis ENSGAFG00000007161
poecilia_mexicana ENSPMEG00000021338
poecilia_latipinna ENSPLAG00000008483
cyprinodon_variegatus ENSCVAG00000019000
kryptolebias_marmoratus ENSKMAG00000009857
oryzias_latipes ENSORLG00000007678
oryzias_latipes ENSORLG00020005417
oryzias_latipes ENSORLG00015007258
oryzias_melastigma ENSOMEG00000012270
takifugu_rubripes ENSTRUG00000025786
periophthalmus_magnuspinnatus ENSPMGG00000018238
cynoglossus_semilaevis ENSCSEG00000020084
betta_splendens ENSBSLG00000023157
stegastes_partitus ENSSPAG00000009173
acanthochromis_polyacanthus ENSAPOG00000000664
amphiprion_ocellaris ENSAOCG00000001848
amphiprion_percula ENSAPEG00000011095
parambassis_ranga ENSPRNG00000025224
astatotilapia_calliptera ENSACLG00000000862
maylandia_zebra ENSMZEG00005008157
pundamilia_nyererei ENSPNYG00000000154
haplochromis_burtoni ENSHBUG00000003592
neolamprologus_brichardi ENSNBRG00000018577
amphilophus_citrinellus ENSACIG00000015570
seriola_lalandi ENSSLDG00000002443
seriola_dumerili ENSSDUG00000010445
mola_mola ENSMMOG00000009423
monopterus_albus ENSMALG00000005518
mastacembelus_armatus ENSMAMG00000012767
lates_calcarifer ENSLCAG00010005991
labrus_bergylta ENSLBEG00000013522
cottoperca_gobio ENSCGOG00000016341
anabas_testudineus ENSATEG00000000936
scophthalmus_maximus ENSSMAG00000009574
hippocampus_comes ENSHCOG00000002837
gouania_willdenowi ENSGWIG00000003364
gadus_morhua ENSGMOG00000001977
esox_lucius ENSELUG00000005974
pygocentrus_nattereri ENSPNAG00000020157
astyanax_mexicanus ENSAMXG00000007466
electrophorus_electricus ENSEEEG00000002797
ictalurus_punctatus ENSIPUG00000018489
danio_rerio ENSDARG00000092970
scleropages_formosus ENSSFOG00015016844
lepisosteus_oculatus ENSLOCG00000009797
zonotrichia_albicollis ENSZALG00000010260
junco_hyemalis ENSJHYG00000014022
parus_major ENSPMJG00000008736
cyanistes_caeruleus ENSCCEG00000010823
lonchura_striata ENSLSDG00000009678
ficedula_albicollis ENSFALG00000007635
melopsittacus_undulatus ENSMUNG00000002966
calidris_pugnax ENSCPUG00000003643
manacus_vitellinus ENSMVIG00005010790
lepidothrix_coronata ENSLCOG00000007730
serinus_canaria ENSSCAG00000011114
calidris_pygmaea ENSCPGG00000003588
anser_brachyrhynchus ENSABRG00000003644
apteryx_haastii ENSAHAG00000006328
apteryx_owenii ENSAOWG00000009327
apteryx_rowi ENSARWG00000002331
nothoprocta_perdicaria ENSNPEG00000007519
crocodylus_porosus ENSCPRG00005011404
gallus_gallus ENSGALG00000047591
notechis_scutatus ENSNSUG00000003027
canis_lupus ENSCAFG00020007244
canis_lupus ENSCAFG00020010994
parus_major ENSPMJG00000011513
