chrysemys_picta_bellii ENSCPBG00000007876
xenopus_tropicalis ENSXETG00000024630
latimeria_chalumnae ENSLACG00000017774
scophthalmus_maximus ENSSMAG00000015813
cynoglossus_semilaevis ENSCSEG00000016327
seriola_dumerili ENSSDUG00000020870
seriola_lalandi_dorsalis ENSSLDG00000011631
mastacembelus_armatus ENSMAMG00000010002
monopterus_albus ENSMALG00000006006
anabas_testudineus ENSATEG00000011063
labrus_bergylta ENSLBEG00000020485
amphiprion_percula ENSAPEG00000013396
amphiprion_ocellaris ENSAOCG00000021668
acanthochromis_polyacanthus ENSAPOG00000007176
stegastes_partitus ENSSPAG00000004365
astatotilapia_calliptera ENSACLG00000019801
haplochromis_burtoni ENSHBUG00000017263
pundamilia_nyererei ENSPNYG00000017225
maylandia_zebra ENSMZEG00005015631
neolamprologus_brichardi ENSNBRG00000007961
oreochromis_niloticus ENSONIG00000006211
amphilophus_citrinellus ENSACIG00000002163
esox_lucius ENSELUG00000015217
pygocentrus_nattereri ENSPNAG00000024888
astyanax_mexicanus ENSAMXG00000041747
danio_rerio ENSDARG00000077161
paramormyrops_kingsleyae ENSPKIG00000005633
lepisosteus_oculatus ENSLOCG00000003312
ciona_savignyi ENSCSAVG00000010655
ciona_intestinalis ENSCING00000018243
