cricetulus_griseus_chok1gshd ENSCGRG00001021779
mesocricetus_auratus ENSMAUG00000021829
microtus_ochrogaster ENSMOCG00000021174
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020139
mus_musculus ENSMUSG00000054863
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021036
mus_pahari MGP_PahariEiJ_G0020144
nannospalax_galili ENSNGAG00000000222
jaculus_jaculus ENSJJAG00000022146
ictidomys_tridecemlineatus ENSSTOG00000019476
spermophilus_dauricus ENSSDAG00000022840
heterocephalus_glaber_female ENSHGLG00000017641
heterocephalus_glaber_male ENSHGLG00100018513
fukomys_damarensis ENSFDAG00000018919
chinchilla_lanigera ENSCLAG00000017180
cavia_porcellus ENSCPOG00000032237
octodon_degus ENSODEG00000015536
castor_canadensis ENSCCNG00000008748
piliocolobus_tephrosceles ENSPTEG00000004577
ursus_americanus ENSUAMG00000002493
felis_catus ENSFCAG00000026967
canis_lupus_familiaris ENSCAFG00000000731
vulpes_vulpes ENSVVUG00000025007
neovison_vison ENSNVIG00000003754
ailuropoda_melanoleuca ENSAMEG00000002154
ursus_maritimus ENSUMAG00000018901
marmota_marmota_marmota ENSMMMG00000022767
cavia_aperea ENSCAPG00000010160
bison_bison_bison ENSBBBG00000020452
bos_mutus ENSBMUG00000006165
bos_taurus ENSBTAG00000022986
capra_hircus ENSCHIG00000025679
tursiops_truncatus ENSTTRG00000001604
sus_scrofa ENSSSCG00000034776
equus_caballus ENSECAG00000038005
equus_asinus_asinus ENSEASG00005021470
panthera_pardus ENSPPRG00000000761
canis_lupus_dingo ENSCAFG00020008883
cebus_capucinus ENSCCAG00000021077
callithrix_jacchus ENSCJAG00000048177
aotus_nancymaae ENSANAG00000034169
pan_troglodytes ENSPTRG00000014518
pan_paniscus ENSPPAG00000038916
homo_sapiens ENSG00000219438
gorilla_gorilla ENSGGOG00000036208
macaca_nemestrina ENSMNEG00000000052
theropithecus_gelada ENSTGEG00000003217
rhinopithecus_bieti ENSRBIG00000036620
rhinopithecus_roxellana ENSRROG00000011163
colobus_angolensis_palliatus ENSCANG00000024943
piliocolobus_tephrosceles ENSPTEG00000025778
mandrillus_leucophaeus ENSMLEG00000041572
macaca_fascicularis ENSMFAG00000014834
saimiri_boliviensis_boliviensis ENSSBOG00000028530
carlito_syrichta ENSTSYG00000003839
prolemur_simus ENSPSMG00000008168
microcebus_murinus ENSMICG00000047060
propithecus_coquereli ENSPCOG00000000071
otolemur_garnettii ENSOGAG00000027771
mus_spicilegus ENSMSIG00000021044
rattus_norvegicus ENSRNOG00000049349
meriones_unguiculatus ENSMUGG00000003437
cricetulus_griseus_crigri-picr ENSCGRG00015022473
peromyscus_maniculatus_bairdii ENSPEMG00000028342
urocitellus_parryii ENSUPAG00010007017
dasypus_novemcinctus ENSDNOG00000041800
cercocebus_atys ENSCATG00000033512
macaca_mulatta ENSMMUG00000042762
papio_anubis ENSPANG00000021085
chlorocebus_sabaeus ENSCSAG00000005124
nomascus_leucogenys ENSNLEG00000001285
procavia_capensis ENSPCAG00000012571
ovis_aries ENSOARG00000019584
ornithorhynchus_anatinus ENSOANG00000021878
pygocentrus_nattereri ENSPNAG00000015731
astyanax_mexicanus ENSAMXG00000039812
ictalurus_punctatus ENSIPUG00000017326
danio_rerio ENSDARG00000045608
esox_lucius ENSELUG00000016999
paramormyrops_kingsleyae ENSPKIG00000014982
stegastes_partitus ENSSPAG00000021265
amphiprion_percula ENSAPEG00000013971
poecilia_reticulata ENSPREG00000008265
poecilia_mexicana ENSPMEG00000013486
poecilia_latipinna ENSPLAG00000007733
gambusia_affinis ENSGAFG00000013518
fundulus_heteroclitus ENSFHEG00000012349
cyprinodon_variegatus ENSCVAG00000003380
pundamilia_nyererei ENSPNYG00000005917
maylandia_zebra ENSMZEG00005015542
oreochromis_niloticus ENSONIG00000009799
amphilophus_citrinellus ENSACIG00000008520
scophthalmus_maximus ENSSMAG00000019157
tetraodon_nigroviridis ENSTNIG00000001252
mastacembelus_armatus ENSMAMG00000005139
anabas_testudineus ENSATEG00000007430
amphiprion_ocellaris ENSAOCG00000019111
neolamprologus_brichardi ENSNBRG00000022955
gasterosteus_aculeatus ENSGACG00000019011
seriola_lalandi_dorsalis ENSSLDG00000011213
seriola_dumerili ENSSDUG00000011688
labrus_bergylta ENSLBEG00000019127
periophthalmus_magnuspinnatus ENSPMGG00000005189
haplochromis_burtoni ENSHBUG00000003879
astatotilapia_calliptera ENSACLG00000004353
acanthochromis_polyacanthus ENSAPOG00000007401
monopterus_albus ENSMALG00000008255
xiphophorus_couchianus ENSXCOG00000014740
xiphophorus_maculatus ENSXMAG00000027981
poecilia_formosa ENSPFOG00000009800
kryptolebias_marmoratus ENSKMAG00000020708
oryzias_latipes ENSORLG00020001577
oryzias_latipes_asm223469v1 ENSORLG00015022104
oryzias_latipes ENSORLG00000029774
oryzias_melastigma ENSOMEG00000015288
mola_mola ENSMMOG00000002684
cynoglossus_semilaevis ENSCSEG00000012256
hippocampus_comes ENSHCOG00000011835
esox_lucius ENSELUG00000008937
pygocentrus_nattereri ENSPNAG00000028587
ictalurus_punctatus ENSIPUG00000010346
danio_rerio ENSDARG00000069160
paramormyrops_kingsleyae ENSPKIG00000014641
scleropages_formosus ENSSFOG00015009577
fundulus_heteroclitus ENSFHEG00000008597
