haplochromis_burtoni ENSHBUG00000007982
astatotilapia_calliptera ENSACLG00000012779
maylandia_zebra ENSMZEG00005025240
astatotilapia_calliptera ENSACLG00000014560
astatotilapia_calliptera ENSACLG00000004082
astatotilapia_calliptera ENSACLG00000014582
maylandia_zebra ENSMZEG00005017806
maylandia_zebra ENSMZEG00005000846
maylandia_zebra ENSMZEG00005008385
astatotilapia_calliptera ENSACLG00000025721
maylandia_zebra ENSMZEG00005003565
astatotilapia_calliptera ENSACLG00000004916
maylandia_zebra ENSMZEG00005017071
maylandia_zebra ENSMZEG00005006349
astatotilapia_calliptera ENSACLG00000025817
pundamilia_nyererei ENSPNYG00000021637
