labrus_bergylta ENSLBEG00000013508
mola_mola ENSMMOG00000006244
acanthochromis_polyacanthus ENSAPOG00000015232
stegastes_partitus ENSSPAG00000000050
xiphophorus_maculatus ENSXMAG00000026638
xiphophorus_couchianus ENSXCOG00000007173
poecilia_reticulata ENSPREG00000008756
poecilia_latipinna ENSPLAG00000009156
poecilia_mexicana ENSPMEG00000002048
gambusia_affinis ENSGAFG00000012958
cyprinodon_variegatus ENSCVAG00000012673
fundulus_heteroclitus ENSFHEG00000005839
kryptolebias_marmoratus ENSKMAG00000015742
oryzias_latipes_asm223469v1 ENSORLG00015000163
oryzias_latipes ENSORLG00020022131
oryzias_latipes ENSORLG00000027141
oryzias_melastigma ENSOMEG00000017078
tetraodon_nigroviridis ENSTNIG00000011059
monopterus_albus ENSMALG00000000842
anabas_testudineus ENSATEG00000018320
mastacembelus_armatus ENSMAMG00000005804
astatotilapia_calliptera ENSACLG00000008078
pundamilia_nyererei ENSPNYG00000003132
maylandia_zebra ENSMZEG00005004030
haplochromis_burtoni ENSHBUG00000011304
neolamprologus_brichardi ENSNBRG00000001532
amphilophus_citrinellus ENSACIG00000020596
scophthalmus_maximus ENSSMAG00000005787
cynoglossus_semilaevis ENSCSEG00000011755
seriola_dumerili ENSSDUG00000012664
seriola_lalandi_dorsalis ENSSLDG00000021353
