lonchura_striata ENSLSDG00000006384
serinus_canaria ENSSCAG00000009760
parus_major ENSPMJG00000010529
cyanistes_caeruleus ENSCCEG00000015178
taeniopygia_guttata ENSTGUG00000013377
junco_hyemalis ENSJHYG00000001535
zonotrichia_albicollis ENSZALG00000018044
ficedula_albicollis ENSFALG00000005318
lepidothrix_coronata ENSLCOG00000001484
manacus_vitellinus ENSMVIG00005011797
melopsittacus_undulatus ENSMUNG00000003344
calidris_pygmaea ENSCPGG00000008715
calidris_pugnax ENSCPUG00000006532
gallus_gallus ENSGALG00000014970
coturnix_japonica ENSCJPG00005017362
meleagris_gallopavo ENSMGAG00000014283
numida_meleagris ENSNMEG00000017014
anser_brachyrhynchus ENSABRG00000010360
apteryx_owenii ENSAOWG00000013864
apteryx_haastii ENSAHAG00000013036
apteryx_rowi ENSARWG00000006687
dromaius_novaehollandiae ENSDNVG00000006939
nothoprocta_perdicaria ENSNPEG00000006616
crocodylus_porosus ENSCPRG00005003453
chelonoidis_abingdonii ENSCABG00000018380
gopherus_agassizii ENSGAGG00000010213
chrysemys_picta ENSCPBG00000002072
pelodiscus_sinensis ENSPSIG00000010391
anolis_carolinensis ENSACAG00000011543
pogona_vitticeps ENSPVIG00000025222
notechis_scutatus ENSNSUG00000019152
salvator_merianae ENSSMRG00000004922
sphenodon_punctatus ENSSPUG00000017282
anas_platyrhynchos ENSAPLG00000027059
ornithorhynchus_anatinus ENSOANG00000009431
ursus_maritimus ENSUMAG00000025259
ursus_americanus ENSUAMG00000004051
ailuropoda_melanoleuca ENSAMEG00000006917
neovison_vison ENSNVIG00000011871
mustela_putorius ENSMPUG00000008306
canis_lupus ENSCAFG00000011172
canis_lupus ENSCAFG00020006511
vulpes_vulpes ENSVVUG00000022275
panthera_tigris ENSPTIG00000018305
felis_catus ENSFCAG00000029075
panthera_pardus ENSPPRG00000000812
erinaceus_europaeus ENSEEUG00000010357
bos_indicus ENSBIXG00000022124
bos_indicus ENSBIXG00005012192
bos_mutus ENSBMUG00000026481
bison_bison ENSBBBG00000003439
ovis_aries ENSOARG00000019900
bos_taurus ENSBTAG00000022155
capra_hircus ENSCHIG00000019503
tursiops_truncatus ENSTTRG00000016656
vicugna_pacos ENSVPAG00000003772
sus_scrofa ENSSSCG00000039426
equus_asinus ENSEASG00005012526
equus_caballus ENSECAG00000017891
pteropus_vampyrus ENSPVAG00000014843
myotis_lucifugus ENSMLUG00000008852
propithecus_coquereli ENSPCOG00000011818
microcebus_murinus ENSMICG00000049203
prolemur_simus ENSPSMG00000000991
otolemur_garnettii ENSOGAG00000004636
gorilla_gorilla ENSGGOG00000002305
gorilla_gorilla ENSGGOG00000023678
homo_sapiens ENSG00000163430
pan_troglodytes ENSPTRG00000015269
pan_paniscus ENSPPAG00000029345
pongo_abelii ENSPPYG00000013504
nomascus_leucogenys ENSNLEG00000005099
cercocebus_atys ENSCATG00000042936
papio_anubis ENSPANG00000011991
theropithecus_gelada ENSTGEG00000005287
macaca_fascicularis ENSMFAG00000036133
macaca_nemestrina ENSMNEG00000040132
macaca_mulatta ENSMMUG00000002925
mandrillus_leucophaeus ENSMLEG00000035985
chlorocebus_sabaeus ENSCSAG00000007135
piliocolobus_tephrosceles ENSPTEG00000020110
colobus_angolensis ENSCANG00000033305
rhinopithecus_roxellana ENSRROG00000013663
rhinopithecus_bieti ENSRBIG00000035867
cebus_capucinus ENSCCAG00000030935
callithrix_jacchus ENSCJAG00000008700
saimiri_boliviensis ENSSBOG00000029486
aotus_nancymaae ENSANAG00000020551
carlito_syrichta ENSTSYG00000005251
heterocephalus_glaber ENSHGLG00000016844
heterocephalus_glaber ENSHGLG00100003345
fukomys_damarensis ENSFDAG00000016692
cavia_porcellus ENSCPOG00000033880
cavia_aperea ENSCAPG00000012598
octodon_degus ENSODEG00000004938
chinchilla_lanigera ENSCLAG00000009617
marmota_marmota ENSMMMG00000014715
ictidomys_tridecemlineatus ENSSTOG00000001471
spermophilus_dauricus ENSSDAG00000010023
urocitellus_parryii ENSUPAG00010020040
castor_canadensis ENSCCNG00000000277
dipodomys_ordii ENSDORG00000002235
cricetulus_griseus ENSCGRG00001019352
cricetulus_griseus ENSCGRG00000005221
cricetulus_griseus ENSCGRG00015016901
mesocricetus_auratus ENSMAUG00000002118
microtus_ochrogaster ENSMOCG00000019386
peromyscus_maniculatus ENSPEMG00000001577
mus_spicilegus ENSMSIG00000018393
mus_spretus MGP_SPRETEiJ_G0021631
mus_musculus ENSMUSG00000022816
mus_caroli MGP_CAROLIEiJ_G0020731
mus_pahari MGP_PahariEiJ_G0016432
rattus_norvegicus ENSRNOG00000002746
meriones_unguiculatus ENSMUGG00000012170
nannospalax_galili ENSNGAG00000009480
jaculus_jaculus ENSJJAG00000000598
tupaia_belangeri ENSTBEG00000015939
dasypus_novemcinctus ENSDNOG00000038834
choloepus_hoffmanni ENSCHOG00000003371
procavia_capensis ENSPCAG00000006117
echinops_telfairi ENSETEG00000014980
loxodonta_africana ENSLAFG00000017756
