amphilophus_citrinellus ENSACIG00000006465
oryzias_latipes ENSORLG00020014630
astatotilapia_calliptera ENSACLG00000016866
astatotilapia_calliptera ENSACLG00000005472
poecilia_formosa ENSPFOG00000023161
poecilia_latipinna ENSPLAG00000001911
xiphophorus_maculatus ENSXMAG00000026498
xiphophorus_maculatus ENSXMAG00000025456
xiphophorus_maculatus ENSXMAG00000021109
xiphophorus_maculatus ENSXMAG00000026285
kryptolebias_marmoratus ENSKMAG00000018007
danio_rerio ENSDARG00000109743
danio_rerio ENSDARG00000110949
danio_rerio ENSDARG00000109460
danio_rerio ENSDARG00000113858
danio_rerio ENSDARG00000114317
danio_rerio ENSDARG00000113834
danio_rerio ENSDARG00000112918
danio_rerio ENSDARG00000114158
danio_rerio ENSDARG00000111522
danio_rerio ENSDARG00000111309
astyanax_mexicanus ENSAMXG00000030720
oryzias_latipes ENSORLG00000028050
oryzias_latipes_asm223469v1 ENSORLG00015013272
oryzias_melastigma ENSOMEG00000021040
oryzias_melastigma ENSOMEG00000013831
astatotilapia_calliptera ENSACLG00000026352
astatotilapia_calliptera ENSACLG00000007512
astatotilapia_calliptera ENSACLG00000014925
maylandia_zebra ENSMZEG00005012203
astatotilapia_calliptera ENSACLG00000007543
maylandia_zebra ENSMZEG00005009475
maylandia_zebra ENSMZEG00005005658
astatotilapia_calliptera ENSACLG00000019297
astatotilapia_calliptera ENSACLG00000019579
astatotilapia_calliptera ENSACLG00000005021
astatotilapia_calliptera ENSACLG00000014666
gasterosteus_aculeatus ENSGACG00000000540
gasterosteus_aculeatus ENSGACG00000019238
gasterosteus_aculeatus ENSGACG00000002598
gasterosteus_aculeatus ENSGACG00000000857
gasterosteus_aculeatus ENSGACG00000000172
gasterosteus_aculeatus ENSGACG00000001724
oryzias_melastigma ENSOMEG00000019376
oryzias_melastigma ENSOMEG00000011824
oryzias_melastigma ENSOMEG00000007870
oryzias_melastigma ENSOMEG00000012302
gadus_morhua ENSGMOG00000014470
xiphophorus_maculatus ENSXMAG00000025548
poecilia_mexicana ENSPMEG00000014931
oryzias_latipes ENSORLG00000027083
oryzias_latipes ENSORLG00000013908
oryzias_latipes_asm223469v1 ENSORLG00015019909
oryzias_latipes_asm223469v1 ENSORLG00015018145
danio_rerio ENSDARG00000116510
danio_rerio ENSDARG00000110792
astyanax_mexicanus ENSAMXG00000038708
astyanax_mexicanus ENSAMXG00000035975
eptatretus_burgeri ENSEBUG00000002478
eptatretus_burgeri ENSEBUG00000005051
