equus_asinus_asinus ENSEASG00005001957
equus_caballus ENSECAG00000034020
pteropus_vampyrus ENSPVAG00000000354
capra_hircus ENSCHIG00000011977
bos_taurus ENSBTAG00000013665
tursiops_truncatus ENSTTRG00000004439
sus_scrofa ENSSSCG00000005780
ovis_aries ENSOARG00000004123
bos_mutus ENSBMUG00000018406
fukomys_damarensis ENSFDAG00000017535
heterocephalus_glaber_male ENSHGLG00100001692
myotis_lucifugus ENSMLUG00000016184
mus_spicilegus ENSMSIG00000002489
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023353
mus_musculus ENSMUSG00000059852
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022438
mus_pahari MGP_PahariEiJ_G0019166
rattus_norvegicus ENSRNOG00000053640
meriones_unguiculatus ENSMUGG00000019622
cricetulus_griseus_chok1gshd ENSCGRG00001009283
cricetulus_griseus_crigri ENSCGRG00000010886
cricetulus_griseus_crigri-picr ENSCGRG00015014198
microtus_ochrogaster ENSMOCG00000011974
peromyscus_maniculatus_bairdii ENSPEMG00000026971
nannospalax_galili ENSNGAG00000024057
jaculus_jaculus ENSJJAG00000019923
castor_canadensis ENSCCNG00000004528
heterocephalus_glaber_female ENSHGLG00000000798
octodon_degus ENSODEG00000003142
urocitellus_parryii ENSUPAG00010001102
ictidomys_tridecemlineatus ENSSTOG00000027489
marmota_marmota_marmota ENSMMMG00000019094
ochotona_princeps ENSOPRG00000011438
otolemur_garnettii ENSOGAG00000033887
felis_catus ENSFCAG00000040828
panthera_pardus ENSPPRG00000014050
ursus_americanus ENSUAMG00000009319
canis_lupus_familiaris ENSCAFG00000032297
microcebus_murinus ENSMICG00000036173
dasypus_novemcinctus ENSDNOG00000042100
ailuropoda_melanoleuca ENSAMEG00000010374
chinchilla_lanigera ENSCLAG00000007825
cavia_porcellus ENSCPOG00000030362
prolemur_simus ENSPSMG00000023921
propithecus_coquereli ENSPCOG00000016974
pan_troglodytes ENSPTRG00000010134
homo_sapiens ENSG00000178342
pongo_abelii ENSPPYG00000009261
rhinopithecus_roxellana ENSRROG00000035297
rhinopithecus_bieti ENSRBIG00000012138
piliocolobus_tephrosceles ENSPTEG00000028380
macaca_fascicularis ENSMFAG00000000233
macaca_nemestrina ENSMNEG00000035665
macaca_mulatta ENSMMUG00000032486
theropithecus_gelada ENSTGEG00000007635
papio_anubis ENSPANG00000000968
cercocebus_atys ENSCATG00000045098
chlorocebus_sabaeus ENSCSAG00000018249
cebus_capucinus ENSCCAG00000023074
saimiri_boliviensis_boliviensis ENSSBOG00000022849
callithrix_jacchus ENSCJAG00000045650
aotus_nancymaae ENSANAG00000031151
gorilla_gorilla ENSGGOG00000005274
dasypus_novemcinctus ENSDNOG00000032871
ornithorhynchus_anatinus ENSOANG00000010131
carlito_syrichta ENSTSYG00000032871
procavia_capensis ENSPCAG00000011425
loxodonta_africana ENSLAFG00000032162
eptatretus_burgeri ENSEBUG00000000948
petromyzon_marinus ENSPMAG00000008147
eptatretus_burgeri ENSEBUG00000008935
paramormyrops_kingsleyae ENSPKIG00000002756
scleropages_formosus ENSSFOG00015004861
takifugu_rubripes ENSTRUG00000012914
tetraodon_nigroviridis ENSTNIG00000014030
scophthalmus_maximus ENSSMAG00000020565
amphiprion_ocellaris ENSAOCG00000007192
amphiprion_percula ENSAPEG00000005983
acanthochromis_polyacanthus ENSAPOG00000013287
stegastes_partitus ENSSPAG00000007376
oryzias_latipes_asm223469v1 ENSORLG00015009859
oryzias_latipes ENSORLG00020021539
oryzias_latipes ENSORLG00000013584
oryzias_melastigma ENSOMEG00000011945
kryptolebias_marmoratus ENSKMAG00000001882
maylandia_zebra ENSMZEG00005001083
astatotilapia_calliptera ENSACLG00000012626
haplochromis_burtoni ENSHBUG00000018657
pundamilia_nyererei ENSPNYG00000004760
neolamprologus_brichardi ENSNBRG00000000705
oreochromis_niloticus ENSONIG00000007690
amphilophus_citrinellus ENSACIG00000006279
labrus_bergylta ENSLBEG00000003500
mastacembelus_armatus ENSMAMG00000004110
monopterus_albus ENSMALG00000020082
anabas_testudineus ENSATEG00000007793
seriola_dumerili ENSSDUG00000001288
seriola_lalandi_dorsalis ENSSLDG00000003802
cynoglossus_semilaevis ENSCSEG00000013582
mola_mola ENSMMOG00000021252
poecilia_reticulata ENSPREG00000016489
xiphophorus_couchianus ENSXCOG00000003601
xiphophorus_couchianus ENSXCOG00000010129
xiphophorus_maculatus ENSXMAG00000019616
gambusia_affinis ENSGAFG00000018873
poecilia_formosa ENSPFOG00000012645
poecilia_latipinna ENSPLAG00000014656
poecilia_mexicana ENSPMEG00000019682
fundulus_heteroclitus ENSFHEG00000016841
cyprinodon_variegatus ENSCVAG00000013741
hippocampus_comes ENSHCOG00000018360
periophthalmus_magnuspinnatus ENSPMGG00000009893
gadus_morhua ENSGMOG00000010049
gasterosteus_aculeatus ENSGACG00000008672
esox_lucius ENSELUG00000012477
astyanax_mexicanus ENSAMXG00000041095
pygocentrus_nattereri ENSPNAG00000023910
danio_rerio ENSDARG00000035961
lepisosteus_oculatus ENSLOCG00000008447
pogona_vitticeps ENSPVIG00000002502
anolis_carolinensis ENSACAG00000001221
notechis_scutatus ENSNSUG00000016702
salvator_merianae ENSSMRG00000004647
sphenodon_punctatus ENSSPUG00000006920
anser_brachyrhynchus ENSABRG00000009997
anas_platyrhynchos_platyrhynchos ENSAPLG00000015168
meleagris_gallopavo ENSMGAG00000002185
gallus_gallus ENSGALG00000031754
coturnix_japonica ENSCJPG00005017993
numida_meleagris ENSNMEG00000001669
zonotrichia_albicollis ENSZALG00000003548
junco_hyemalis ENSJHYG00000014395
serinus_canaria ENSSCAG00000000228
lonchura_striata_domestica ENSLSDG00000004082
taeniopygia_guttata ENSTGUG00000006664
parus_major ENSPMJG00000018153
cyanistes_caeruleus ENSCCEG00000017653
ficedula_albicollis ENSFALG00000013326
lepidothrix_coronata ENSLCOG00000011561
manacus_vitellinus ENSMVIG00005015878
calidris_pygmaea ENSCPGG00000000555
calidris_pugnax ENSCPUG00000005544
melopsittacus_undulatus ENSMUNG00000008651
apteryx_owenii ENSAOWG00000018818
apteryx_rowi ENSARWG00000000583
apteryx_haastii ENSAHAG00000013451
dromaius_novaehollandiae ENSDNVG00000018050
nothoprocta_perdicaria ENSNPEG00000003647
crocodylus_porosus ENSCPRG00005004501
chelonoidis_abingdonii ENSCABG00000002349
gopherus_agassizii ENSGAGG00000006526
chrysemys_picta_bellii ENSCPBG00000006404
pelodiscus_sinensis ENSPSIG00000005356
sarcophilus_harrisii ENSSHAG00000014274
sarcophilus_harrisii ENSSHAG00000014725
phascolarctos_cinereus ENSPCIG00000018207
notamacropus_eugenii ENSMEUG00000012626
monodelphis_domestica ENSMODG00000011988
xenopus_tropicalis ENSXETG00000000858
latimeria_chalumnae ENSLACG00000004381
