marmota_marmota ENSMMMG00000020172
meriones_unguiculatus ENSMUGG00000009739
colobus_angolensis ENSCANG00000033127
rhinopithecus_roxellana ENSRROG00000044655
theropithecus_gelada ENSTGEG00000002060
cercocebus_atys ENSCATG00000032235
macaca_fascicularis ENSMFAG00000035545
macaca_nemestrina ENSMNEG00000035424
papio_anubis ENSPANG00000033540
mandrillus_leucophaeus ENSMLEG00000043171
pan_paniscus ENSPPAG00000030363
pan_troglodytes ENSPTRG00000051759
gorilla_gorilla ENSGGOG00000042036
saimiri_boliviensis ENSSBOG00000020882
cebus_capucinus ENSCCAG00000023743
callithrix_jacchus ENSCJAG00000064152
aotus_nancymaae ENSANAG00000022130
prolemur_simus ENSPSMG00000008308
ailuropoda_melanoleuca ENSAMEG00000004480
ursus_maritimus ENSUMAG00000017011
neovison_vison ENSNVIG00000005132
felis_catus ENSFCAG00000048827
bison_bison ENSBBBG00000022356
bos_mutus ENSBMUG00000001292
bos_taurus ENSBTAG00000053767
sus_scrofa ENSSSCG00000046446
