cynoglossus_semilaevis ENSCSEG00000016962
hippocampus_comes ENSHCOG00000016271
tetraodon_nigroviridis ENSTNIG00000006200
takifugu_rubripes ENSTRUG00000008387
mola_mola ENSMMOG00000018552
mastacembelus_armatus ENSMAMG00000016911
monopterus_albus ENSMALG00000009760
anabas_testudineus ENSATEG00000013940
seriola_dumerili ENSSDUG00000021719
seriola_lalandi_dorsalis ENSSLDG00000011059
scophthalmus_maximus ENSSMAG00000012662
oreochromis_niloticus ENSONIG00000010413
oreochromis_niloticus ENSONIG00000010407
astatotilapia_calliptera ENSACLG00000008020
haplochromis_burtoni ENSHBUG00000011918
pundamilia_nyererei ENSPNYG00000017882
maylandia_zebra ENSMZEG00005016931
neolamprologus_brichardi ENSNBRG00000022375
amphilophus_citrinellus ENSACIG00000000225
xiphophorus_maculatus ENSXMAG00000015701
xiphophorus_couchianus ENSXCOG00000009378
gambusia_affinis ENSGAFG00000010861
poecilia_mexicana ENSPMEG00000011137
poecilia_latipinna ENSPLAG00000013339
poecilia_formosa ENSPFOG00000008040
poecilia_reticulata ENSPREG00000011897
fundulus_heteroclitus ENSFHEG00000015256
cyprinodon_variegatus ENSCVAG00000003338
kryptolebias_marmoratus ENSKMAG00000001703
oryzias_latipes ENSORLG00020021937
oryzias_latipes_asm223469v1 ENSORLG00015019825
oryzias_latipes ENSORLG00000010972
oryzias_melastigma ENSOMEG00000018889
amphiprion_percula ENSAPEG00000016454
amphiprion_ocellaris ENSAOCG00000014671
acanthochromis_polyacanthus ENSAPOG00000013514
stegastes_partitus ENSSPAG00000003490
gasterosteus_aculeatus ENSGACG00000013056
periophthalmus_magnuspinnatus ENSPMGG00000017336
gadus_morhua ENSGMOG00000006126
esox_lucius ENSELUG00000024495
esox_lucius ENSELUG00000001330
pygocentrus_nattereri ENSPNAG00000024827
astyanax_mexicanus ENSAMXG00000000578
ictalurus_punctatus ENSIPUG00000006278
danio_rerio ENSDARG00000016474
scleropages_formosus ENSSFOG00015004381
paramormyrops_kingsleyae ENSPKIG00000014344
astyanax_mexicanus ENSAMXG00000018153
pygocentrus_nattereri ENSPNAG00000010560
ictalurus_punctatus ENSIPUG00000006035
danio_rerio ENSDARG00000037064
lepisosteus_oculatus ENSLOCG00000008580
labrus_bergylta ENSLBEG00000020044
haplochromis_burtoni ENSHBUG00000022086
latimeria_chalumnae ENSLACG00000018324
petromyzon_marinus ENSPMAG00000001496
eptatretus_burgeri ENSEBUG00000002235
calidris_pugnax ENSCPUG00000002841
calidris_pygmaea ENSCPGG00000002471
melopsittacus_undulatus ENSMUNG00000008183
zonotrichia_albicollis ENSZALG00000003114
junco_hyemalis ENSJHYG00000012869
serinus_canaria ENSSCAG00000008675
taeniopygia_guttata ENSTGUG00000012397
lonchura_striata_domestica ENSLSDG00000003977
ficedula_albicollis ENSFALG00000012481
parus_major ENSPMJG00000016900
cyanistes_caeruleus ENSCCEG00000018247
lepidothrix_coronata ENSLCOG00000010109
manacus_vitellinus ENSMVIG00005004626
anser_brachyrhynchus ENSABRG00000000328
anas_platyrhynchos_platyrhynchos ENSAPLG00000003794
coturnix_japonica ENSCJPG00005000183
coturnix_japonica ENSCJPG00005007616
gallus_gallus ENSGALG00000010593
meleagris_gallopavo ENSMGAG00000012983
numida_meleagris ENSNMEG00000000139
apteryx_owenii ENSAOWG00000013495
apteryx_haastii ENSAHAG00000001616
apteryx_rowi ENSARWG00000017833
dromaius_novaehollandiae ENSDNVG00000015456
nothoprocta_perdicaria ENSNPEG00000011827
crocodylus_porosus ENSCPRG00005006171
chelonoidis_abingdonii ENSCABG00000008214
chelonoidis_abingdonii ENSCABG00000008213
gopherus_agassizii ENSGAGG00000024615
chrysemys_picta_bellii ENSCPBG00000008231
pelodiscus_sinensis ENSPSIG00000002641
pogona_vitticeps ENSPVIG00000014847
anolis_carolinensis ENSACAG00000013365
notechis_scutatus ENSNSUG00000005495
salvator_merianae ENSSMRG00000011929
sphenodon_punctatus ENSSPUG00000017380
ornithorhynchus_anatinus ENSOANG00000021554
ornithorhynchus_anatinus ENSOANG00000021320
ornithorhynchus_anatinus ENSOANG00000021321
sarcophilus_harrisii ENSSHAG00000001514
phascolarctos_cinereus ENSPCIG00000006307
notamacropus_eugenii ENSMEUG00000006446
phascolarctos_cinereus ENSPCIG00000032663
monodelphis_domestica ENSMODG00000003465
monodelphis_domestica ENSMODG00000029757
monodelphis_domestica ENSMODG00000025784
monodelphis_domestica ENSMODG00000003500
monodelphis_domestica ENSMODG00000003366
ursus_americanus ENSUAMG00000018735
ursus_maritimus ENSUMAG00000006740
ailuropoda_melanoleuca ENSAMEG00000003810
neovison_vison ENSNVIG00000013338
mustela_putorius_furo ENSMPUG00000008414
canis_lupus_dingo ENSCAFG00020016729
canis_lupus_dingo ENSCAFG00020016739
canis_lupus_familiaris ENSCAFG00000017337
vulpes_vulpes ENSVVUG00000027409
panthera_pardus ENSPPRG00000010460
panthera_tigris_altaica ENSPTIG00000013382
felis_catus ENSFCAG00000003064
myotis_lucifugus ENSMLUG00000016630
tursiops_truncatus ENSTTRG00000008096
vicugna_pacos ENSVPAG00000008267
capra_hircus ENSCHIG00000018791
ovis_aries ENSOARG00000003058
bos_taurus ENSBTAG00000001124
bos_mutus ENSBMUG00000009821
bison_bison_bison ENSBBBG00000008853
sus_scrofa ENSSSCG00000027865
pteropus_vampyrus ENSPVAG00000009286
equus_asinus_asinus ENSEASG00005020327
equus_caballus ENSECAG00000009343
sorex_araneus ENSSARG00000009218
erinaceus_europaeus ENSEEUG00000007816
pan_paniscus ENSPPAG00000031299
pan_troglodytes ENSPTRG00000006602
homo_sapiens ENSG00000054983
gorilla_gorilla ENSGGOG00000016552
pongo_abelii ENSPPYG00000006046
nomascus_leucogenys ENSNLEG00000016874
macaca_mulatta ENSMMUG00000017261
macaca_nemestrina ENSMNEG00000039441
macaca_fascicularis ENSMFAG00000002667
papio_anubis ENSPANG00000004818
cercocebus_atys ENSCATG00000043196
theropithecus_gelada ENSTGEG00000027308
mandrillus_leucophaeus ENSMLEG00000024332
chlorocebus_sabaeus ENSCSAG00000011609
rhinopithecus_roxellana ENSRROG00000032715
rhinopithecus_bieti ENSRBIG00000035803
colobus_angolensis_palliatus ENSCANG00000034557
piliocolobus_tephrosceles ENSPTEG00000021376
saimiri_boliviensis_boliviensis ENSSBOG00000026713
cebus_capucinus ENSCCAG00000024403
callithrix_jacchus ENSCJAG00000017259
aotus_nancymaae ENSANAG00000034462
carlito_syrichta ENSTSYG00000003936
prolemur_simus ENSPSMG00000017660
propithecus_coquereli ENSPCOG00000024090
microcebus_murinus ENSMICG00000003020
