anabas_testudineus ENSATEG00000018263
periophthalmus_magnuspinnatus ENSPMGG00000009433
fundulus_heteroclitus ENSFHEG00000008703
cyprinodon_variegatus ENSCVAG00000013054
xiphophorus_maculatus ENSXMAG00000023655
gambusia_affinis ENSGAFG00000019357
poecilia_formosa ENSPFOG00000024427
poecilia_latipinna ENSPLAG00000020338
poecilia_mexicana ENSPMEG00000005526
poecilia_reticulata ENSPREG00000015372
kryptolebias_marmoratus ENSKMAG00000016449
oryzias_latipes ENSORLG00020012517
oryzias_latipes ENSORLG00000023955
oryzias_latipes_asm223469v1 ENSORLG00015004345
oryzias_melastigma ENSOMEG00000022239
amphiprion_percula ENSAPEG00000021743
amphiprion_ocellaris ENSAOCG00000001798
stegastes_partitus ENSSPAG00000012219
acanthochromis_polyacanthus ENSAPOG00000019675
amphilophus_citrinellus ENSACIG00000004002
maylandia_zebra ENSMZEG00005013317
astatotilapia_calliptera ENSACLG00000026068
haplochromis_burtoni ENSHBUG00000021256
pundamilia_nyererei ENSPNYG00000006564
seriola_dumerili ENSSDUG00000007828
scophthalmus_maximus ENSSMAG00000018252
labrus_bergylta ENSLBEG00000021049
mastacembelus_armatus ENSMAMG00000009872
monopterus_albus ENSMALG00000020726
takifugu_rubripes ENSTRUG00000025534
cynoglossus_semilaevis ENSCSEG00000006449
hippocampus_comes ENSHCOG00000005549
esox_lucius ENSELUG00000008848
pygocentrus_nattereri ENSPNAG00000019939
astyanax_mexicanus ENSAMXG00000012804
ictalurus_punctatus ENSIPUG00000021002
danio_rerio ENSDARG00000094005
scleropages_formosus ENSSFOG00015006211
paramormyrops_kingsleyae ENSPKIG00000012834
lepisosteus_oculatus ENSLOCG00000007290
