microcebus_murinus ENSMICG00000045287
prolemur_simus ENSPSMG00000006600
propithecus_coquereli ENSPCOG00000020002
otolemur_garnettii ENSOGAG00000003345
colobus_angolensis_palliatus ENSCANG00000028908
rhinopithecus_bieti ENSRBIG00000044189
mandrillus_leucophaeus ENSMLEG00000026177
nomascus_leucogenys ENSNLEG00000016625
saimiri_boliviensis_boliviensis ENSSBOG00000032959
pan_troglodytes ENSPTRG00000021129
homo_sapiens ENSG00000131668
gorilla_gorilla ENSGGOG00000010464
macaca_nemestrina ENSMNEG00000035691
theropithecus_gelada ENSTGEG00000003302
chlorocebus_sabaeus ENSCSAG00000007043
papio_anubis ENSPANG00000024692
cercocebus_atys ENSCATG00000039569
rhinopithecus_roxellana ENSRROG00000004327
piliocolobus_tephrosceles ENSPTEG00000008431
cebus_capucinus ENSCCAG00000026395
callithrix_jacchus ENSCJAG00000045992
aotus_nancymaae ENSANAG00000025328
urocitellus_parryii ENSUPAG00010006985
jaculus_jaculus ENSJJAG00000012954
chinchilla_lanigera ENSCLAG00000000868
octodon_degus ENSODEG00000014836
heterocephalus_glaber_female ENSHGLG00000003466
heterocephalus_glaber_male ENSHGLG00100009378
peromyscus_maniculatus_bairdii ENSPEMG00000017288
microtus_ochrogaster ENSMOCG00000000317
cricetulus_griseus_chok1gshd ENSCGRG00001020884
cricetulus_griseus_crigri-picr ENSCGRG00015002327
cricetulus_griseus_crigri ENSCGRG00000008699
mesocricetus_auratus ENSMAUG00000000432
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019374
mus_musculus ENSMUSG00000021381
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018494
mus_pahari MGP_PahariEiJ_G0019561
rattus_norvegicus ENSRNOG00000016915
meriones_unguiculatus ENSMUGG00000014789
nannospalax_galili ENSNGAG00000001062
castor_canadensis ENSCCNG00000002137
dipodomys_ordii ENSDORG00000012699
neovison_vison ENSNVIG00000014822
mustela_putorius_furo ENSMPUG00000004390
canis_lupus_dingo ENSCAFG00020007642
canis_lupus_familiaris ENSCAFG00000002234
felis_catus ENSFCAG00000026846
pteropus_vampyrus ENSPVAG00000014383
equus_caballus ENSECAG00000032431
equus_asinus_asinus ENSEASG00005013904
tursiops_truncatus ENSTTRG00000002852
sus_scrofa ENSSSCG00000008081
capra_hircus ENSCHIG00000018106
bos_taurus ENSBTAG00000004468
echinops_telfairi ENSETEG00000016565
cavia_aperea ENSCAPG00000008861
cavia_porcellus ENSCPOG00000023578
fukomys_damarensis ENSFDAG00000021239
ictidomys_tridecemlineatus ENSSTOG00000007735
oryctolagus_cuniculus ENSOCUG00000006551
ochotona_princeps ENSOPRG00000000762
bos_mutus ENSBMUG00000010529
bison_bison_bison ENSBBBG00000011822
ovis_aries ENSOARG00000007997
loxodonta_africana ENSLAFG00000032689
procavia_capensis ENSPCAG00000001506
apteryx_owenii ENSAOWG00000014822
serinus_canaria ENSSCAG00000010607
apteryx_haastii ENSAHAG00000015088
gallus_gallus ENSGALG00000035557
coturnix_japonica ENSCJPG00005012892
numida_meleagris ENSNMEG00000014307
anser_brachyrhynchus ENSABRG00000007373
calidris_pugnax ENSCPUG00000003135
parus_major ENSPMJG00000004323
junco_hyemalis ENSJHYG00000003314
taeniopygia_guttata ENSTGUG00000003728
lonchura_striata_domestica ENSLSDG00000006161
lepidothrix_coronata ENSLCOG00000000677
melopsittacus_undulatus ENSMUNG00000011682
chrysemys_picta_bellii ENSCPBG00000019725
anolis_carolinensis ENSACAG00000000680
salvator_merianae ENSSMRG00000019605
notechis_scutatus ENSNSUG00000020158
sphenodon_punctatus ENSSPUG00000001052
chelonoidis_abingdonii ENSCABG00000021928
gopherus_agassizii ENSGAGG00000012392
phascolarctos_cinereus ENSPCIG00000022001
notamacropus_eugenii ENSMEUG00000011913
sarcophilus_harrisii ENSSHAG00000012672
monodelphis_domestica ENSMODG00000008720
ornithorhynchus_anatinus ENSOANG00000004662
sphenodon_punctatus ENSSPUG00000001046
latimeria_chalumnae ENSLACG00000017523
astyanax_mexicanus ENSAMXG00000004434
pygocentrus_nattereri ENSPNAG00000007433
danio_rerio ENSDARG00000007407
esox_lucius ENSELUG00000013869
scleropages_formosus ENSSFOG00015014906
paramormyrops_kingsleyae ENSPKIG00000018006
labrus_bergylta ENSLBEG00000009582
hippocampus_comes ENSHCOG00000015774
amphiprion_percula ENSAPEG00000016016
amphiprion_ocellaris ENSAOCG00000002413
acanthochromis_polyacanthus ENSAPOG00000021692
stegastes_partitus ENSSPAG00000008918
scophthalmus_maximus ENSSMAG00000001948
cynoglossus_semilaevis ENSCSEG00000013430
xiphophorus_maculatus ENSXMAG00000007527
xiphophorus_couchianus ENSXCOG00000009967
poecilia_latipinna ENSPLAG00000005458
poecilia_formosa ENSPFOG00000009171
poecilia_reticulata ENSPREG00000016023
poecilia_mexicana ENSPMEG00000003625
fundulus_heteroclitus ENSFHEG00000001944
cyprinodon_variegatus ENSCVAG00000002335
kryptolebias_marmoratus ENSKMAG00000004295
oryzias_latipes ENSORLG00020021463
oryzias_latipes_asm223469v1 ENSORLG00015017766
oryzias_latipes ENSORLG00000025510
oryzias_melastigma ENSOMEG00000023887
takifugu_rubripes ENSTRUG00000004951
tetraodon_nigroviridis ENSTNIG00000006722
gasterosteus_aculeatus ENSGACG00000011231
monopterus_albus ENSMALG00000005116
mastacembelus_armatus ENSMAMG00000023597
anabas_testudineus ENSATEG00000004384
seriola_dumerili ENSSDUG00000009201
seriola_lalandi_dorsalis ENSSLDG00000016667
maylandia_zebra ENSMZEG00005006678
astatotilapia_calliptera ENSACLG00000025955
haplochromis_burtoni ENSHBUG00000012590
pundamilia_nyererei ENSPNYG00000006619
neolamprologus_brichardi ENSNBRG00000017885
oreochromis_niloticus ENSONIG00000003234
amphilophus_citrinellus ENSACIG00000002079
mola_mola ENSMMOG00000009944
periophthalmus_magnuspinnatus ENSPMGG00000010169
gadus_morhua ENSGMOG00000004920
ictalurus_punctatus ENSIPUG00000013651
scleropages_formosus ENSSFOG00015015595
lepisosteus_oculatus ENSLOCG00000014062
xenopus_tropicalis ENSXETG00000017172
calidris_pygmaea ENSCPGG00000001647
anas_platyrhynchos_platyrhynchos ENSAPLG00000027808
apteryx_rowi ENSARWG00000005556
dromaius_novaehollandiae ENSDNVG00000003188
ficedula_albicollis ENSFALG00000007013
cyanistes_caeruleus ENSCCEG00000000332
crocodylus_porosus ENSCPRG00005019144
pogona_vitticeps ENSPVIG00000022435
gambusia_affinis ENSGAFG00000007710
paramormyrops_kingsleyae ENSPKIG00000004996
