oryctolagus_cuniculus ENSOCUG00000012233
ochotona_princeps ENSOPRG00000016882
dasypus_novemcinctus ENSDNOG00000046416
castor_canadensis ENSCCNG00000008060
dipodomys_ordii ENSDORG00000003356
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016257
mus_spicilegus ENSMSIG00000005737
mus_musculus ENSMUSG00000006344
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015444
mus_pahari MGP_PahariEiJ_G0030860
rattus_norvegicus ENSRNOG00000062276
meriones_unguiculatus ENSMUGG00000010244
cricetulus_griseus_chok1gshd ENSCGRG00001017907
cricetulus_griseus_crigri ENSCGRG00000005395
cricetulus_griseus_crigri-picr ENSCGRG00015017419
mesocricetus_auratus ENSMAUG00000014824
microtus_ochrogaster ENSMOCG00000022852
nannospalax_galili ENSNGAG00000023145
jaculus_jaculus ENSJJAG00000018674
urocitellus_parryii ENSUPAG00010004553
marmota_marmota_marmota ENSMMMG00000024445
spermophilus_dauricus ENSSDAG00000019806
ictidomys_tridecemlineatus ENSSTOG00000022400
chinchilla_lanigera ENSCLAG00000007957
octodon_degus ENSODEG00000008164
cavia_porcellus ENSCPOG00000008003
cavia_aperea ENSCAPG00000017990
heterocephalus_glaber_female ENSHGLG00000018936
heterocephalus_glaber_male ENSHGLG00100006841
fukomys_damarensis ENSFDAG00000019173
tupaia_belangeri ENSTBEG00000015139
pan_troglodytes ENSPTRG00000014170
pan_paniscus ENSPPAG00000003938
homo_sapiens ENSG00000099998
gorilla_gorilla ENSGGOG00000005526
pongo_abelii ENSPPYG00000011642
nomascus_leucogenys ENSNLEG00000000791
piliocolobus_tephrosceles ENSPTEG00000026942
rhinopithecus_bieti ENSRBIG00000022846
saimiri_boliviensis_boliviensis ENSSBOG00000035403
callithrix_jacchus ENSCJAG00000009566
cebus_capucinus ENSCCAG00000009906
aotus_nancymaae ENSANAG00000020990
rhinopithecus_roxellana ENSRROG00000037898
theropithecus_gelada ENSTGEG00000028587
macaca_fascicularis ENSMFAG00000031287
macaca_nemestrina ENSMNEG00000032314
macaca_mulatta ENSMMUG00000005980
cercocebus_atys ENSCATG00000028640
papio_anubis ENSPANG00000020744
