dasypus_novemcinctus ENSDNOG00000014668
choloepus_hoffmanni ENSCHOG00000002094
capra_hircus ENSCHIG00000024571
ovis_aries ENSOARG00000013593
bos_indicus ENSBIXG00005010244
bos_indicus ENSBIXG00000029328
bos_mutus ENSBMUG00000007689
bos_taurus ENSBTAG00000009461
bison_bison ENSBBBG00000007247
sus_scrofa ENSSSCG00000021837
vicugna_pacos ENSVPAG00000004137
myotis_lucifugus ENSMLUG00000017794
ursus_maritimus ENSUMAG00000012669
ursus_americanus ENSUAMG00000011342
ailuropoda_melanoleuca ENSAMEG00000010870
neovison_vison ENSNVIG00000003640
mustela_putorius ENSMPUG00000016004
canis_lupus ENSCAFG00020013033
canis_lupus ENSCAFG00000013483
vulpes_vulpes ENSVVUG00000023770
panthera_tigris ENSPTIG00000002810
panthera_pardus ENSPPRG00000004414
felis_catus ENSFCAG00000028786
cricetulus_griseus ENSCGRG00015005196
cricetulus_griseus ENSCGRG00001012136
cricetulus_griseus ENSCGRG00000006530
mesocricetus_auratus ENSMAUG00000003736
microtus_ochrogaster ENSMOCG00000012960
peromyscus_maniculatus ENSPEMG00000018661
mus_spretus MGP_SPRETEiJ_G0028842
mus_spicilegus ENSMSIG00000012359
mus_musculus ENSMUSG00000019178
mus_pahari MGP_PahariEiJ_G0024423
rattus_norvegicus ENSRNOG00000023366
meriones_unguiculatus ENSMUGG00000001359
nannospalax_galili ENSNGAG00000022860
dipodomys_ordii ENSDORG00000009567
heterocephalus_glaber ENSHGLG00000018560
heterocephalus_glaber ENSHGLG00100004091
fukomys_damarensis ENSFDAG00000009213
chinchilla_lanigera ENSCLAG00000006420
octodon_degus ENSODEG00000015904
cavia_porcellus ENSCPOG00000006224
cavia_aperea ENSCAPG00000017090
spermophilus_dauricus ENSSDAG00000009906
ictidomys_tridecemlineatus ENSSTOG00000016176
urocitellus_parryii ENSUPAG00010015506
marmota_marmota ENSMMMG00000010925
castor_canadensis ENSCCNG00000004939
oryctolagus_cuniculus ENSOCUG00000027186
homo_sapiens ENSG00000127952
gorilla_gorilla ENSGGOG00000014256
pan_troglodytes ENSPTRG00000019315
pan_troglodytes ENSPTRG00000048461
pan_paniscus ENSPPAG00000036397
pongo_abelii ENSPPYG00000017472
nomascus_leucogenys ENSNLEG00000008461
rhinopithecus_roxellana ENSRROG00000041332
rhinopithecus_bieti ENSRBIG00000034291
colobus_angolensis ENSCANG00000040472
piliocolobus_tephrosceles ENSPTEG00000019265
cercocebus_atys ENSCATG00000039290
mandrillus_leucophaeus ENSMLEG00000039977
macaca_fascicularis ENSMFAG00000031276
macaca_mulatta ENSMMUG00000020088
macaca_nemestrina ENSMNEG00000006571
theropithecus_gelada ENSTGEG00000005476
papio_anubis ENSPANG00000008065
chlorocebus_sabaeus ENSCSAG00000018144
saimiri_boliviensis ENSSBOG00000025894
cebus_capucinus ENSCCAG00000034143
callithrix_jacchus ENSCJAG00000001347
aotus_nancymaae ENSANAG00000025196
carlito_syrichta ENSTSYG00000033978
propithecus_coquereli ENSPCOG00000018221
microcebus_murinus ENSMICG00000003929
prolemur_simus ENSPSMG00000013023
otolemur_garnettii ENSOGAG00000027075
ochotona_princeps ENSOPRG00000009093
mus_caroli MGP_CAROLIEiJ_G0027843
equus_caballus ENSECAG00000019261
equus_asinus ENSEASG00005016834
pteropus_vampyrus ENSPVAG00000003396
tursiops_truncatus ENSTTRG00000013769
loxodonta_africana ENSLAFG00000000884
echinops_telfairi ENSETEG00000016890
vombatus_ursinus ENSVURG00010003380
notamacropus_eugenii ENSMEUG00000000234
sarcophilus_harrisii ENSSHAG00000013456
monodelphis_domestica ENSMODG00000035078
ornithorhynchus_anatinus ENSOANG00000010174
chrysemys_picta ENSCPBG00000027788
gopherus_agassizii ENSGAGG00000022091
pelodiscus_sinensis ENSPSIG00000016155
sphenodon_punctatus ENSSPUG00000006150
