poecilia_latipinna ENSPLAG00000017103
kryptolebias_marmoratus ENSKMAG00000016520
maylandia_zebra ENSMZEG00005011556
astatotilapia_calliptera ENSACLG00000027525
pundamilia_nyererei ENSPNYG00000022679
neolamprologus_brichardi ENSNBRG00000004005
mastacembelus_armatus ENSMAMG00000000156
anabas_testudineus ENSATEG00000020488
periophthalmus_magnuspinnatus ENSPMGG00000016823
periophthalmus_magnuspinnatus ENSPMGG00000016820
periophthalmus_magnuspinnatus ENSPMGG00000000566
scophthalmus_maximus ENSSMAG00000009534
cynoglossus_semilaevis ENSCSEG00000009568
