equus_caballus ENSECAG00000031985
equus_asinus ENSEASG00005003445
bos_indicus ENSBIXG00000010460
bos_indicus ENSBIXG00005023809
bison_bison ENSBBBG00000005021
capra_hircus ENSCHIG00000012821
sus_scrofa ENSSSCG00000032236
ursus_americanus ENSUAMG00000011242
ursus_maritimus ENSUMAG00000003543
panthera_pardus ENSPPRG00000017776
panthera_tigris ENSPTIG00000001536
marmota_marmota ENSMMMG00000004624
spermophilus_dauricus ENSSDAG00000024769
urocitellus_parryii ENSUPAG00010013334
oryctolagus_cuniculus ENSOCUG00000037878
microcebus_murinus ENSMICG00000026597
propithecus_coquereli ENSPCOG00000015466
