manacus_vitellinus ENSMVIG00005002682
lepidothrix_coronata ENSLCOG00000008276
parus_major ENSPMJG00000002905
cyanistes_caeruleus ENSCCEG00000015682
ficedula_albicollis ENSFALG00000010324
taeniopygia_guttata ENSTGUG00000017260
lonchura_striata_domestica ENSLSDG00000014977
serinus_canaria ENSSCAG00000016300
junco_hyemalis ENSJHYG00000015787
zonotrichia_albicollis ENSZALG00000011058
gallus_gallus ENSGALG00000021561
meleagris_gallopavo ENSMGAG00000006872
coturnix_japonica ENSCJPG00005007084
numida_meleagris ENSNMEG00000017457
anas_platyrhynchos_platyrhynchos ENSAPLG00000004732
anser_brachyrhynchus ENSABRG00000006354
calidris_pugnax ENSCPUG00000019881
calidris_pygmaea ENSCPGG00000004690
melopsittacus_undulatus ENSMUNG00000001600
apteryx_owenii ENSAOWG00000012076
apteryx_haastii ENSAHAG00000016144
apteryx_rowi ENSARWG00000000174
dromaius_novaehollandiae ENSDNVG00000016122
nothoprocta_perdicaria ENSNPEG00000004446
crocodylus_porosus ENSCPRG00005014927
gopherus_agassizii ENSGAGG00000022895
chelonoidis_abingdonii ENSCABG00000006368
chrysemys_picta_bellii ENSCPBG00000009865
pelodiscus_sinensis ENSPSIG00000010593
anolis_carolinensis ENSACAG00000015601
pogona_vitticeps ENSPVIG00000005968
salvator_merianae ENSSMRG00000008064
sarcophilus_harrisii ENSSHAG00000014633
phascolarctos_cinereus ENSPCIG00000034606
monodelphis_domestica ENSMODG00000028196
ornithorhynchus_anatinus ENSOANG00000011724
latimeria_chalumnae ENSLACG00000018111
xenopus_tropicalis ENSXETG00000004751
scleropages_formosus ENSSFOG00015001839
paramormyrops_kingsleyae ENSPKIG00000011559
paramormyrops_kingsleyae ENSPKIG00000025369
scleropages_formosus ENSSFOG00015014654
lepisosteus_oculatus ENSLOCG00000000855
anolis_carolinensis ENSACAG00000025585
salvator_merianae ENSSMRG00000008921
gopherus_agassizii ENSGAGG00000022894
chrysemys_picta_bellii ENSCPBG00000009856
lepisosteus_oculatus ENSLOCG00000000827
