amphiprion_percula ENSAPEG00000016763
amphiprion_ocellaris ENSAOCG00000007101
acanthochromis_polyacanthus ENSAPOG00000010226
stegastes_partitus ENSSPAG00000000359
haplochromis_burtoni ENSHBUG00000002915
maylandia_zebra ENSMZEG00005012982
pundamilia_nyererei ENSPNYG00000000371
oryzias_latipes ENSORLG00000030317
oryzias_latipes ENSORLG00020012916
oryzias_melastigma ENSOMEG00000005023
labrus_bergylta ENSLBEG00000027800
hippocampus_comes ENSHCOG00000016266
mastacembelus_armatus ENSMAMG00000007428
monopterus_albus ENSMALG00000014004
anabas_testudineus ENSATEG00000008206
seriola_lalandi_dorsalis ENSSLDG00000003959
seriola_dumerili ENSSDUG00000003938
scophthalmus_maximus ENSSMAG00000002996
takifugu_rubripes ENSTRUG00000025252
periophthalmus_magnuspinnatus ENSPMGG00000017653
esox_lucius ENSELUG00000016222
pygocentrus_nattereri ENSPNAG00000010054
astyanax_mexicanus ENSAMXG00000036134
ictalurus_punctatus ENSIPUG00000010492
danio_rerio ENSDARG00000104624
scleropages_formosus ENSSFOG00015014991
paramormyrops_kingsleyae ENSPKIG00000010289
