parus_major ENSPMJG00000019012
cyanistes_caeruleus ENSCCEG00000002670
lonchura_striata_domestica ENSLSDG00000012061
taeniopygia_guttata ENSTGUG00000005194
ficedula_albicollis ENSFALG00000006769
zonotrichia_albicollis ENSZALG00000011807
serinus_canaria ENSSCAG00000006673
junco_hyemalis ENSJHYG00000009152
lepidothrix_coronata ENSLCOG00000011168
manacus_vitellinus ENSMVIG00005010568
dromaius_novaehollandiae ENSDNVG00000007777
gallus_gallus ENSGALG00000002495
coturnix_japonica ENSCJPG00005010355
numida_meleagris ENSNMEG00000015546
anser_brachyrhynchus ENSABRG00000007117
anas_platyrhynchos_platyrhynchos ENSAPLG00000012325
anas_platyrhynchos_platyrhynchos ENSAPLG00000001675
melopsittacus_undulatus ENSMUNG00000001105
calidris_pugnax ENSCPUG00000004651
calidris_pygmaea ENSCPGG00000009493
apteryx_rowi ENSARWG00000010950
apteryx_haastii ENSAHAG00000007460
apteryx_owenii ENSAOWG00000004715
nothoprocta_perdicaria ENSNPEG00000011157
crocodylus_porosus ENSCPRG00005007979
chelonoidis_abingdonii ENSCABG00000011555
gopherus_agassizii ENSGAGG00000016323
chrysemys_picta_bellii ENSCPBG00000014871
pelodiscus_sinensis ENSPSIG00000011359
pogona_vitticeps ENSPVIG00000010317
notechis_scutatus ENSNSUG00000006164
salvator_merianae ENSSMRG00000010699
sphenodon_punctatus ENSSPUG00000002403
xenopus_tropicalis ENSXETG00000010062
latimeria_chalumnae ENSLACG00000018886
paramormyrops_kingsleyae ENSPKIG00000006219
scleropages_formosus ENSSFOG00015001845
cynoglossus_semilaevis ENSCSEG00000009767
mola_mola ENSMMOG00000012051
oryzias_latipes ENSORLG00020021597
oryzias_latipes_asm223469v1 ENSORLG00015002805
oryzias_latipes ENSORLG00000007743
oryzias_melastigma ENSOMEG00000016188
poecilia_reticulata ENSPREG00000022135
xiphophorus_couchianus ENSXCOG00000012755
poecilia_latipinna ENSPLAG00000001689
poecilia_formosa ENSPFOG00000015595
poecilia_mexicana ENSPMEG00000014096
gambusia_affinis ENSGAFG00000010674
xiphophorus_maculatus ENSXMAG00000026527
fundulus_heteroclitus ENSFHEG00000005354
cyprinodon_variegatus ENSCVAG00000007855
kryptolebias_marmoratus ENSKMAG00000015533
tetraodon_nigroviridis ENSTNIG00000019277
tetraodon_nigroviridis ENSTNIG00000002061
takifugu_rubripes ENSTRUG00000015528
hippocampus_comes ENSHCOG00000017016
pundamilia_nyererei ENSPNYG00000016890
maylandia_zebra ENSMZEG00005015379
astatotilapia_calliptera ENSACLG00000020311
haplochromis_burtoni ENSHBUG00000020736
neolamprologus_brichardi ENSNBRG00000008320
oreochromis_niloticus ENSONIG00000008113
amphilophus_citrinellus ENSACIG00000002552
neolamprologus_brichardi ENSNBRG00000007025
anabas_testudineus ENSATEG00000010671
monopterus_albus ENSMALG00000005331
mastacembelus_armatus ENSMAMG00000009480
amphiprion_percula ENSAPEG00000013734
amphiprion_ocellaris ENSAOCG00000015599
acanthochromis_polyacanthus ENSAPOG00000014177
stegastes_partitus ENSSPAG00000004716
seriola_dumerili ENSSDUG00000020546
seriola_lalandi_dorsalis ENSSLDG00000016045
scophthalmus_maximus ENSSMAG00000016649
labrus_bergylta ENSLBEG00000026497
gasterosteus_aculeatus ENSGACG00000008962
gadus_morhua ENSGMOG00000002523
esox_lucius ENSELUG00000008180
pygocentrus_nattereri ENSPNAG00000000148
astyanax_mexicanus ENSAMXG00000037488
ictalurus_punctatus ENSIPUG00000007918
danio_rerio ENSDARG00000059304
lepisosteus_oculatus ENSLOCG00000004252
phascolarctos_cinereus ENSPCIG00000005192
phascolarctos_cinereus ENSPCIG00000024634
notamacropus_eugenii ENSMEUG00000012555
sarcophilus_harrisii ENSSHAG00000009024
monodelphis_domestica ENSMODG00000029106
sorex_araneus ENSSARG00000010432
mustela_putorius_furo ENSMPUG00000006422
loxodonta_africana ENSLAFG00000030787
loxodonta_africana ENSLAFG00000031068
loxodonta_africana ENSLAFG00000012806
erinaceus_europaeus ENSEEUG00000012857
erinaceus_europaeus ENSEEUG00000009497
dasypus_novemcinctus ENSDNOG00000044241
dasypus_novemcinctus ENSDNOG00000031380
dasypus_novemcinctus ENSDNOG00000049634
myotis_lucifugus ENSMLUG00000011211
myotis_lucifugus ENSMLUG00000015151
equus_asinus_asinus ENSEASG00005008851
equus_caballus ENSECAG00000020283
ursus_maritimus ENSUMAG00000015503
ursus_americanus ENSUAMG00000004363
ailuropoda_melanoleuca ENSAMEG00000016050
bos_mutus ENSBMUG00000009321
bison_bison_bison ENSBBBG00000014706
ovis_aries ENSOARG00000010228
sus_scrofa ENSSSCG00000039047
spermophilus_dauricus ENSSDAG00000013708
jaculus_jaculus ENSJJAG00000019299
pteropus_vampyrus ENSPVAG00000001424
erinaceus_europaeus ENSEEUG00000001957
canis_lupus_dingo ENSCAFG00020005163
canis_lupus_familiaris ENSCAFG00000010178
vulpes_vulpes ENSVVUG00000016590
vulpes_vulpes ENSVVUG00000001665
neovison_vison ENSNVIG00000009348
panthera_pardus ENSPPRG00000005980
panthera_tigris_altaica ENSPTIG00000013774
felis_catus ENSFCAG00000036807
dasypus_novemcinctus ENSDNOG00000010880
echinops_telfairi ENSETEG00000008598
echinops_telfairi ENSETEG00000012147
echinops_telfairi ENSETEG00000009102
propithecus_coquereli ENSPCOG00000024678
propithecus_coquereli ENSPCOG00000025056
prolemur_simus ENSPSMG00000014530
prolemur_simus ENSPSMG00000010300
propithecus_coquereli ENSPCOG00000002295
prolemur_simus ENSPSMG00000007805
microcebus_murinus ENSMICG00000042713
otolemur_garnettii ENSOGAG00000032162
otolemur_garnettii ENSOGAG00000028162
otolemur_garnettii ENSOGAG00000032081
otolemur_garnettii ENSOGAG00000010097
otolemur_garnettii ENSOGAG00000033659
carlito_syrichta ENSTSYG00000035944
carlito_syrichta ENSTSYG00000009312
aotus_nancymaae ENSANAG00000033903
macaca_mulatta ENSMMUG00000030802
macaca_nemestrina ENSMNEG00000043801
cercocebus_atys ENSCATG00000032726
theropithecus_gelada ENSTGEG00000020266
chlorocebus_sabaeus ENSCSAG00000016735
nomascus_leucogenys ENSNLEG00000035718
carlito_syrichta ENSTSYG00000036159
pongo_abelii ENSPPYG00000018592
pan_troglodytes ENSPTRG00000044364
chlorocebus_sabaeus ENSCSAG00000018544
mandrillus_leucophaeus ENSMLEG00000036994
mandrillus_leucophaeus ENSMLEG00000037275
macaca_nemestrina ENSMNEG00000028924
saimiri_boliviensis_boliviensis ENSSBOG00000031295
pan_troglodytes ENSPTRG00000052641
pan_paniscus ENSPPAG00000041239
gorilla_gorilla ENSGGOG00000028428
nomascus_leucogenys ENSNLEG00000028234
pan_troglodytes ENSPTRG00000019209
pan_paniscus ENSPPAG00000042688
gorilla_gorilla ENSGGOG00000014938
homo_sapiens ENSG00000106153
pongo_abelii ENSPPYG00000017543
nomascus_leucogenys ENSNLEG00000033570
macaca_fascicularis ENSMFAG00000012886
macaca_mulatta ENSMMUG00000047258
theropithecus_gelada ENSTGEG00000003761
theropithecus_gelada ENSTGEG00000001257
papio_anubis ENSPANG00000011855
theropithecus_gelada ENSTGEG00000004955
chlorocebus_sabaeus ENSCSAG00000018548
papio_anubis ENSPANG00000009750
macaca_fascicularis ENSMFAG00000034356
macaca_fascicularis ENSMFAG00000030830
macaca_mulatta ENSMMUG00000032498
macaca_nemestrina ENSMNEG00000001268
papio_anubis ENSPANG00000015178
macaca_mulatta ENSMMUG00000045620
macaca_nemestrina ENSMNEG00000028985
chlorocebus_sabaeus ENSCSAG00000016147
mandrillus_leucophaeus ENSMLEG00000026049
cercocebus_atys ENSCATG00000037602
theropithecus_gelada ENSTGEG00000005952
rhinopithecus_roxellana ENSRROG00000041542
rhinopithecus_bieti ENSRBIG00000014966
piliocolobus_tephrosceles ENSPTEG00000009596
piliocolobus_tephrosceles ENSPTEG00000033852
piliocolobus_tephrosceles ENSPTEG00000012615
rhinopithecus_roxellana ENSRROG00000036600
colobus_angolensis_palliatus ENSCANG00000007180
colobus_angolensis_palliatus ENSCANG00000028084
colobus_angolensis_palliatus ENSCANG00000030971
colobus_angolensis_palliatus ENSCANG00000000440
macaca_mulatta ENSMMUG00000040208
macaca_mulatta ENSMMUG00000042471
theropithecus_gelada ENSTGEG00000002381
chlorocebus_sabaeus ENSCSAG00000019480
colobus_angolensis_palliatus ENSCANG00000027806
pongo_abelii ENSPPYG00000019314
aotus_nancymaae ENSANAG00000022187
aotus_nancymaae ENSANAG00000028685
aotus_nancymaae ENSANAG00000033157
aotus_nancymaae ENSANAG00000031273
aotus_nancymaae ENSANAG00000030934
saimiri_boliviensis_boliviensis ENSSBOG00000034052
cebus_capucinus ENSCCAG00000033109
callithrix_jacchus ENSCJAG00000021267
callithrix_jacchus ENSCJAG00000041385
callithrix_jacchus ENSCJAG00000040787
callithrix_jacchus ENSCJAG00000044289
peromyscus_maniculatus_bairdii ENSPEMG00000000262
peromyscus_maniculatus_bairdii ENSPEMG00000031098
peromyscus_maniculatus_bairdii ENSPEMG00000027034
microtus_ochrogaster ENSMOCG00000021922
microtus_ochrogaster ENSMOCG00000021458
cricetulus_griseus_crigri-picr ENSCGRG00015019361
cricetulus_griseus_crigri ENSCGRG00000014266
cricetulus_griseus_chok1gshd ENSCGRG00001004717
cricetulus_griseus_chok1gshd ENSCGRG00001018882
cricetulus_griseus_crigri ENSCGRG00000010084
mesocricetus_auratus ENSMAUG00000014733
mesocricetus_auratus ENSMAUG00000004240
mesocricetus_auratus ENSMAUG00000011525
mesocricetus_auratus ENSMAUG00000018574
mus_musculus ENSMUSG00000070493
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027789
mus_spicilegus ENSMSIG00000021109
rattus_norvegicus ENSRNOG00000051286
rattus_norvegicus ENSRNOG00000051180
heterocephalus_glaber_female ENSHGLG00000015755
heterocephalus_glaber_male ENSHGLG00100016739
fukomys_damarensis ENSFDAG00000020124
octodon_degus ENSODEG00000014564
octodon_degus ENSODEG00000017661
chinchilla_lanigera ENSCLAG00000005594
cavia_porcellus ENSCPOG00000012413
cavia_aperea ENSCAPG00000013739
urocitellus_parryii ENSUPAG00010019260
marmota_marmota_marmota ENSMMMG00000004323
ictidomys_tridecemlineatus ENSSTOG00000010512
dipodomys_ordii ENSDORG00000029216
dipodomys_ordii ENSDORG00000023938
dipodomys_ordii ENSDORG00000024019
dipodomys_ordii ENSDORG00000001257
oryctolagus_cuniculus ENSOCUG00000016492
oryctolagus_cuniculus ENSOCUG00000008732
mus_pahari MGP_PahariEiJ_G0024395
mus_spicilegus ENSMSIG00000008592
rattus_norvegicus ENSRNOG00000053790
cricetulus_griseus_crigri-picr ENSCGRG00015003664
nannospalax_galili ENSNGAG00000022700
oryctolagus_cuniculus ENSOCUG00000009617
castor_canadensis ENSCCNG00000014106
castor_canadensis ENSCCNG00000029148
tursiops_truncatus ENSTTRG00000015185
vicugna_pacos ENSVPAG00000006104
capra_hircus ENSCHIG00000025062
capra_hircus ENSCHIG00000001765
capra_hircus ENSCHIG00000007426
ovis_aries ENSOARG00000020364
bos_taurus ENSBTAG00000040295
bos_taurus ENSBTAG00000007354
bos_mutus ENSBMUG00000025158
bison_bison_bison ENSBBBG00000015049
sus_scrofa ENSSSCG00000029433
sus_scrofa ENSSSCG00000040527
sus_scrofa ENSSSCG00000037850
sus_scrofa ENSSSCG00000034642
sus_scrofa ENSSSCG00000038672
sus_scrofa ENSSSCG00000040234
myotis_lucifugus ENSMLUG00000028382
sus_scrofa ENSSSCG00000007743
procavia_capensis ENSPCAG00000003068
tupaia_belangeri ENSTBEG00000012905
sarcophilus_harrisii ENSSHAG00000006492
ornithorhynchus_anatinus ENSOANG00000010441
coturnix_japonica ENSCJPG00005008547
anser_brachyrhynchus ENSABRG00000014969
cyanistes_caeruleus ENSCCEG00000022965
ficedula_albicollis ENSFALG00000014458
melopsittacus_undulatus ENSMUNG00000013382
apteryx_haastii ENSAHAG00000011522
apteryx_rowi ENSARWG00000018856
apteryx_owenii ENSAOWG00000012307
crocodylus_porosus ENSCPRG00005001567
anolis_carolinensis ENSACAG00000016717
eptatretus_burgeri ENSEBUG00000000365
drosophila_melanogaster FBgn0260747
