amphiprion_percula ENSAPEG00000007355
amphiprion_ocellaris ENSAOCG00000020816
acanthochromis_polyacanthus ENSAPOG00000023164
acanthochromis_polyacanthus ENSAPOG00000012280
stegastes_partitus ENSSPAG00000011274
haplochromis_burtoni ENSHBUG00000012813
pundamilia_nyererei ENSPNYG00000022669
astatotilapia_calliptera ENSACLG00000027521
maylandia_zebra ENSMZEG00005011570
neolamprologus_brichardi ENSNBRG00000003960
amphilophus_citrinellus ENSACIG00000019602
fundulus_heteroclitus ENSFHEG00000005477
cyprinodon_variegatus ENSCVAG00000000801
poecilia_formosa ENSPFOG00000018050
poecilia_latipinna ENSPLAG00000018117
poecilia_mexicana ENSPMEG00000024475
poecilia_reticulata ENSPREG00000009086
xiphophorus_maculatus ENSXMAG00000009144
xiphophorus_couchianus ENSXCOG00000004059
gambusia_affinis ENSGAFG00000018018
kryptolebias_marmoratus ENSKMAG00000016491
oryzias_latipes ENSORLG00000010013
oryzias_latipes_asm223469v1 ENSORLG00015022370
oryzias_latipes ENSORLG00020002382
oryzias_melastigma ENSOMEG00000021696
scophthalmus_maximus ENSSMAG00000009589
cynoglossus_semilaevis ENSCSEG00000009538
seriola_lalandi_dorsalis ENSSLDG00000010598
seriola_dumerili ENSSDUG00000017872
mola_mola ENSMMOG00000009057
tetraodon_nigroviridis ENSTNIG00000004676
labrus_bergylta ENSLBEG00000014716
mastacembelus_armatus ENSMAMG00000000160
anabas_testudineus ENSATEG00000020522
monopterus_albus ENSMALG00000020293
hippocampus_comes ENSHCOG00000019880
periophthalmus_magnuspinnatus ENSPMGG00000001813
gadus_morhua ENSGMOG00000000410
esox_lucius ENSELUG00000022050
pygocentrus_nattereri ENSPNAG00000011213
ictalurus_punctatus ENSIPUG00000010930
danio_rerio ENSDARG00000001937
scleropages_formosus ENSSFOG00015006896
paramormyrops_kingsleyae ENSPKIG00000003621
hippocampus_comes ENSHCOG00000018662
lepisosteus_oculatus ENSLOCG00000013204
chelonoidis_abingdonii ENSCABG00000012593
gopherus_agassizii ENSGAGG00000021750
