xiphophorus_maculatus ENSXMAG00000008079
gambusia_affinis ENSGAFG00000003095
poecilia_mexicana ENSPMEG00000017828
poecilia_latipinna ENSPLAG00000017863
poecilia_reticulata ENSPREG00000010499
oryzias_melastigma ENSOMEG00000021162
poecilia_mexicana ENSPMEG00000010940
amphilophus_citrinellus ENSACIG00000021097
periophthalmus_magnuspinnatus ENSPMGG00000019422
latimeria_chalumnae ENSLACG00000011623
crocodylus_porosus ENSCPRG00005012518
electrophorus_electricus ENSEEEG00000002618
amphiprion_ocellaris ENSAOCG00000008831
cyprinodon_variegatus ENSCVAG00000009315
periophthalmus_magnuspinnatus ENSPMGG00000014314
acanthochromis_polyacanthus ENSAPOG00000024503
maylandia_zebra ENSMZEG00005025164
xiphophorus_couchianus ENSXCOG00000015460
paramormyrops_kingsleyae ENSPKIG00000013634
meriones_unguiculatus ENSMUGG00000014053
eptatretus_burgeri ENSEBUG00000012171
cyanistes_caeruleus ENSCCEG00000014399
ornithorhynchus_anatinus ENSOANG00000000673
petromyzon_marinus ENSPMAG00000006466
melopsittacus_undulatus ENSMUNG00000001801
pundamilia_nyererei ENSPNYG00000023762
betta_splendens ENSBSLG00000016506
ciona_intestinalis ENSCING00000025074
ciona_savignyi ENSCSAVG00000003093
ciona_savignyi ENSCSAVG00000003290
ciona_intestinalis ENSCING00000002801
caenorhabditis_elegans WBGene00021507
caenorhabditis_elegans WBGene00020597
caenorhabditis_elegans WBGene00019169
saccharomyces_cerevisiae YDL230W
