pan_paniscus ENSPPAG00000021393
homo_sapiens ENSG00000255408
carlito_syrichta ENSTSYG00000004842
mus_musculus ENSMUSG00000102312
mus_spicilegus ENSMSIG00000031700
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023056
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022143
mus_pahari MGP_PahariEiJ_G0018877
rattus_norvegicus ENSRNOG00000050378
microtus_ochrogaster ENSMOCG00000001657
nannospalax_galili ENSNGAG00000009239
dipodomys_ordii ENSDORG00000026940
spermophilus_dauricus ENSSDAG00000018672
ailuropoda_melanoleuca ENSAMEG00000010763
ursus_americanus ENSUAMG00000004642
mustela_putorius_furo ENSMPUG00000008368
canis_lupus_dingo ENSCAFG00020000363
panthera_tigris_altaica ENSPTIG00000009491
sorex_araneus ENSSARG00000003165
bos_taurus ENSBTAG00000046717
capra_hircus ENSCHIG00000017022
pteropus_vampyrus ENSPVAG00000004920
loxodonta_africana ENSLAFG00000001880
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023053
mus_musculus ENSMUSG00000102836
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022148
mus_pahari MGP_PahariEiJ_G0018882
procavia_capensis ENSPCAG00000013769
