xenopus_tropicalis ENSXETG00000005735
sphenodon_punctatus ENSSPUG00000001310
phascolarctos_cinereus ENSPCIG00000019028
vombatus_ursinus ENSVURG00010024179
notamacropus_eugenii ENSMEUG00000002185
sarcophilus_harrisii ENSSHAG00000011275
monodelphis_domestica ENSMODG00000011902
chinchilla_lanigera ENSCLAG00000011642
octodon_degus ENSODEG00000009901
heterocephalus_glaber ENSHGLG00000019264
heterocephalus_glaber ENSHGLG00100015141
fukomys_damarensis ENSFDAG00000018834
castor_canadensis ENSCCNG00000020343
mus_spicilegus ENSMSIG00000013176
mus_spretus MGP_SPRETEiJ_G0032415
mus_musculus ENSMUSG00000035671
mus_caroli MGP_CAROLIEiJ_G0031297
mus_pahari MGP_PahariEiJ_G0022903
rattus_norvegicus ENSRNOG00000007582
meriones_unguiculatus ENSMUGG00000014575
cricetulus_griseus ENSCGRG00001022171
cricetulus_griseus ENSCGRG00015016714
cricetulus_griseus ENSCGRG00000005987
mesocricetus_auratus ENSMAUG00000021623
microtus_ochrogaster ENSMOCG00000013310
peromyscus_maniculatus ENSPEMG00000009048
nannospalax_galili ENSNGAG00000001121
jaculus_jaculus ENSJJAG00000019795
ictidomys_tridecemlineatus ENSSTOG00000021055
urocitellus_parryii ENSUPAG00010011666
dipodomys_ordii ENSDORG00000016139
procavia_capensis ENSPCAG00000013724
echinops_telfairi ENSETEG00000007652
carlito_syrichta ENSTSYG00000029713
marmota_marmota ENSMMMG00000021589
macaca_mulatta ENSMMUG00000017645
felis_catus ENSFCAG00000045722
equus_caballus ENSECAG00000006600
equus_asinus ENSEASG00005015317
pteropus_vampyrus ENSPVAG00000017533
bos_indicus ENSBIXG00000027317
bos_indicus ENSBIXG00005021000
bos_taurus ENSBTAG00000002527
bos_mutus ENSBMUG00000000467
bison_bison ENSBBBG00000007955
ovis_aries ENSOARG00000008103
capra_hircus ENSCHIG00000007749
tursiops_truncatus ENSTTRG00000010415
sus_scrofa ENSSSCG00000013758
ursus_americanus ENSUAMG00000015396
ursus_maritimus ENSUMAG00000004723
ailuropoda_melanoleuca ENSAMEG00000012935
neovison_vison ENSNVIG00000006210
mustela_putorius ENSMPUG00000003286
canis_lupus ENSCAFG00020006666
canis_lupus ENSCAFG00000016604
vulpes_vulpes ENSVVUG00000026745
panthera_pardus ENSPPRG00000009270
panthera_tigris ENSPTIG00000001122
felis_catus ENSFCAG00000003715
sorex_araneus ENSSARG00000006294
prolemur_simus ENSPSMG00000001098
propithecus_coquereli ENSPCOG00000024403
microcebus_murinus ENSMICG00000037649
otolemur_garnettii ENSOGAG00000007186
rhinopithecus_bieti ENSRBIG00000037112
rhinopithecus_roxellana ENSRROG00000032947
colobus_angolensis ENSCANG00000031396
macaca_fascicularis ENSMFAG00000041230
macaca_nemestrina ENSMNEG00000040630
cercocebus_atys ENSCATG00000024862
mandrillus_leucophaeus ENSMLEG00000030165
theropithecus_gelada ENSTGEG00000006243
papio_anubis ENSPANG00000018289
pan_paniscus ENSPPAG00000025698
pan_troglodytes ENSPTRG00000010567
homo_sapiens ENSG00000132003
gorilla_gorilla ENSGGOG00000011452
pongo_abelii ENSPPYG00000010561
chlorocebus_sabaeus ENSCSAG00000006437
nomascus_leucogenys ENSNLEG00000034372
piliocolobus_tephrosceles ENSPTEG00000000369
cebus_capucinus ENSCCAG00000014810
saimiri_boliviensis ENSSBOG00000010394
callithrix_jacchus ENSCJAG00000004397
aotus_nancymaae ENSANAG00000032728
loxodonta_africana ENSLAFG00000011614
ornithorhynchus_anatinus ENSOANG00000005337
gopherus_agassizii ENSGAGG00000006999
chelonoidis_abingdonii ENSCABG00000004152
chrysemys_picta ENSCPBG00000023828
anolis_carolinensis ENSACAG00000009232
pogona_vitticeps ENSPVIG00000009144
salvator_merianae ENSSMRG00000016830
notechis_scutatus ENSNSUG00000013271
latimeria_chalumnae ENSLACG00000007070
erpetoichthys_calabaricus ENSECRG00000019119
