paramormyrops_kingsleyae ENSPKIG00000008687
scleropages_formosus ENSSFOG00015014555
astatotilapia_calliptera ENSACLG00000002450
pundamilia_nyererei ENSPNYG00000002502
haplochromis_burtoni ENSHBUG00000019505
maylandia_zebra ENSMZEG00005001903
neolamprologus_brichardi ENSNBRG00000009582
labrus_bergylta ENSLBEG00000007678
anabas_testudineus ENSATEG00000013319
monopterus_albus ENSMALG00000001321
gasterosteus_aculeatus ENSGACG00000006482
seriola_lalandi_dorsalis ENSSLDG00000016636
seriola_dumerili ENSSDUG00000008251
scophthalmus_maximus ENSSMAG00000001975
xiphophorus_maculatus ENSXMAG00000008790
gambusia_affinis ENSGAFG00000013843
poecilia_latipinna ENSPLAG00000002858
poecilia_mexicana ENSPMEG00000013898
poecilia_mexicana ENSPMEG00000000304
poecilia_latipinna ENSPLAG00000010455
poecilia_reticulata ENSPREG00000013259
poecilia_formosa ENSPFOG00000003427
fundulus_heteroclitus ENSFHEG00000009088
kryptolebias_marmoratus ENSKMAG00000007409
oryzias_melastigma ENSOMEG00000010382
oryzias_latipes_asm223469v1 ENSORLG00015014549
amphiprion_ocellaris ENSAOCG00000002559
amphiprion_percula ENSAPEG00000018119
acanthochromis_polyacanthus ENSAPOG00000016154
stegastes_partitus ENSSPAG00000011453
hippocampus_comes ENSHCOG00000019772
periophthalmus_magnuspinnatus ENSPMGG00000006359
gadus_morhua ENSGMOG00000002204
esox_lucius ENSELUG00000001292
pygocentrus_nattereri ENSPNAG00000008369
astyanax_mexicanus ENSAMXG00000029310
ictalurus_punctatus ENSIPUG00000006880
danio_rerio ENSDARG00000093423
lepisosteus_oculatus ENSLOCG00000008092
latimeria_chalumnae ENSLACG00000015250
