choloepus_hoffmanni ENSCHOG00000008373
dasypus_novemcinctus ENSDNOG00000018401
loxodonta_africana ENSLAFG00000005142
procavia_capensis ENSPCAG00000000984
echinops_telfairi ENSETEG00000000266
homo_sapiens ENSG00000278057
pan_troglodytes ENSPTRG00000022426
gorilla_gorilla ENSGGOG00000004188
pongo_abelii ENSPPYG00000020869
nomascus_leucogenys ENSNLEG00000013808
macaca_fascicularis ENSMFAG00000039596
macaca_mulatta ENSMMUG00000006167
macaca_nemestrina ENSMNEG00000032132
mandrillus_leucophaeus ENSMLEG00000035487
mandrillus_leucophaeus ENSMLEG00000028186
cercocebus_atys ENSCATG00000040472
theropithecus_gelada ENSTGEG00000014243
theropithecus_gelada ENSTGEG00000010258
chlorocebus_sabaeus ENSCSAG00000006786
rhinopithecus_roxellana ENSRROG00000038899
rhinopithecus_bieti ENSRBIG00000032463
piliocolobus_tephrosceles ENSPTEG00000020579
saimiri_boliviensis_boliviensis ENSSBOG00000035728
callithrix_jacchus ENSCJAG00000042631
carlito_syrichta ENSTSYG00000030453
prolemur_simus ENSPSMG00000022603
otolemur_garnettii ENSOGAG00000000900
cavia_porcellus ENSCPOG00000021789
cavia_aperea ENSCAPG00000004410
oryctolagus_cuniculus ENSOCUG00000021000
tupaia_belangeri ENSTBEG00000000535
castor_canadensis ENSCCNG00000005198
dipodomys_ordii ENSDORG00000010136
cricetulus_griseus_crigri-picr ENSCGRG00015007002
cricetulus_griseus_chok1gshd ENSCGRG00001014288
cricetulus_griseus_crigri ENSCGRG00000002487
mesocricetus_auratus ENSMAUG00000011775
microtus_ochrogaster ENSMOCG00000011491
peromyscus_maniculatus_bairdii ENSPEMG00000009005
mus_spicilegus ENSMSIG00000014172
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034327
mus_musculus ENSMUSG00000062564
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033172
mus_pahari MGP_PahariEiJ_G0031715
rattus_norvegicus ENSRNOG00000051438
nannospalax_galili ENSNGAG00000023701
jaculus_jaculus ENSJJAG00000019769
ictidomys_tridecemlineatus ENSSTOG00000022078
spermophilus_dauricus ENSSDAG00000018381
marmota_marmota_marmota ENSMMMG00000010023
urocitellus_parryii ENSUPAG00010010912
ovis_aries ENSOARG00000005618
capra_hircus ENSCHIG00000020606
bos_taurus ENSBTAG00000020300
bos_mutus ENSBMUG00000014694
tursiops_truncatus ENSTTRG00000003618
sus_scrofa ENSSSCG00000029513
ursus_americanus ENSUAMG00000020430
ursus_maritimus ENSUMAG00000020707
ailuropoda_melanoleuca ENSAMEG00000018444
mustela_putorius_furo ENSMPUG00000009202
neovison_vison ENSNVIG00000023857
canis_lupus_dingo ENSCAFG00020022059
canis_lupus_familiaris ENSCAFG00000019442
vulpes_vulpes ENSVVUG00000029579
pteropus_vampyrus ENSPVAG00000000476
myotis_lucifugus ENSMLUG00000014304
equus_caballus ENSECAG00000021904
equus_asinus_asinus ENSEASG00005019182
phascolarctos_cinereus ENSPCIG00000016098
sarcophilus_harrisii ENSSHAG00000009316
ornithorhynchus_anatinus ENSOANG00000011022
pogona_vitticeps ENSPVIG00000018938
anolis_carolinensis ENSACAG00000012680
notechis_scutatus ENSNSUG00000014905
salvator_merianae ENSSMRG00000015688
