cavia_porcellus ENSCPOG00000013556
chinchilla_lanigera ENSCLAG00000013947
heterocephalus_glaber_male ENSHGLG00100006186
heterocephalus_glaber_female ENSHGLG00000008106
rattus_norvegicus ENSRNOG00000037435
oryctolagus_cuniculus ENSOCUG00000015153
pan_paniscus ENSPPAG00000028334
pan_troglodytes ENSPTRG00000018963
homo_sapiens ENSG00000173452
pongo_abelii ENSPPYG00000017751
gorilla_gorilla ENSGGOG00000005711
nomascus_leucogenys ENSNLEG00000016677
colobus_angolensis_palliatus ENSCANG00000029430
piliocolobus_tephrosceles ENSPTEG00000036136
rhinopithecus_bieti ENSRBIG00000031330
rhinopithecus_roxellana ENSRROG00000043909
cercocebus_atys ENSCATG00000038942
mandrillus_leucophaeus ENSMLEG00000044198
macaca_fascicularis ENSMFAG00000045383
macaca_mulatta ENSMMUG00000009610
macaca_nemestrina ENSMNEG00000028154
theropithecus_gelada ENSTGEG00000023390
papio_anubis ENSPANG00000021595
saimiri_boliviensis_boliviensis ENSSBOG00000023617
callithrix_jacchus ENSCJAG00000001161
cebus_capucinus ENSCCAG00000030192
aotus_nancymaae ENSANAG00000020365
carlito_syrichta ENSTSYG00000001474
propithecus_coquereli ENSPCOG00000018528
microcebus_murinus ENSMICG00000028950
prolemur_simus ENSPSMG00000016348
otolemur_garnettii ENSOGAG00000009193
procavia_capensis ENSPCAG00000007649
dasypus_novemcinctus ENSDNOG00000035613
mustela_putorius_furo ENSMPUG00000013945
neovison_vison ENSNVIG00000014172
ailuropoda_melanoleuca ENSAMEG00000008563
canis_lupus_familiaris ENSCAFG00000002513
panthera_tigris_altaica ENSPTIG00000019937
panthera_pardus ENSPPRG00000005829
felis_catus ENSFCAG00000036423
pteropus_vampyrus ENSPVAG00000015575
bos_mutus ENSBMUG00000015035
bos_taurus ENSBTAG00000044012
capra_hircus ENSCHIG00000024424
vicugna_pacos ENSVPAG00000002082
tursiops_truncatus ENSTTRG00000014903
sus_scrofa ENSSSCG00000015373
equus_caballus ENSECAG00000015956
choloepus_hoffmanni ENSCHOG00000010020
serinus_canaria ENSSCAG00000013793
taeniopygia_guttata ENSTGUG00000002647
cyanistes_caeruleus ENSCCEG00000019374
parus_major ENSPMJG00000000110
ficedula_albicollis ENSFALG00000009758
zonotrichia_albicollis ENSZALG00000010849
lepidothrix_coronata ENSLCOG00000012296
anser_brachyrhynchus ENSABRG00000010845
anas_platyrhynchos_platyrhynchos ENSAPLG00000010311
gallus_gallus ENSGALG00000010865
calidris_pugnax ENSCPUG00000010895
calidris_pygmaea ENSCPGG00000017610
dromaius_novaehollandiae ENSDNVG00000016818
chrysemys_picta_bellii ENSCPBG00000000325
gopherus_agassizii ENSGAGG00000001339
pelodiscus_sinensis ENSPSIG00000004454
salvator_merianae ENSSMRG00000007653
pogona_vitticeps ENSPVIG00000016374
lonchura_striata_domestica ENSLSDG00000002197
anolis_carolinensis ENSACAG00000011804
latimeria_chalumnae ENSLACG00000009751
notamacropus_eugenii ENSMEUG00000016661
ictidomys_tridecemlineatus ENSSTOG00000027635
hippocampus_comes ENSHCOG00000010614
