ailuropoda_melanoleuca ENSAMEG00000009060
ursus_americanus ENSUAMG00000028051
mustela_putorius ENSMPUG00000018505
canis_lupus ENSCAFG00000019325
canis_lupus ENSCAFG00020008596
vulpes_vulpes ENSVVUG00000021948
panthera_pardus ENSPPRG00000016698
panthera_tigris ENSPTIG00000006182
felis_catus ENSFCAG00000033740
capra_hircus ENSCHIG00000010285
ovis_aries ENSOARG00000004180
bos_indicus ENSBIXG00000001917
bos_indicus ENSBIXG00005007103
bos_taurus ENSBTAG00000049018
bos_mutus ENSBMUG00000003497
bison_bison ENSBBBG00000023996
equus_asinus ENSEASG00005012715
equus_caballus ENSECAG00000042770
sorex_araneus ENSSARG00000005068
myotis_lucifugus ENSMLUG00000005020
heterocephalus_glaber ENSHGLG00100004840
cavia_aperea ENSCAPG00000017336
chinchilla_lanigera ENSCLAG00000007493
mus_spretus MGP_SPRETEiJ_G0017550
mus_spicilegus ENSMSIG00000022777
mus_musculus ENSMUSG00000057050
mus_caroli MGP_CAROLIEiJ_G0016706
mus_pahari MGP_PahariEiJ_G0017842
rattus_norvegicus ENSRNOG00000047331
meriones_unguiculatus ENSMUGG00000014678
cricetulus_griseus ENSCGRG00001009947
cricetulus_griseus ENSCGRG00015021247
cricetulus_griseus ENSCGRG00000019558
peromyscus_maniculatus ENSPEMG00000029075
loxodonta_africana ENSLAFG00000021974
dasypus_novemcinctus ENSDNOG00000048298
