tursiops_truncatus ENSTTRG00000013723
bos_mutus ENSBMUG00000017387
vicugna_pacos ENSVPAG00000002490
sus_scrofa ENSSSCG00000021326
vulpes_vulpes ENSVVUG00000017519
canis_lupus_dingo ENSCAFG00020021121
neovison_vison ENSNVIG00000012739
panthera_pardus ENSPPRG00000010244
mandrillus_leucophaeus ENSMLEG00000025547
theropithecus_gelada ENSTGEG00000017026
homo_sapiens ENSG00000253767
colobus_angolensis_palliatus ENSCANG00000034738
carlito_syrichta ENSTSYG00000029552
otolemur_garnettii ENSOGAG00000027960
cricetulus_griseus_chok1gshd ENSCGRG00001013599
mesocricetus_auratus ENSMAUG00000008624
mus_spicilegus ENSMSIG00000002776
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023101
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022191
mus_musculus ENSMUSG00000103897
mus_pahari MGP_PahariEiJ_G0018925
rattus_norvegicus ENSRNOG00000027277
dipodomys_ordii ENSDORG00000029212
octodon_degus ENSODEG00000012994
choloepus_hoffmanni ENSCHOG00000002539
dasypus_novemcinctus ENSDNOG00000024744
