junco_hyemalis ENSJHYG00000002737
melopsittacus_undulatus ENSMUNG00000005729
apteryx_rowi ENSARWG00000005042
apteryx_owenii ENSAOWG00000010524
pelodiscus_sinensis ENSPSIG00000014579
anolis_carolinensis ENSACAG00000006449
gorilla_gorilla ENSGGOG00000038538
carlito_syrichta ENSTSYG00000033703
spermophilus_dauricus ENSSDAG00000004220
cavia_aperea ENSCAPG00000010057
cricetulus_griseus_chok1gshd ENSCGRG00001000706
cricetulus_griseus_crigri ENSCGRG00000013289
choloepus_hoffmanni ENSCHOG00000011238
phascolarctos_cinereus ENSPCIG00000022367
anabas_testudineus ENSATEG00000003070
ciona_intestinalis ENSCING00000003396
