oryzias_latipes_asm223469v1 ENSORLG00015008762
labrus_bergylta ENSLBEG00000014124
periophthalmus_magnuspinnatus ENSPMGG00000015793
paramormyrops_kingsleyae ENSPKIG00000010143
apteryx_haastii ENSAHAG00000009015
nothoprocta_perdicaria ENSNPEG00000015155
zonotrichia_albicollis ENSZALG00000013842
lepidothrix_coronata ENSLCOG00000003203
anas_platyrhynchos_platyrhynchos ENSAPLG00000020501
calidris_pygmaea ENSCPGG00000006196
coturnix_japonica ENSCJPG00005012795
chelonoidis_abingdonii ENSCABG00000009414
notechis_scutatus ENSNSUG00000004474
notechis_scutatus ENSNSUG00000004467
notechis_scutatus ENSNSUG00000004522
notechis_scutatus ENSNSUG00000004524
notechis_scutatus ENSNSUG00000012729
pogona_vitticeps ENSPVIG00000016686
sphenodon_punctatus ENSSPUG00000018519
