tursiops_truncatus ENSTTRG00000012428
ochotona_princeps ENSOPRG00000014665
choloepus_hoffmanni ENSCHOG00000000413
pogona_vitticeps ENSPVIG00000013626
xenopus_tropicalis ENSXETG00000020605
poecilia_mexicana ENSPMEG00000020098
poecilia_latipinna ENSPLAG00000007126
mola_mola ENSMMOG00000003420
periophthalmus_magnuspinnatus ENSPMGG00000020909
betta_splendens ENSBSLG00000026057
hucho_hucho ENSHHUG00000003566
erpetoichthys_calabaricus ENSECRG00000016355
callorhinchus_milii ENSCMIG00000011003
eptatretus_burgeri ENSEBUG00000015336
