amphiprion_ocellaris ENSAOCG00000013688
amphiprion_percula ENSAPEG00000002237
acanthochromis_polyacanthus ENSAPOG00000005582
parambassis_ranga ENSPRNG00000023663
haplochromis_burtoni ENSHBUG00000000519
maylandia_zebra ENSMZEG00005019294
astatotilapia_calliptera ENSACLG00000014908
pundamilia_nyererei ENSPNYG00000015369
neolamprologus_brichardi ENSNBRG00000000334
oreochromis_niloticus ENSONIG00000014196
labrus_bergylta ENSLBEG00000023339
anabas_testudineus ENSATEG00000023398
gasterosteus_aculeatus ENSGACG00000019248
larimichthys_crocea ENSLCRG00005011976
mola_mola ENSMMOG00000007314
cottoperca_gobio ENSCGOG00000014749
amphilophus_citrinellus ENSACIG00000007912
periophthalmus_magnuspinnatus ENSPMGG00000007832
seriola_dumerili ENSSDUG00000014591
seriola_lalandi ENSSLDG00000014081
scophthalmus_maximus ENSSMAG00000015664
lates_calcarifer ENSLCAG00010019751
monopterus_albus ENSMALG00000004314
monopterus_albus ENSMALG00000004233
mastacembelus_armatus ENSMAMG00000023298
hippocampus_comes ENSHCOG00000012802
tetraodon_nigroviridis ENSTNIG00000001461
takifugu_rubripes ENSTRUG00000010258
stegastes_partitus ENSSPAG00000019004
betta_splendens ENSBSLG00000021804
poecilia_formosa ENSPFOG00000008383
poecilia_latipinna ENSPLAG00000005741
poecilia_mexicana ENSPMEG00000013198
poecilia_reticulata ENSPREG00000012513
xiphophorus_couchianus ENSXCOG00000003446
xiphophorus_maculatus ENSXMAG00000001329
gambusia_affinis ENSGAFG00000005768
fundulus_heteroclitus ENSFHEG00000014147
cyprinodon_variegatus ENSCVAG00000018210
kryptolebias_marmoratus ENSKMAG00000021070
oryzias_latipes ENSORLG00020019830
oryzias_latipes ENSORLG00015018191
oryzias_latipes ENSORLG00000013008
oryzias_melastigma ENSOMEG00000014800
gouania_willdenowi ENSGWIG00000023802
gadus_morhua ENSGMOG00000006088
cynoglossus_semilaevis ENSCSEG00000003227
hucho_hucho ENSHHUG00000012154
hucho_hucho ENSHHUG00000037353
esox_lucius ENSELUG00000017605
astyanax_mexicanus ENSAMXG00005002518
astyanax_mexicanus ENSAMXG00000003659
pygocentrus_nattereri ENSPNAG00000014833
electrophorus_electricus ENSEEEG00000020352
ictalurus_punctatus ENSIPUG00000015789
danio_rerio ENSDARG00000039346
denticeps_clupeoides ENSDCDG00000027889
clupea_harengus ENSCHAG00000010462
paramormyrops_kingsleyae ENSPKIG00000021162
scleropages_formosus ENSSFOG00015011772
lepisosteus_oculatus ENSLOCG00000015870
erpetoichthys_calabaricus ENSECRG00000001619
pogona_vitticeps ENSPVIG00000013867
pogona_vitticeps ENSPVIG00000003623
anolis_carolinensis ENSACAG00000000803
notechis_scutatus ENSNSUG00000011424
salvator_merianae ENSSMRG00000012122
crocodylus_porosus ENSCPRG00005010869
gopherus_agassizii ENSGAGG00000017634
gopherus_agassizii ENSGAGG00000012510
chelonoidis_abingdonii ENSCABG00000006779
chrysemys_picta ENSCPBG00000020662
pelodiscus_sinensis ENSPSIG00000012270
anser_brachyrhynchus ENSABRG00000013142
anas_platyrhynchos ENSAPLG00000019976
meleagris_gallopavo ENSMGAG00000008411
coturnix_japonica ENSCJPG00005012109
gallus_gallus ENSGALG00000008821
numida_meleagris ENSNMEG00000009244
taeniopygia_guttata ENSTGUG00000018129
lonchura_striata ENSLSDG00000004205
serinus_canaria ENSSCAG00000003685
junco_hyemalis ENSJHYG00000014615
zonotrichia_albicollis ENSZALG00000007065
ficedula_albicollis ENSFALG00000009900
parus_major ENSPMJG00000009953
cyanistes_caeruleus ENSCCEG00000017369
manacus_vitellinus ENSMVIG00005005009
lepidothrix_coronata ENSLCOG00000014106
melopsittacus_undulatus ENSMUNG00000016881
calidris_pugnax ENSCPUG00000012656
calidris_pygmaea ENSCPGG00000004609
apteryx_owenii ENSAOWG00000000421
apteryx_rowi ENSARWG00000005332
apteryx_haastii ENSAHAG00000001756
nothoprocta_perdicaria ENSNPEG00000001317
dromaius_novaehollandiae ENSDNVG00000015790
sphenodon_punctatus ENSSPUG00000017583
oryctolagus_cuniculus ENSOCUG00000035154
oryctolagus_cuniculus ENSOCUG00000025403
oryctolagus_cuniculus ENSOCUG00000030143
piliocolobus_tephrosceles ENSPTEG00000031161
castor_canadensis ENSCCNG00000018482
castor_canadensis ENSCCNG00000024175
ovis_aries ENSOARG00000011339
ovis_aries ENSOARG00000019787
ovis_aries ENSOARG00000000717
capra_hircus ENSCHIG00000014906
bos_indicus ENSBIXG00005003748
bos_indicus ENSBIXG00000003764
bos_taurus ENSBTAG00000009334
bos_indicus ENSBIXG00000027988
bos_indicus ENSBIXG00005018090
bos_taurus ENSBTAG00000053387
bos_mutus ENSBMUG00000015277
bison_bison ENSBBBG00000013288
bos_mutus ENSBMUG00000013653
sus_scrofa ENSSSCG00000037869
myotis_lucifugus ENSMLUG00000025486
panthera_pardus ENSPPRG00000004067
ursus_americanus ENSUAMG00000021469
ursus_maritimus ENSUMAG00000005561
ailuropoda_melanoleuca ENSAMEG00000004512
mustela_putorius ENSMPUG00000006811
panthera_pardus ENSPPRG00000006159
panthera_tigris ENSPTIG00000021225
felis_catus ENSFCAG00000039291
canis_lupus ENSCAFG00020001659
canis_lupus ENSCAFG00000045818
panthera_pardus ENSPPRG00000018021
vulpes_vulpes ENSVVUG00000001471
vulpes_vulpes ENSVVUG00000018770
canis_lupus ENSCAFG00000025112
canis_lupus ENSCAFG00020021556
ursus_americanus ENSUAMG00000005699
ursus_maritimus ENSUMAG00000017936
aotus_nancymaae ENSANAG00000025378
equus_asinus ENSEASG00005009337
neovison_vison ENSNVIG00000001143
equus_caballus ENSECAG00000035910
urocitellus_parryii ENSUPAG00010017244
spermophilus_dauricus ENSSDAG00000008614
urocitellus_parryii ENSUPAG00010018712
urocitellus_parryii ENSUPAG00010009144
spermophilus_dauricus ENSSDAG00000013061
ictidomys_tridecemlineatus ENSSTOG00000027404
marmota_marmota ENSMMMG00000015124
dasypus_novemcinctus ENSDNOG00000047249
dasypus_novemcinctus ENSDNOG00000049256
loxodonta_africana ENSLAFG00000030971
piliocolobus_tephrosceles ENSPTEG00000017912
colobus_angolensis ENSCANG00000032131
cercocebus_atys ENSCATG00000014387
mandrillus_leucophaeus ENSMLEG00000039292
theropithecus_gelada ENSTGEG00000018806
chlorocebus_sabaeus ENSCSAG00000000197
pan_troglodytes ENSPTRG00000051357
pan_paniscus ENSPPAG00000035918
nomascus_leucogenys ENSNLEG00000018211
aotus_nancymaae ENSANAG00000025103
saimiri_boliviensis ENSSBOG00000030755
papio_anubis ENSPANG00000029895
cercocebus_atys ENSCATG00000044927
mandrillus_leucophaeus ENSMLEG00000041093
macaca_nemestrina ENSMNEG00000042213
macaca_fascicularis ENSMFAG00000033960
colobus_angolensis ENSCANG00000030347
carlito_syrichta ENSTSYG00000036729
carlito_syrichta ENSTSYG00000025516
cebus_capucinus ENSCCAG00000026260
prolemur_simus ENSPSMG00000009034
propithecus_coquereli ENSPCOG00000006837
prolemur_simus ENSPSMG00000013790
microcebus_murinus ENSMICG00000032578
otolemur_garnettii ENSOGAG00000033137
octodon_degus ENSODEG00000020369
octodon_degus ENSODEG00000003641
octodon_degus ENSODEG00000019731
octodon_degus ENSODEG00000009972
octodon_degus ENSODEG00000011877
octodon_degus ENSODEG00000018676
octodon_degus ENSODEG00000019852
octodon_degus ENSODEG00000018900
chinchilla_lanigera ENSCLAG00000006860
cavia_porcellus ENSCPOG00000030629
cavia_aperea ENSCAPG00000017087
heterocephalus_glaber ENSHGLG00000005410
heterocephalus_glaber ENSHGLG00100004495
fukomys_damarensis ENSFDAG00000011375
pan_troglodytes ENSPTRG00000050539
pan_troglodytes ENSPTRG00000049036
pan_paniscus ENSPPAG00000033278
nomascus_leucogenys ENSNLEG00000027311
pan_paniscus ENSPPAG00000043654
pan_troglodytes ENSPTRG00000019637
homo_sapiens ENSG00000128609
gorilla_gorilla ENSGGOG00000022922
pongo_abelii ENSPPYG00000017956
nomascus_leucogenys ENSNLEG00000030214
piliocolobus_tephrosceles ENSPTEG00000027593
piliocolobus_tephrosceles ENSPTEG00000005042
rhinopithecus_roxellana ENSRROG00000012922
colobus_angolensis ENSCANG00000033204
papio_anubis ENSPANG00000005392
cercocebus_atys ENSCATG00000034799
chlorocebus_sabaeus ENSCSAG00000010289
mandrillus_leucophaeus ENSMLEG00000034267
theropithecus_gelada ENSTGEG00000019282
macaca_nemestrina ENSMNEG00000039718
macaca_fascicularis ENSMFAG00000030932
macaca_mulatta ENSMMUG00000017321
rhinopithecus_bieti ENSRBIG00000007271
cebus_capucinus ENSCCAG00000025462
callithrix_jacchus ENSCJAG00000046749
saimiri_boliviensis ENSSBOG00000021818
saimiri_boliviensis ENSSBOG00000032510
saimiri_boliviensis ENSSBOG00000030559
callithrix_jacchus ENSCJAG00000045877
callithrix_jacchus ENSCJAG00000065694
callithrix_jacchus ENSCJAG00000047587
saimiri_boliviensis ENSSBOG00000035142
aotus_nancymaae ENSANAG00000019496
aotus_nancymaae ENSANAG00000033278
aotus_nancymaae ENSANAG00000017435
callithrix_jacchus ENSCJAG00000063508
cebus_capucinus ENSCCAG00000026397
