serinus_canaria ENSSCAG00000016449
lonchura_striata_domestica ENSLSDG00000002589
manacus_vitellinus ENSMVIG00005014894
numida_meleagris ENSNMEG00000020025
coturnix_japonica ENSCJPG00005012677
lepidothrix_coronata ENSLCOG00000002111
calidris_pygmaea ENSCPGG00000001165
anas_platyrhynchos_platyrhynchos ENSAPLG00000017226
apteryx_haastii ENSAHAG00000009770
apteryx_owenii ENSAOWG00000012860
nothoprocta_perdicaria ENSNPEG00000005121
gopherus_agassizii ENSGAGG00000008910
chelonoidis_abingdonii ENSCABG00000020720
chrysemys_picta_bellii ENSCPBG00000017154
sphenodon_punctatus ENSSPUG00000010393
