sphenodon_punctatus ENSSPUG00000011078
pogona_vitticeps ENSPVIG00000024903
pelodiscus_sinensis ENSPSIG00000013935
cricetulus_griseus_crigri ENSCGRG00000016763
mesocricetus_auratus ENSMAUG00000011346
erinaceus_europaeus ENSEEUG00000004841
notamacropus_eugenii ENSMEUG00000003054
ornithorhynchus_anatinus ENSOANG00000029029
xenopus_tropicalis ENSXETG00000017599
astyanax_mexicanus ENSAMXG00000016545
pygocentrus_nattereri ENSPNAG00000009961
ictalurus_punctatus ENSIPUG00000022365
danio_rerio ENSDARG00000039910
esox_lucius ENSELUG00000022403
scleropages_formosus ENSSFOG00015019227
paramormyrops_kingsleyae ENSPKIG00000015165
lepisosteus_oculatus ENSLOCG00000003368
amphiprion_ocellaris ENSAOCG00000008873
amphiprion_percula ENSAPEG00000012051
acanthochromis_polyacanthus ENSAPOG00000015109
stegastes_partitus ENSSPAG00000019871
astatotilapia_calliptera ENSACLG00000004988
maylandia_zebra ENSMZEG00005025234
haplochromis_burtoni ENSHBUG00000011141
pundamilia_nyererei ENSPNYG00000014460
oreochromis_niloticus ENSONIG00000008029
amphilophus_citrinellus ENSACIG00000010771
mastacembelus_armatus ENSMAMG00000006708
monopterus_albus ENSMALG00000015720
anabas_testudineus ENSATEG00000000536
labrus_bergylta ENSLBEG00000017547
labrus_bergylta ENSLBEG00000004578
gasterosteus_aculeatus ENSGACG00000004170
takifugu_rubripes ENSTRUG00000024586
tetraodon_nigroviridis ENSTNIG00000011669
scophthalmus_maximus ENSSMAG00000011935
cynoglossus_semilaevis ENSCSEG00000010248
seriola_dumerili ENSSDUG00000004033
seriola_lalandi_dorsalis ENSSLDG00000009918
poecilia_formosa ENSPFOG00000007701
poecilia_mexicana ENSPMEG00000010375
poecilia_latipinna ENSPLAG00000009405
poecilia_reticulata ENSPREG00000018102
xiphophorus_maculatus ENSXMAG00000012827
gambusia_affinis ENSGAFG00000009059
cyprinodon_variegatus ENSCVAG00000015589
fundulus_heteroclitus ENSFHEG00000006764
kryptolebias_marmoratus ENSKMAG00000015287
oryzias_latipes_asm223469v1 ENSORLG00015000659
oryzias_latipes ENSORLG00020022507
oryzias_melastigma ENSOMEG00000014332
periophthalmus_magnuspinnatus ENSPMGG00000003569
hippocampus_comes ENSHCOG00000021214
gadus_morhua ENSGMOG00000012660
petromyzon_marinus ENSPMAG00000008633
drosophila_melanogaster FBgn0037342
caenorhabditis_elegans_strain_n2 WBGene00021901
