xiphophorus_couchianus ENSXCOG00000011862
xiphophorus_maculatus ENSXMAG00000029535
hippocampus_comes ENSHCOG00000021081
seriola_dumerili ENSSDUG00000001156
seriola_lalandi ENSSLDG00000016886
cynoglossus_semilaevis ENSCSEG00000010630
takifugu_rubripes ENSTRUG00000021637
anabas_testudineus ENSATEG00000021050
poecilia_mexicana ENSPMEG00000003214
poecilia_latipinna ENSPLAG00000000476
poecilia_reticulata ENSPREG00000021067
gambusia_affinis ENSGAFG00000004707
fundulus_heteroclitus ENSFHEG00000002510
oryzias_latipes ENSORLG00020016137
oryzias_latipes ENSORLG00000029695
oryzias_latipes ENSORLG00015015670
oryzias_melastigma ENSOMEG00000007562
amphiprion_ocellaris ENSAOCG00000002332
parambassis_ranga ENSPRNG00000008259
acanthochromis_polyacanthus ENSAPOG00000006749
amphiprion_percula ENSAPEG00000005070
kryptolebias_marmoratus ENSKMAG00000004600
betta_splendens ENSBSLG00000012948
mola_mola ENSMMOG00000018801
lates_calcarifer ENSLCAG00010027709
