oryzias_latipes_asm223469v1 ENSORLG00015004915
oryzias_latipes ENSORLG00000003054
oryzias_latipes ENSORLG00020006101
oryzias_melastigma ENSOMEG00000007481
gasterosteus_aculeatus ENSGACG00000014505
fundulus_heteroclitus ENSFHEG00000018671
cyprinodon_variegatus ENSCVAG00000021110
poecilia_formosa ENSPFOG00000004440
poecilia_latipinna ENSPLAG00000021452
poecilia_mexicana ENSPMEG00000012294
poecilia_reticulata ENSPREG00000015771
gambusia_affinis ENSGAFG00000001387
xiphophorus_maculatus ENSXMAG00000026595
xiphophorus_couchianus ENSXCOG00000003767
kryptolebias_marmoratus ENSKMAG00000007283
amphiprion_ocellaris ENSAOCG00000010775
amphiprion_percula ENSAPEG00000002779
acanthochromis_polyacanthus ENSAPOG00000010989
stegastes_partitus ENSSPAG00000023082
maylandia_zebra ENSMZEG00005007524
astatotilapia_calliptera ENSACLG00000016867
pundamilia_nyererei ENSPNYG00000021166
haplochromis_burtoni ENSHBUG00000016331
neolamprologus_brichardi ENSNBRG00000019034
oreochromis_niloticus ENSONIG00000019779
amphilophus_citrinellus ENSACIG00000004405
mastacembelus_armatus ENSMAMG00000004830
monopterus_albus ENSMALG00000018647
anabas_testudineus ENSATEG00000011157
labrus_bergylta ENSLBEG00000025004
seriola_lalandi_dorsalis ENSSLDG00000019496
seriola_dumerili ENSSDUG00000008751
scophthalmus_maximus ENSSMAG00000008469
periophthalmus_magnuspinnatus ENSPMGG00000008882
gadus_morhua ENSGMOG00000015825
seriola_dumerili ENSSDUG00000008718
seriola_lalandi_dorsalis ENSSLDG00000023390
scophthalmus_maximus ENSSMAG00000014942
gasterosteus_aculeatus ENSGACG00000011754
tetraodon_nigroviridis ENSTNIG00000017997
takifugu_rubripes ENSTRUG00000003127
mola_mola ENSMMOG00000007631
labrus_bergylta ENSLBEG00000026131
cynoglossus_semilaevis ENSCSEG00000015781
amphiprion_percula ENSAPEG00000011024
amphiprion_ocellaris ENSAOCG00000022627
acanthochromis_polyacanthus ENSAPOG00000013383
stegastes_partitus ENSSPAG00000010117
esox_lucius ENSELUG00000006091
astyanax_mexicanus ENSAMXG00000029940
pygocentrus_nattereri ENSPNAG00000025087
danio_rerio ENSDARG00000089749
scleropages_formosus ENSSFOG00015023424
paramormyrops_kingsleyae ENSPKIG00000025674
pygocentrus_nattereri ENSPNAG00000010954
ictalurus_punctatus ENSIPUG00000001986
danio_rerio ENSDARG00000071592
lepisosteus_oculatus ENSLOCG00000005407
gasterosteus_aculeatus ENSGACG00000009127
latimeria_chalumnae ENSLACG00000012764
melopsittacus_undulatus ENSMUNG00000008569
